	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	100	100	100	100	100	100	100
ASV_2	100	100	100	100	100	100	46
ASV_3	100	100	100	100	100	100	100
ASV_4	100	100	100	100	100	100	100
ASV_5	100	100	100	100	100	100	100
ASV_6	9	9	9	9	9	9	9
ASV_7	100	100	100	100	58	58	58
ASV_8	100	100	100	100	100	100	100
ASV_9	100	100	100	100	100	100	100
ASV_10	100	100	100	100	100	100	89
ASV_11	100	100	100	100	100	100	99
ASV_12	100	100	100	100	100	100	100
ASV_13	100	100	100	100	100	100	100
ASV_14	100	100	100	100	100	100	100
ASV_15	100	100	100	100	100	100	100
ASV_16	99	99	99	99	99	99	87
ASV_17	100	100	100	100	100	100	100
ASV_18	6	6	6	6	6	6	6
ASV_19	100	100	100	100	95	95	95
ASV_20	100	100	100	100	100	58	36
ASV_21	98	97	97	97	97	91	45
ASV_22	100	100	100	100	100	100	98
ASV_23	100	100	46	46	46	46	46
ASV_24	100	100	100	100	100	100	84
ASV_25	100	100	100	100	100	100	100
ASV_26	100	99	99	99	99	99	67
ASV_27	100	100	100	100	100	100	100
ASV_28	100	100	100	100	100	100	99
ASV_29	100	100	100	100	100	100	100
ASV_30	100	100	100	99	99	90	81
ASV_31	100	62	62	61	61	32	31
ASV_32	100	100	97	97	97	79	45
ASV_33	100	100	96	96	96	96	93
ASV_34	100	100	37	37	37	37	37
ASV_35	100	100	100	100	100	100	99
ASV_36	100	100	100	100	100	100	85
ASV_37	100	100	100	100	100	100	100
ASV_38	100	100	100	100	100	100	100
ASV_39	100	100	100	100	100	100	100
ASV_40	100	100	100	100	100	100	91
ASV_41	100	100	100	100	100	100	100
ASV_42	100	100	100	100	100	100	59
ASV_43	100	100	100	100	100	100	100
ASV_44	100	100	100	100	100	100	66
ASV_45	100	100	100	100	100	100	83
ASV_46	100	100	100	100	100	100	61
ASV_47	100	100	100	100	100	100	100
ASV_48	100	100	100	100	100	100	100
ASV_49	100	100	100	100	100	100	100
ASV_50	100	100	100	100	83	83	58
ASV_51	100	100	100	100	100	100	27
ASV_52	7	7	7	6	6	6	6
ASV_53	93	89	77	77	57	48	38
ASV_54	100	100	100	100	96	96	96
ASV_55	100	100	100	100	100	100	100
ASV_56	100	100	100	100	100	82	82
ASV_57	100	100	99	99	91	88	81
ASV_58	100	100	100	100	100	100	78
ASV_59	100	100	100	100	100	100	100
ASV_60	100	100	100	100	100	100	100
ASV_61	100	100	100	100	100	100	100
ASV_62	50	50	50	50	50	50	50
ASV_63	100	100	100	100	78	78	78
ASV_64	100	100	100	100	100	100	100
ASV_65	100	33	33	30	25	25	25
ASV_66	100	100	100	100	100	100	83
ASV_67	100	100	100	100	100	100	100
ASV_68	100	100	100	100	100	100	100
ASV_69	100	100	100	100	100	97	53
ASV_70	100	100	100	100	100	100	100
ASV_71	100	56	56	56	56	44	44
ASV_72	100	100	95	95	95	85	34
ASV_73	100	100	100	100	100	100	100
ASV_74	100	100	100	100	100	100	100
ASV_75	100	79	79	73	73	33	33
ASV_76	100	100	100	100	100	100	100
ASV_77	100	100	100	100	100	100	47
ASV_78	100	100	100	100	100	100	100
ASV_79	100	100	100	100	99	99	86
ASV_80	100	100	100	100	100	100	100
ASV_81	100	100	99	99	99	99	89
ASV_82	93	15	15	14	13	13	12
ASV_83	42	42	42	42	42	41	41
ASV_84	100	100	100	100	100	100	88
ASV_85	100	100	91	91	90	76	61
ASV_86	100	100	100	100	100	100	100
ASV_87	100	100	100	100	100	86	86
ASV_88	100	100	100	100	100	72	72
ASV_89	100	100	100	100	79	79	64
ASV_90	100	100	100	100	100	100	100
ASV_91	100	100	100	100	100	100	100
ASV_92	99	99	46	42	42	41	41
ASV_93	100	100	100	100	100	100	100
ASV_94	100	100	100	100	100	100	96
ASV_95	98	98	98	98	32	32	20
ASV_96	100	100	100	100	100	100	61
ASV_97	100	100	100	100	100	99	95
ASV_98	100	100	100	99	99	99	39
ASV_99	100	100	100	100	100	100	100
ASV_100	100	100	100	100	100	100	100
ASV_101	100	100	100	100	100	100	100
ASV_102	100	100	100	100	100	100	39
ASV_103	100	100	100	100	100	100	95
ASV_104	100	100	100	100	59	59	59
ASV_105	100	100	100	100	67	67	59
ASV_106	100	100	100	100	100	100	100
ASV_107	100	100	100	100	100	100	100
ASV_108	100	100	100	100	100	100	99
ASV_109	100	100	100	100	100	53	39
ASV_110	97	97	37	37	37	37	37
ASV_111	100	100	100	100	100	100	99
ASV_112	99	98	47	47	47	47	47
ASV_113	75	75	75	75	75	67	35
ASV_114	100	100	100	100	100	100	100
ASV_115	100	100	100	100	100	100	100
ASV_116	100	100	100	100	100	100	100
ASV_117	100	100	100	100	100	100	96
ASV_118	100	100	100	100	100	100	50
ASV_119	77	74	10	10	10	10	10
ASV_120	100	100	100	100	100	100	100
ASV_121	100	100	100	100	100	100	32
ASV_122	91	17	17	17	16	16	16
ASV_123	100	100	47	47	47	47	47
ASV_124	100	100	100	100	100	100	100
ASV_125	100	100	100	100	80	80	79
ASV_126	100	100	100	100	100	100	100
ASV_127	100	100	100	100	100	100	100
ASV_128	100	100	100	100	100	100	100
ASV_129	100	100	100	100	100	100	97
ASV_130	100	100	100	100	100	100	100
ASV_131	100	100	100	100	96	96	96
ASV_132	100	100	100	100	100	100	100
ASV_133	100	100	100	100	100	100	100
ASV_134	98	98	39	39	39	39	39
ASV_135	100	100	100	100	100	100	100
ASV_136	100	100	100	100	100	100	100
ASV_137	99	98	98	98	98	98	93
ASV_138	41	41	41	41	41	41	41
ASV_139	100	100	98	98	98	98	94
ASV_140	100	100	100	100	100	100	100
ASV_141	97	97	97	97	87	43	31
ASV_142	100	100	100	100	100	100	100
ASV_143	100	100	100	100	95	95	90
ASV_144	100	100	100	100	87	87	17
ASV_145	100	57	57	57	51	39	39
ASV_146	100	99	17	17	17	17	17
ASV_147	100	100	100	100	100	100	100
ASV_148	100	100	100	100	100	100	46
ASV_149	100	100	92	92	92	92	87
ASV_150	100	100	100	100	77	77	40
ASV_151	100	100	100	100	100	95	88
ASV_152	100	100	100	100	100	100	100
ASV_153	99	99	96	96	96	91	91
ASV_154	100	100	100	100	100	100	100
ASV_155	100	100	100	100	100	100	100
ASV_156	100	100	100	96	96	96	96
ASV_157	100	100	100	100	100	100	100
ASV_158	100	100	100	100	100	100	58
ASV_159	100	100	100	100	100	89	72
ASV_160	100	100	100	100	100	100	63
ASV_161	100	100	100	100	100	100	38
ASV_162	100	100	100	100	100	100	100
ASV_163	98	46	46	46	46	46	46
ASV_164	100	100	100	100	100	100	94
ASV_165	100	100	100	100	100	100	100
ASV_166	100	100	100	100	100	100	100
ASV_167	100	100	100	100	100	100	100
ASV_168	100	100	100	100	100	100	100
ASV_169	100	100	100	100	100	78	51
ASV_170	89	83	82	82	47	47	41
ASV_171	100	100	100	100	100	100	60
ASV_172	100	100	100	100	100	100	98
ASV_173	100	100	100	100	100	100	97
ASV_174	100	64	64	64	56	26	26
ASV_175	57	57	57	54	49	42	42
ASV_176	100	100	100	100	100	100	100
ASV_177	100	100	100	100	100	100	80
ASV_178	100	100	100	100	100	100	29
ASV_179	22	22	22	22	22	22	22
ASV_180	100	100	100	100	86	86	86
ASV_181	100	100	100	100	100	100	99
ASV_182	95	95	95	95	95	95	87
ASV_183	100	100	100	100	88	88	86
ASV_184	100	100	100	100	66	66	63
ASV_185	100	100	49	49	49	49	49
ASV_186	99	95	95	94	46	46	46
ASV_187	100	100	100	100	100	100	100
ASV_188	100	100	100	100	99	99	99
ASV_189	99	99	99	99	73	50	47
