"taxon","t_stat","p_perm","t_stat_quad","p_perm_quad","beta_std","beta_std_quad","q_value","q_value_quad","shape"
"ASV_3",10.8657174877601,0.001,-8.21348478795695,0.001,0.666006088677069,-0.503444440886653,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_15",-3.38302477798892,0.001,1.86933925589867,0.071,-0.377010751149744,0.208324805327964,0.00713385826771654,0.290504516129032,"linear decrease (early-season)"
"ASV_26",7.7168091720165,0.001,1.78841165165289,0.104,0.677736476978048,0.157070596381293,0.00713385826771654,0.3517696,"linear increase (late-season)"
"ASV_29",5.01123908780869,0.001,-4.27878787791646,0.001,0.440803017595312,-0.376378228753952,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_31",8.88137055238388,0.001,2.14823238868928,0.04,0.715667369476065,0.17310786021782,0.00713385826771654,0.209826302729529,"linear increase (late-season)"
"ASV_35",6.94708207243744,0.001,-7.1338254523533,0.001,0.522221528602107,-0.536264592440035,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_58",3.37351936679153,0.001,-4.83205949974447,0.001,0.334987640787683,-0.47982420446219,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_65",5.4138941047094,0.001,8.42066264234825,0.001,0.419027858435081,0.651754008886172,0.00713385826771654,0.0212818791946309,"dip (troughs mid-season)"
"ASV_67",7.47747556771663,0.001,-5.97576343820339,0.001,0.599450516336115,-0.47906675597458,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_69",-4.29437266997374,0.001,1.59541187291204,0.125,-0.430700030477007,0.160011904381977,0.00713385826771654,0.386330409356725,"linear decrease (early-season)"
"ASV_71",4.34766243624721,0.001,5.58445386229993,0.001,0.404636421555595,0.519749599781671,0.00713385826771654,0.0212818791946309,"dip (troughs mid-season)"
"ASV_72",-6.85438899691177,0.001,1.18563365822568,0.24,-0.59635543792486,0.103155231462188,0.00713385826771654,0.535566502463054,"linear decrease (early-season)"
"ASV_75",6.39067183622922,0.001,1.77384030882085,0.078,0.592001094562192,0.164321660323551,0.00713385826771654,0.304228782287823,"linear increase (late-season)"
"ASV_77",5.45095610260698,0.001,-6.5080686954128,0.001,0.458906277358618,-0.547908129584743,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_79",-3.98238009110701,0.001,1.8637559095941,0.073,-0.427832621038204,0.200227867817109,0.00713385826771654,0.293946666666667,"linear decrease (early-season)"
"ASV_80",-3.13202947177646,0.001,0.698724922607485,0.507,-0.330551063919174,0.0737434167012606,0.00713385826771654,0.778545762711864,"linear decrease (early-season)"
"ASV_81",-12.7911004410766,0.001,-1.49362705614582,0.15,-0.834450244953494,-0.0974403895014715,0.00713385826771654,0.421862527716186,"linear decrease (early-season)"
"ASV_84",6.18670980902328,0.001,1.56419624576446,0.137,0.561674373183432,0.142010483114653,0.00713385826771654,0.403742565055762,"linear increase (late-season)"
"ASV_85",-7.15937248763607,0.001,2.58407084514633,0.014,-0.645154122312869,0.232861256387322,0.00713385826771654,0.115010362694301,"linear decrease (early-season)"
"ASV_88",-7.9702167263028,0.001,2.47070026012845,0.013,-0.520269220800325,0.161280687415649,0.00713385826771654,0.11007476635514,"linear decrease (early-season)"
"ASV_90",3.96675481084918,0.001,-6.86624419480007,0.001,0.338948043508125,-0.586707069379195,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_96",5.58977237373311,0.001,-5.53328146823668,0.001,0.479773192831914,-0.474929252334753,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_97",-6.13699131106212,0.001,3.26763696282363,0.005,-0.582206325290226,0.309998443439272,0.00713385826771654,0.0590502793296089,"dip (troughs mid-season)"
"ASV_98",8.95467491833983,0.001,-1.97962054718914,0.073,0.659264741749749,-0.145745877857627,0.00713385826771654,0.293946666666667,"linear increase (late-season)"
"ASV_100",3.94565848995088,0.001,-2.30053537353815,0.024,0.391836972007301,-0.228464715473755,0.00713385826771654,0.155950819672131,"linear increase (late-season)"
"ASV_102",8.62738257590044,0.001,-0.0240874614656756,0.992,0.677590392948561,-0.00189183614081502,0.00713385826771654,0.99740354767184,"linear increase (late-season)"
"ASV_103",7.87172147403182,0.001,-2.09065799160678,0.036,0.665479007074304,-0.176746953117033,0.00713385826771654,0.1981875,"linear increase (late-season)"
"ASV_109",-13.7392289319513,0.001,0.72839275406106,0.488,-0.822791594596045,0.0436211795667796,0.00713385826771654,0.764738324684952,"linear decrease (early-season)"
"ASV_127",6.70535156647191,0.001,1.05421681064951,0.277,0.597523220987431,0.093943659474485,0.00713385826771654,0.574283752860412,"linear increase (late-season)"
"ASV_133",12.6238558102916,0.001,-2.4941857022796,0.023,0.811763562846073,-0.160387536013197,0.00713385826771654,0.152899371069182,"linear increase (late-season)"
"ASV_135",-5.89255056451564,0.001,0.536196258485174,0.607,-0.520079445546232,0.0473254174337622,0.00713385826771654,0.83577811550152,"linear decrease (early-season)"
"ASV_139",4.22848926956843,0.001,-5.76272359035262,0.001,0.388577652304919,-0.529571589934417,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_147",7.36032025092551,0.001,-4.5645576939124,0.001,0.627809790954808,-0.389344797634827,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_148",12.3392162718409,0.001,-1.57025932581747,0.141,0.83644074199209,-0.106444514573107,0.00713385826771654,0.409442307692308,"linear increase (late-season)"
"ASV_149",3.53105374247075,0.001,-5.31153388470243,0.001,0.341122325979552,-0.513133153358654,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_150",-4.24290145660284,0.001,0.893194760625541,0.405,-0.425699045583472,0.0896169584751599,0.00713385826771654,0.696261859582543,"linear decrease (early-season)"
"ASV_153",-5.33715092766741,0.001,-0.35315604563101,0.689,-0.546728031415974,-0.0361770211966332,0.00713385826771654,0.877613577023499,"linear decrease (early-season)"
"ASV_161",-4.02089088903416,0.001,1.31577100134772,0.171,-0.410067628140119,0.134189276295679,0.00713385826771654,0.449619402985075,"linear decrease (early-season)"
"ASV_162",6.10467246416851,0.001,-5.80589753892166,0.001,0.518660304214319,-0.493280914069802,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_166",-3.63484304132703,0.001,-0.420883058424224,0.663,-0.305960425898203,-0.0354278943985855,0.00713385826771654,0.863220283309382,"linear decrease (early-season)"
"ASV_169",-14.9866855685771,0.001,3.10789484815657,0.006,-0.863283827164392,0.179027038639058,0.00713385826771654,0.06795,"dip (troughs mid-season)"
"ASV_171",4.52158482605984,0.001,-5.41720186167087,0.001,0.408757716447952,-0.489727624827218,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_176",-6.9401025816618,0.001,-1.50818372516961,0.142,-0.637740846613877,-0.138591596045221,0.00713385826771654,0.411216438356164,"linear decrease (early-season)"
"ASV_181",-4.50311357120448,0.001,3.46692695810736,0.002,-0.433114003608614,0.333455833549613,0.00713385826771654,0.0323571428571429,"dip (troughs mid-season)"
"ASV_183",4.00083952793834,0.001,-4.46070200484635,0.001,0.326379151486302,-0.363897263805401,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_188",-3.96248336704544,0.001,-0.192203248370249,0.846,-0.384685886172028,-0.018659664279911,0.00713385826771654,0.951131359687999,"linear decrease (early-season)"
"ASV_189",10.0471226932256,0.001,-9.32762490706771,0.001,0.630132738816597,-0.585013265189975,0.00713385826771654,0.0212818791946309,"hump (peaks mid-season)"
"ASV_191",6.59021281834234,0.001,1.65528102255035,0.111,0.62510896975605,0.157011813290619,0.00713385826771654,0.365884615384615,"linear increase (late-season)"
"ASV_192",-4.88283089157387,0.001,2.15146909419389,0.016,-0.403656506147769,0.177860573043264,0.00713385826771654,0.124658476658477,"linear decrease (early-season)"
"ASV_193",-4.6897142729372,0.001,-2.26147037595243,0.029,-0.464537754984846,-0.224011254581877,0.00713385826771654,0.173344015080113,"linear decrease (early-season)"
