"taxon","F_stat","r2_lure","p_perm","q_value"
"ASV_8",0.867365807828543,0.0271575839373397,0.374,0.982973967684022
"ASV_10",20.7012578762604,0.401058189165924,0.044,0.982973967684022
"ASV_11",0.643455386784893,0.019795429756796,0.218,0.982973967684022
"ASV_15",2.29925191684463,0.0702012295631993,0.182,0.982973967684022
"ASV_16",1.74144771224138,0.0529077069518339,0.081,0.982973967684022
"ASV_19",5.59259034944939,0.153270688334334,0.03,0.982973967684022
"ASV_21",1.67842516949267,0.0518005573707233,0.219,0.982973967684022
"ASV_30",1.06206074964044,0.0335255203470746,0.42,0.982973967684022
"ASV_31",2.46601875802286,0.0718167035719747,0.025,0.982973967684022
"ASV_32",2.77094892902719,0.0813410236752911,0.306,0.982973967684022
"ASV_34",1.0714290104244,0.0335141547281681,0.232,0.982973967684022
"ASV_35",1.66998679041152,0.0506132787389596,0.253,0.982973967684022
"ASV_41",3.5647053006436,0.103855098980792,0.028,0.982973967684022
"ASV_42",0.571515554914035,0.0185327617437307,0.365,0.982973967684022
"ASV_44",1.00736654010047,0.031021975112571,0.445,0.982973967684022
"ASV_50",7.38552962591185,0.193387895566643,0.078,0.982973967684022
"ASV_51",0.614132669955484,0.0191950255196492,0.194,0.982973967684022
"ASV_54",12.7053127594753,0.290878238284457,0.007,0.982973967684022
"ASV_57",6.58859558638009,0.175886830230696,0.082,0.982973967684022
"ASV_65",0.671433835345953,0.0203667984778476,0.213,0.982973967684022
"ASV_68",0.459194580857865,0.0147440216855938,0.41,0.982973967684022
"ASV_71",0.334592711090695,0.0101643813965264,0.191,0.982973967684022
"ASV_73",3.17132971922687,0.0918012402020163,0.142,0.982973967684022
"ASV_74",0.69209363530444,0.0216223386895109,0.412,0.982973967684022
"ASV_76",0.595017237715717,0.019361137224736,0.202,0.982973967684022
"ASV_77",0.789390888182707,0.0247627173883684,0.317,0.982973967684022
"ASV_79",0.976221163841093,0.0315691110293061,0.395,0.982973967684022
"ASV_80",2.0124942980588,0.0616736695491613,0.326,0.982973967684022
"ASV_81",1.06587109153637,0.030376074856319,0.337,0.982973967684022
"ASV_82",0.530864563518463,0.0171306988722792,0.458,0.982973967684022
"ASV_83",0.668336972601848,0.0205469888564299,0.103,0.982973967684022
"ASV_85",1.96325972832791,0.0573889478728024,0.366,0.982973967684022
"ASV_89",3.42083696423351,0.100524508601309,0.123,0.982973967684022
"ASV_90",0.450492415135109,0.0138568374320813,0.28,0.982973967684022
"ASV_92",1.55097831871244,0.0475538452188381,0.207,0.982973967684022
"ASV_94",5.56849594094881,0.151865298242972,0.107,0.982973967684022
"ASV_95",3.46805051423326,0.100480580628404,0.346,0.982973967684022
"ASV_96",0.484711292304613,0.0153390526249865,0.434,0.982973967684022
"ASV_98",1.03339194992605,0.0315754769441846,0.409,0.982973967684022
"ASV_100",0.702319428657091,0.0228445306292004,0.464,0.982973967684022
"ASV_102",2.47834125440884,0.0747290492480687,0.07,0.982973967684022
"ASV_103",1.54146089145331,0.0464480382172269,0.382,0.982973967684022
"ASV_104",0.860802939429325,0.0272088128269924,0.443,0.982973967684022
"ASV_108",0.326903222767336,0.010437228051846,0.431,0.982973967684022
"ASV_109",2.52424759769688,0.0778465404598868,0.229,0.982973967684022
"ASV_113",1.95383944288804,0.0593153880889574,0.287,0.982973967684022
"ASV_118",1.83262303288788,0.0559686169809588,0.476,0.982973967684022
"ASV_125",0.624849480379356,0.0193493098772589,0.081,0.982973967684022
"ASV_127",1.1269229994312,0.0348847745429081,0.471,0.982973967684022
"ASV_131",2.15020172779174,0.0647958183019792,0.341,0.982973967684022
"ASV_133",0.524755199782245,0.0160098141951225,0.066,0.982973967684022
"ASV_135",2.27150688561402,0.0705256563557435,0.32,0.982973967684022
"ASV_136",0.817957045663813,0.0253826064025607,0.359,0.982973967684022
"ASV_138",0.766088469290075,0.0254808402196714,0.357,0.982973967684022
"ASV_139",1.85643539295489,0.0576597273512097,0.076,0.982973967684022
"ASV_143",0.986115862862462,0.0304937672719681,0.466,0.982973967684022
"ASV_144",1.95413632941724,0.0593970937914638,0.235,0.982973967684022
"ASV_146",0.310838112765279,0.00985386542721452,0.351,0.982973967684022
"ASV_148",0.46980332527635,0.0160331266502025,0.442,0.982973967684022
"ASV_149",1.64054516163014,0.0511219689267346,0.323,0.982973967684022
"ASV_157",4.24690673993922,0.120471850012846,0.103,0.982973967684022
"ASV_158",2.13544911093177,0.0632119253776688,0.179,0.982973967684022
"ASV_159",5.50965876274866,0.150434539304547,0.13,0.982973967684022
"ASV_161",5.89067448338923,0.160599157780388,0.092,0.982973967684022
"ASV_164",2.01103465075119,0.0612263241736714,0.139,0.982973967684022
