Collection Date,State,Site,Lure,Trap Code,Class,Order,Family,Subfamily,Genus,Species,Finest ID,No of species,Count,Pinned,Notes
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Cyclorhipidion,Cyclorhipidion pelliculosum,Cyclorhipidion pelliculosum,,80,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Heteroborips,Heteroborips seriatus,Heteroborips seriatus,,36,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Monarthrum,Monarthrum mali,Monarthrum mali,,1,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,149,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus saxesenii,Xyleborinus saxesenii,,1,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Curculionidae,Scolytinae,Xylosandrus,Xylosandrus germanus,Xylosandrus germanus,,2,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Elateridae,Elaterinae,Ampedus,Ampedus unnamed sp. ,Ampedus unnamed sp. ,,1,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Endomychidae,Leiestinae,Phymaphora,Phymaphora pulchella,Phymaphora pulchella,,2,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Hydrophilidae,Enochrinae,Cymbiodyta,,Cymbiodyta sp.,,1,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,3,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus fasciatus,Glischrochilus fasciatus,,2,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus sanguinolentus,Glischrochilus sanguinolentus,,1,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Silvanidae,Brontinae,Dendrophagus,Dendrophagus cygnaei,Dendrophagus cygnaei,,1,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Staphylinidae,Aleocharinae,,,Aleocharinae gen. sp.,2,3,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Staphylinidae,Mycetoporinae,Bryoporus,,Bryoporus sp.,,2,,
5/1/24,NH,C,E,C1-E,Insecta,Coleoptera,Thanerocleridae,Zenodosinae,Zenodosus,Zenodosus sanguineus,Zenodosus sanguineus,,1,,
5/1/24,NH,C,E,C1-E,Insecta,Hymenoptera,,,,,Parasitic Wasp,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Ciidae,Ciinae,Orthocis,Orthocis punctatus,Orthocis punctatus,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Cleridae,Clerinae,Enoclerus,Enoclerus nigripes,Enoclerus nigripes,,2,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Molytinae,Hylobius,Hylobius pales,Hylobius pales,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Molytinae,Pissodes,Pissodes strobi,Pissodes strobi,,11,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Dendroctonus,Dendroctonus valens,Dendroctonus valens,,3,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Heteroborips,Heteroborips seriatus,Heteroborips seriatus,,4,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Hylastes,Hylastes opacus,Hylastes opacus,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Hylurgops,Hylurgops pinifex,Hylurgops pinifex,,2,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Trypodendron,Trypodendron retusum,Trypodendron retusum,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,,31,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xylosandrus,Xylosandrus germanus,Xylosandrus germanus,,2,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Curculionidae,Scolytinae,Xyloterinus,Xyloterinus politus,Xyloterinus politus,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Dytiscidae,Dytiscinae,Acilius,Acilius mediatus,Acilius mediatus,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Elateridae,Elaterinae,Ampedus,Ampedus unnamed sp. ,Ampedus unnamed sp. ,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Endomychidae,Leiestinae,Phymaphora,Phymaphora pulchella,Phymaphora pulchella,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Lampyridae,Lampyrinae,Ellychnia,Ellychnia corrusca,Ellychnia corrusca,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,,Melanophthalma sp.,,5,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Nitidulidae,Cryptarchinae,Glischrochilus,Glischrochilus sanguinolentus,Glischrochilus sanguinolentus,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Silvanidae,Brontinae,Dendrophagus,Dendrophagus cygnaei,Dendrophagus cygnaei,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Staphylinidae,Aleocharinae,,,Aleocharinae gen. sp.,2,2,,
5/1/24,NH,C,EA,C2-EA,Insecta,Coleoptera,Staphylinidae,Xantholininae,Nudobius,Nudobius cephalus,Nudobius cephalus,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Hemiptera,Anthocoridae,Nosubfamily_Anthocoridae,Amphiareus,Amphiareus obscuriceps,Amphiareus obscuriceps,,1,,
5/1/24,NH,C,EA,C2-EA,Insecta,Hymenoptera,,,,,Parasitic Wasp,,3,,
