"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_199",-3.50426610652593,0.002,0.2,2.94662277219397
"ASV_1905",-3.5945273105697,0.002,0.2,2.14800068338566
"ASV_2007",-3.03044090208138,0.016,0.318918918918919,2.96671792927713
"ASV_2770",-2.20023042821834,0.032,0.318918918918919,2.52607519931801
"ASV_19706",-2.71707721583778,0.037,0.318918918918919,2.46875662907786
"ASV_3923",-2.56145839489777,0.052,0.318918918918919,2.37787590880995
"ASV_19483",-2.75319345464437,0.026,0.318918918918919,2.33893834090709
"ASV_9707",-2.29620248942753,0.055,0.318918918918919,2.32197196199017
"ASV_1505",-2.38217779396765,0.028,0.318918918918919,2.21338222410375
"ASV_3328",-2.61024394098601,0.023,0.318918918918919,2.20825457367429
"ASV_18169",-2.70956373464418,0.021,0.318918918918919,2.14878026370784
"ASV_9691",-2.46523439589032,0.043,0.318918918918919,2.14776517331987
"ASV_3677",-2.54579356338865,0.016,0.318918918918919,2.13563799139105
"ASV_660",-2.16321681842598,0.058,0.318918918918919,2.08047906820415
"ASV_3972",-3.00168846355702,0.017,0.318918918918919,2.0356422079346
"ASV_1687",-2.88939827856392,0.013,0.318918918918919,2.03503055804455
"ASV_1814",-2.48451702353636,0.026,0.318918918918919,2.02264320563697
"ASV_534",-3.59024548012432,0.006,0.318918918918919,2.00611088063736
"ASV_7810",-2.28322244646568,0.051,0.318918918918919,1.97960509898597
"ASV_5162",-3.09559977649179,0.008,0.318918918918919,1.97091744078039
"ASV_3380",-2.37381070402946,0.043,0.318918918918919,1.92643757432742
"ASV_14061",-2.71785273226841,0.035,0.318918918918919,1.91957229710903
"ASV_7679",-1.96202887844051,0.059,0.318918918918919,1.91692765785457
"ASV_10208",-2.3208989305912,0.048,0.318918918918919,1.9074472759316
"ASV_7977",-2.99157365380669,0.022,0.318918918918919,1.89427245391488
"ASV_9406",-2.52387243242216,0.048,0.318918918918919,1.88953149845415
"ASV_4871",-2.0128053326405,0.047,0.318918918918919,1.880133985726
"ASV_4626",-3.06488680687733,0.016,0.318918918918919,1.87027502056179
"ASV_13213",-2.17836290402302,0.051,0.318918918918919,1.8649230294484
"ASV_3926",-1.97614776262772,0.058,0.318918918918919,1.80352304018493
"ASV_3379",-2.43790027779486,0.035,0.318918918918919,1.79384840899117
"ASV_2050",-2.18862367040348,0.055,0.318918918918919,1.77740247420695
"ASV_1087",-2.27803377057275,0.009,0.318918918918919,1.77298524448023
"ASV_3425",-2.61561230318596,0.03,0.318918918918919,1.77292394638395
"ASV_154",-2.49478109136634,0.054,0.318918918918919,1.75924645856571
"ASV_3125",-2.47781772989183,0.042,0.318918918918919,1.75238685993412
"ASV_9610",-2.3997413397975,0.029,0.318918918918919,1.748869216994
"ASV_5789",-2.12701913390477,0.069,0.328,2.66200966952551
"ASV_11794",-1.99706836850671,0.074,0.328,2.41720181766568
"ASV_11723",-2.42770153515282,0.075,0.328,2.38916514759633
"ASV_7449",-2.30905697516958,0.082,0.328,2.38163314698986
"ASV_8783",-2.27042623414991,0.066,0.328,2.31727078724843
"ASV_5528",-2.1882680431932,0.072,0.328,2.21983654075825
"ASV_10510",-1.82922476718528,0.082,0.328,2.09063619842373
"ASV_18008",-2.01025942231067,0.082,0.328,2.0857724074899
"ASV_15374",-2.0758764471511,0.081,0.328,1.96707040841198
