"taxon","t_stat","p_perm","q_value"
"ASV_427",13.594940199959,0.001,0.001
"ASV_169",-13.9393770320264,0.001,0.001
"ASV_529",13.1521951489303,0.001,0.001
"ASV_81",-12.6913298731661,0.001,0.001
"ASV_214",-13.2664111313441,0.001,0.001
"ASV_148",12.1283718229752,0.001,0.001
"ASV_270",11.6910055971331,0.001,0.001
"ASV_109",-13.7505405225555,0.001,0.001
"ASV_272",-12.7332815887962,0.001,0.001
"ASV_1384",11.7963479426811,0.001,0.001
"ASV_368",12.4718940778492,0.001,0.001
"ASV_291",-12.1424491995898,0.001,0.001
"ASV_1029",-10.8868461163451,0.001,0.001
"ASV_665",-10.9843937845808,0.001,0.001
"ASV_316",12.4976413923927,0.001,0.001
"ASV_889",10.7816275179081,0.001,0.001
"ASV_133",12.029099032082,0.001,0.001
"ASV_1051",10.6647324715904,0.001,0.001
"ASV_1314",10.5982068201871,0.001,0.001
"ASV_2809",10.4219159727509,0.001,0.001
"ASV_1084",10.3175215958522,0.001,0.001
"ASV_1352",10.1108098128781,0.001,0.001
"ASV_1005",9.61371366973658,0.001,0.001
"ASV_1543",9.81506116442484,0.001,0.001
"ASV_335",-10.3986524163702,0.001,0.001
"ASV_605",-9.34778985141441,0.001,0.001
"ASV_1016",-9.08813027765032,0.001,0.001
"ASV_2199",8.95987407152614,0.001,0.001
"ASV_607",-9.34965429209877,0.001,0.001
"ASV_599",8.65024477134385,0.001,0.001
"ASV_2603",8.93180722211684,0.001,0.001
"ASV_1288",10.0128909578738,0.001,0.001
"ASV_416",9.67202000201369,0.001,0.001
"ASV_1167",-8.5684131879296,0.001,0.001
"ASV_1026",-9.66873097994361,0.001,0.001
"ASV_678",-8.76958392207799,0.001,0.001
"ASV_31",8.68102799437518,0.001,0.001
"ASV_1665",9.66976370251694,0.001,0.001
"ASV_776",-9.0247401594143,0.001,0.001
"ASV_249",-8.34442738750084,0.001,0.001
"ASV_444",9.53121067233218,0.001,0.001
"ASV_454",8.24249183211393,0.001,0.001
"ASV_261",8.28748081715946,0.001,0.001
"ASV_5650",8.0859207070994,0.001,0.001
"ASV_792",-8.85360314676297,0.001,0.001
"ASV_312",9.01125485029908,0.001,0.001
"ASV_1184",8.31755954765912,0.001,0.001
"ASV_459",-8.62492395083405,0.001,0.001
"ASV_3335",9.11850504082591,0.001,0.001
"ASV_734",-8.10579545336628,0.001,0.001
"ASV_2660",7.88229507311845,0.001,0.001
"ASV_1079",-8.34643063090203,0.001,0.001
"ASV_813",-7.80284462410294,0.001,0.001
"ASV_2219",-8.41845373547179,0.001,0.001
"ASV_2402",7.83392676955332,0.001,0.001
"ASV_322",7.80720227669729,0.001,0.001
"ASV_768",-8.11345468259295,0.001,0.001
"ASV_586",-8.66343716601064,0.001,0.001
"ASV_1632",-8.42752663203827,0.001,0.001
"ASV_608",7.93120140677331,0.001,0.001
"ASV_2677",8.36432306118849,0.001,0.001
"ASV_531",-7.76003462113079,0.001,0.001
