"taxon","t_stat","p_perm","q_value","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_427",13.594940199959,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_169",-13.9393770320264,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_529",13.1521951489303,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_81",-12.6913298731661,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis"
"ASV_214",-13.2664111313441,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_148",12.1283718229752,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_270",11.6910055971331,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_109",-13.7505405225555,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_272",-12.7332815887962,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola"
"ASV_1384",11.7963479426811,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_368",12.4718940778492,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_291",-12.1424491995898,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_1029",-10.8868461163451,0.001,0.001,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA
"ASV_665",-10.9843937845808,0.001,0.001,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Piptoporus","s__betulinus"
"ASV_316",12.4976413923927,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_889",10.7816275179081,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_133",12.029099032082,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_1051",10.6647324715904,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_1314",10.5982068201871,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_2809",10.4219159727509,0.001,0.001,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma",NA
"ASV_1084",10.3175215958522,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_1352",10.1108098128781,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_1005",9.61371366973658,0.001,0.001,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma","s__applanatum"
"ASV_1543",9.81506116442484,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_335",-10.3986524163702,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_605",-9.34778985141441,0.001,0.001,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_1016",-9.08813027765032,0.001,0.001,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Piptoporus","s__betulinus"
"ASV_2199",8.95987407152614,0.001,0.001,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Hyphodermataceae","g__Hyphoderma","s__setigerum"
"ASV_607",-9.34965429209877,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Septoriella","s__tridentina"
"ASV_599",8.65024477134385,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Rhizosphaera",NA
"ASV_2603",8.93180722211684,0.001,0.001,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meripilaceae","g__Meripilaceae_gen_Incertae_sedis",NA
"ASV_1288",10.0128909578738,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_416",9.67202000201369,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Sphaerulina","s__abeliceae"
"ASV_1167",-8.5684131879296,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__decorticata"
"ASV_1026",-9.66873097994361,0.001,0.001,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_678",-8.76958392207799,0.001,0.001,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_31",8.68102799437518,0.001,0.001,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
