"axis","pct_var_explained","F_stat","r2_lure","p_perm","q_value"
"insect_PCoA3",10.1876777779073,129.354932136487,0.806687055284302,0.003,0.0133333333333333
"insect_PCoA2",13.5145041317257,17.2627787445841,0.356471701365383,0.004,0.0133333333333333
"insect_PCoA4",6.48992993805206,15.8406731751254,0.336292956437758,0.004,0.0133333333333333
"insect_PCoA1",31.129901379259,21.3542819510645,0.414089443223622,0.035,0.0875
"insect_PCoA7",3.5842664811281,2.91835499021799,0.0854949867639104,0.27,0.54
"insect_PCoA5",4.63692056498366,1.42517253559202,0.0437148280375068,0.371,0.618333333333333
"insect_PCoA6",4.08899849879768,1.17962668020835,0.0370068693092949,0.434,0.62
"insect_PCoA9",2.74054357196447,0.613553612512775,0.0193101228803086,0.663,0.82875
"insect_PCoA10",2.53873232290494,0.384455250438365,0.0124162907271049,0.783,0.87
"insect_PCoA8",3.27448161706217,0.398202977176455,0.0127705086948157,0.898,0.898
