Class,Order,Family,Subfamily,Genus,Species,Finest.ID,C1.E..5.1,C2.EA..5.1,C3.I..5.1,D1.E..5.1,D2.EA..5.1,D3.I..5.1,M1.E..5.1,M2.EA..5.1,M3.I..5.1,P1.E..5.1,P2.EA..5.1,P3.I..5.1,C1.E..5.15,C2.EA..5.15,C3.I..5.15,D1.E..5.15,D2.EA..5.15,D3.I..5.15,M1.E..5.15,M2.EA..5.15,M3.I..5.15,P1.E..5.15,P2.EA..5.15,P3.I..5.15,C1.E..5.29,C2.EA..5.29,C3.I..5.29,D1.E..5.29,D2.EA..5.29,D3.I..5.29,M1.E..5.29,M2.EA..5.29,M3.I..5.29,P1.E..5.29,P2.EA..5.29,P3.I..5.29,C1.E..6.12,C2.EA..6.12,C3.I..6.12,D1.E..6.12,D2.EA..6.12,D3.I..6.12,M1.E..6.12,M2.EA..6.12,M3.I..6.12,P1.E..6.12,P2.EA..6.12,P3.I..6.12,C1.E..6.26,C2.EA..6.26,C3.I..6.26,D1.E..6.26,D2.EA..6.26,D3.I..6.26,M1.E..6.26,M2.EA..6.26,M3.I..6.26,P1.E..6.26,P2.EA..6.26,P3.I..6.26,C1.E..7.10,C2.EA..7.10,C3.I..7.10,D1.E..7.10,D2.EA..7.10,D3.I..7.10,M1.E..7.10,M2.EA..7.10,M3.I..7.10,P1.E..7.10,P2.EA..7.10,P3.I..7.10
Insecta,Coleoptera,Curculionidae,Scolytinae,Cyclorhipidion,Cyclorhipidion pelliculosum,Cyclorhipidion pelliculosum,80,0,0,10,0,0,15,1,0,0,0,0,14,0,0,53,2,0,39,0,0,5,0,0,1,0,0,5,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Coleoptera,Curculionidae,Scolytinae,Heteroborips,Heteroborips seriatus,Heteroborips seriatus,36,4,0,2,2,0,0,0,0,3,0,0,23,5,4,7,3,0,0,0,0,18,5,0,4,0,0,2,0,0,0,0,0,15,6,0,9,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Coleoptera,Curculionidae,Scolytinae,Monarthrum,Monarthrum mali,Monarthrum mali,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0
Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus attenuatus,Xyleborinus attenuatus,149,31,1,31,8,1,40,11,0,85,13,2,39,5,0,31,4,0,11,4,0,85,24,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Insecta,Coleoptera,Curculionidae,Scolytinae,Xyleborinus,Xyleborinus saxesenii,Xyleborinus saxesenii,1,0,0,0,0,0,0,0,0,0,0,0,14,3,0,9,1,0,14,1,0,47,0,0,5,2,0,8,1,0,9,1,0,116,10,0,0,0,0,0,0,0,1,0,0,9,0,0,1,1,0,1,0,0,0,0,0,18,2,0,0,0,0,1,0,0,0,0,0,9,0,0
Insecta,Coleoptera,Curculionidae,Scolytinae,Xylosandrus,Xylosandrus germanus,Xylosandrus germanus,2,2,0,8,5,0,16,23,0,0,1,1,15,13,0,296,651,3,31,4,0,40,57,0,0,16,0,109,415,10,25,3,0,147,104,3,1,0,0,10,25,1,0,2,0,4,6,0,0,0,0,5,9,0,2,2,0,4,14,0,0,0,0,3,11,1,1,0,0,2,1,0
Insecta,Coleoptera,Elateridae,Elaterinae,Ampedus,Ampedus unnamed sp. ,Ampedus unnamed sp. ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Coleoptera,Endomychidae,Leiestinae,Phymaphora,Phymaphora pulchella,Phymaphora pulchella,2,1,0,1,1,0,0,0,0,0,1,0,2,1,0,0,1,1,2,0,1,0,0,0,1,0,1,2,5,2,0,0,1,1,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insecta,Coleoptera,Hydrophilidae,Enochrinae,Cymbiodyta,NA,Cymbiodyta sp.,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,4,1,0,0,0,0,1,0,0,0,0,4,3,2,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Insecta,Coleoptera,Latridiidae,Corticariinae,Melanophthalma,NA,Melanophthalma sp.,3,5,0,5,4,4,6,7,5,1,0,0,7,11,10,21,16,33,22,4,8,0,13,13,44,27,19,66,37,92,70,33,21,85,49,106,19,19,21,20,11,17,29,36,25,27,15,0,4,15,10,38,20,44,9,33,8,75,47,113,8,13,17,23,14,46,12,13,10,50,36,85
