"taxon","t_stat","p_perm","t_stat_quad","p_perm_quad","beta_std","beta_std_quad","q_value","q_value_quad","shape"
"Cyclorhipidion pelliculosum",-4.57872345226201,0.001,1.53087481369599,0.135,-0.422402990108114,0.141229867041256,0.0065,0.330909090909091,"linear decrease (early-season)"
"Xyleborinus attenuatus",-14.0217362973182,0.001,10.042291116208,0.001,-0.727717011611111,0.521192120394671,0.0065,0.0173333333333333,"dip (troughs mid-season)"
"Melanophthalma sp.",9.9171064583866,0.001,-3.2370173810478,0.006,0.656033694319521,-0.214136403195554,0.0065,0.0445714285714286,"hump (peaks mid-season)"
"Pissodes strobi",-4.84186460133124,0.001,1.94907103676924,0.054,-0.400243909540714,0.161117999690708,0.0065,0.200571428571429,"linear decrease (early-season)"
"Xyloterinus politus",-5.13974791663729,0.001,1.27319562934126,0.199,-0.521337580353027,0.129144719673598,0.0065,0.357066666666667,"linear decrease (early-season)"
"Pityogenes hopkinsi",-3.23430296233083,0.001,0.847100000115439,0.368,-0.360786813107155,0.0944950242579514,0.0065,0.562823529411765,"linear decrease (early-season)"
"Stenoscelis brevis",9.60343732083276,0.001,3.84015822825189,0.001,0.727267542156035,0.290817757038067,0.0065,0.0173333333333333,"dip (troughs mid-season)"
"Corthylus columbianus",4.3366270124524,0.001,3.55522961266507,0.002,0.437134714492579,0.358372917958292,0.0065,0.026,"dip (troughs mid-season)"
"Xylosandrus germanus",-3.45171298701846,0.002,-1.99932952450437,0.052,-0.269030098482134,-0.155831365200029,0.0104,0.200571428571429,"linear decrease (early-season)"
"Himatium errans",3.18960027476045,0.002,0.460272636833532,0.69,0.349159535742384,0.0503856779241262,0.0104,0.797333333333333,"linear increase (late-season)"
"Pityophthorus cariniceps",-2.75003165684221,0.003,2.08920000753693,0.031,-0.305189117250281,0.231854575371803,0.0141818181818182,0.160727272727273,"linear decrease (early-season)"
