"taxon","t_stat","p_perm","q_value","lure_F_stat","lure_r2","lure_q_value"
"ASV_135",-2.51927741191443,0.002,0.133333333333333,2.27351368842033,0.070585322609781,0.984846328049175
"ASV_236",-3.47578828744413,0.002,0.133333333333333,1.84371915973838,0.0542121723337679,0.984846328049175
"ASV_250",4.27071840438725,0.002,0.133333333333333,1.83448666642096,0.0548948763957177,0.984846328049175
"ASV_181",-2.89355989743647,0.004,0.2,1.21273322801963,0.0388137638840606,0.984846328049175
"ASV_442",3.20712608615176,0.005,0.2,1.25815229451998,0.037979308865301,0.984846328049175
"ASV_506",2.6483528576913,0.009,0.3,1.18675849662976,0.0353875010184375,0.984846328049175
"ASV_480",-2.85813127353974,0.011,0.314285714285714,1.04465011549192,0.0327715852257539,0.984846328049175
"ASV_272",-2.03396958977654,0.013,0.325,2.22189693371075,0.0718299001580887,0.984846328049175
"ASV_213",-2.0270361098527,0.015,0.333333333333333,3.49165892623939,0.102003375156741,0.984846328049175
"ASV_95",-2.20797752054486,0.022,0.44,3.4668946040459,0.10044949433485,0.984846328049175
"ASV_81",-1.7668002122814,0.039,0.470588235294118,1.07455934507094,0.0306304547311641,0.984846328049175
"ASV_131",-2.8709566427541,0.029,0.470588235294118,2.12971816175034,0.0642171610960024,0.984846328049175
"ASV_214",-1.84883439714756,0.04,0.470588235294118,0.550589331685523,0.0203061886540746,0.984846328049175
"ASV_255",-1.99424375504911,0.036,0.470588235294118,1.91889036574318,0.0573780853933925,0.984846328049175
"ASV_335",-1.84519415264722,0.027,0.470588235294118,6.37809542019388,0.173479791341086,0.984846328049175
"ASV_341",-2.03101945468628,0.037,0.470588235294118,4.24999294312557,0.121710164784829,0.984846328049175
"ASV_504",-1.95906258090693,0.033,0.470588235294118,0.92843701700668,0.0291165841360439,0.984846328049175
"ASV_89",-2.29708739812211,0.044,0.488888888888889,3.41237691798279,0.100302746563655,0.984846328049175
"ASV_218",-1.94098986091005,0.053,0.490909090909091,4.24219944908036,0.121800144039962,0.984846328049175
