"taxon","t_stat","p_perm","q_value","lure_F_stat","lure_r2","lure_q_value"
"ASV_236",-3.22391620427317,0.002,0.2,1.84371915973838,0.0542121723337679,0.984846328049175
"ASV_250",4.02274274179663,0.002,0.2,1.83448666642096,0.0548948763957177,0.984846328049175
"ASV_480",-2.93974307943105,0.003,0.2,1.04465011549192,0.0327715852257539,0.984846328049175
"ASV_442",2.92194035010815,0.006,0.3,1.25815229451998,0.037979308865301,0.984846328049175
"ASV_181",-2.83105720117107,0.011,0.44,1.21273322801963,0.0388137638840606,0.984846328049175
"ASV_135",-2.25620057214052,0.015,0.5,2.27351368842033,0.070585322609781,0.984846328049175
"ASV_506",2.32206531053214,0.018,0.514285714285714,1.18675849662976,0.0353875010184375,0.984846328049175
"ASV_95",-2.20017584417964,0.031,0.733333333333333,3.4668946040459,0.10044949433485,0.984846328049175
"ASV_131",-2.79440057145363,0.033,0.733333333333333,2.12971816175034,0.0642171610960024,0.984846328049175
"ASV_8",1.74966512226927,0.106,0.791836734693878,0.880241717148477,0.0275492746759314,0.984846328049175
"ASV_10",1.33919928087061,0.155,0.791836734693878,20.7572269129054,0.401705980745975,0.984846328049175
"ASV_34",1.26638734070415,0.166,0.791836734693878,1.04730666532219,0.0327865879998307,0.984846328049175
"ASV_50",-1.59819742371981,0.109,0.791836734693878,7.42422339802663,0.194202802130211,0.984846328049175
"ASV_54",1.35499027412989,0.147,0.791836734693878,12.7291170095334,0.291263282607321,0.984846328049175
"ASV_57",-1.4257701854159,0.125,0.791836734693878,6.61439453543205,0.176453364868013,0.984846328049175
"ASV_89",-2.30872130873471,0.055,0.791836734693878,3.41237691798279,0.100302746563655,0.984846328049175
"ASV_94",1.70956987299968,0.171,0.791836734693878,5.56187036021513,0.151709301934829,0.984846328049175
"ASV_96",1.67803832476835,0.158,0.791836734693878,0.482336438715941,0.0152643460461128,0.984846328049175
"ASV_100",1.60505001083583,0.133,0.791836734693878,0.70732788683806,0.0230005357671939,0.984846328049175
"ASV_182",-1.72531288002924,0.182,0.791836734693878,3.03330418561567,0.0893854508246642,0.984846328049175
"ASV_213",-1.74847901663397,0.048,0.791836734693878,3.49165892623939,0.102003375156741,0.984846328049175
"ASV_214",-1.4221408906755,0.188,0.791836734693878,0.550589331685523,0.0203061886540746,0.984846328049175
"ASV_218",-1.83802274260453,0.065,0.791836734693878,4.24219944908036,0.121800144039962,0.984846328049175
"ASV_235",1.48959680314265,0.193,0.791836734693878,0.573229328333075,0.0184897247623038,0.984846328049175
"ASV_251",1.5979777199325,0.194,0.791836734693878,1.38212431480873,0.0426070257565688,0.984846328049175
"ASV_255",-1.70413946279856,0.088,0.791836734693878,1.91889036574318,0.0573780853933925,0.984846328049175
"ASV_272",-1.63103103437658,0.056,0.791836734693878,2.22189693371075,0.0718299001580887,0.984846328049175
"ASV_275",-2.28641821273673,0.057,0.791836734693878,2.34107131117961,0.071263927079161,0.984846328049175
"ASV_302",-1.85830034663114,0.105,0.791836734693878,0.64636292068802,0.0220944579311696,0.984846328049175
"ASV_317",-1.86211661892694,0.047,0.791836734693878,2.53428962977758,0.0762025307368756,0.984846328049175
"ASV_321",-1.20433540973905,0.166,0.791836734693878,1.44379540516063,0.0437044239113687,0.984846328049175
"ASV_333",1.42932312156092,0.101,0.791836734693878,1.16202037771931,0.0352788445721938,0.984846328049175
"ASV_335",-1.44200673111556,0.141,0.791836734693878,6.37809542019388,0.173479791341086,0.984846328049175
"ASV_341",-1.72986844618543,0.072,0.791836734693878,4.24999294312557,0.121710164784829,0.984846328049175
"ASV_343",1.52050201077485,0.168,0.791836734693878,0.858673772483997,0.0262962768428831,0.984846328049175
"ASV_368",1.50336622596646,0.149,0.791836734693878,0.462473056082268,0.0153251158072956,0.984846328049175
"ASV_377",1.62439391660366,0.13,0.791836734693878,3.44632738857115,0.100252841210225,0.984846328049175
"ASV_381",1.35089720241142,0.155,0.791836734693878,0.922963498529937,0.0283310569494329,0.984846328049175
"ASV_383",-1.57289157094665,0.123,0.791836734693878,1.8683159076809,0.0584277325736763,0.984846328049175
"ASV_386",1.17947495060816,0.177,0.791836734693878,1.71478239133367,0.0524862699714757,0.984846328049175
"ASV_388",1.51498120467509,0.165,0.791836734693878,1.20716139198643,0.0382868654759327,0.984846328049175
"ASV_395",-1.50549495629804,0.16,0.791836734693878,2.14937080132623,0.0647472378528425,0.984846328049175
