"sample_id","shannon","simpson_dominance","richness","site","lure","trap_id","date"
"NH.46",1.08433536272494,0.404303633217993,7,"Manchester Cedar Swamp","Ethanol","C1-E",2024-05-01
"NH.81",1.99349312172849,0.168388429752066,11,"Manchester Cedar Swamp","Ethanol","C1-E",2024-05-15
"NH.94",1.20071871335107,0.414901387874361,7,"Manchester Cedar Swamp","Ethanol","C1-E",2024-05-29
"NH.54",1.29548743757511,0.334648257725181,6,"Manchester Cedar Swamp","Ethanol","C1-E",2024-06-12
"NH.78",1.54811552687402,0.25,6,"Manchester Cedar Swamp","Ethanol","C1-E",2024-06-26
"NH.87",0.759547391474863,0.570247933884298,3,"Manchester Cedar Swamp","Ethanol","C1-E",2024-07-10
"NH.117",1.66759819254968,0.297606659729448,11,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-01
"NH.85",2.73211001809954,0.076425020233553,20,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-15
"NH.51",2.16415029434675,0.148641975308642,17,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-29
"NH.50",1.08778586729054,0.409722222222222,6,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-06-12
"NH.53",2.0603280923939,0.175308641975309,12,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-06-26
"NH.52",1.4528385128811,0.316568047337278,7,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-07-10
"NH.99",0.693147180559945,0.5,2,"Manchester Cedar Swamp","Ips","C3-I",2024-05-01
"NH.90",1.497866136777,0.31,7,"Manchester Cedar Swamp","Ips","C3-I",2024-05-15
"NH.59",0.198515243345873,0.905,2,"Manchester Cedar Swamp","Ips","C3-I",2024-05-29
"NH.68",0.355712859746894,0.837429111531191,3,"Manchester Cedar Swamp","Ips","C3-I",2024-06-12
"NH.62",0.566085738959629,0.708333333333333,3,"Manchester Cedar Swamp","Ips","C3-I",2024-06-26
"NH.57",0.518186213050213,0.735,3,"Manchester Cedar Swamp","Ips","C3-I",2024-07-10
"NH.44",1.50187005346028,0.321666666666667,9,"Durham","Ethanol","D1-E",2024-05-01
"NH.92",1.34832860562943,0.445796401400797,14,"Durham","Ethanol","D1-E",2024-05-15
"NH.55",1.56254548344869,0.273450158000574,15,"Durham","Ethanol","D1-E",2024-05-29
"NH.73",1.27483276800375,0.345,6,"Durham","Ethanol","D1-E",2024-06-12
"NH.116",1.26388785014575,0.466297322253001,10,"Durham","Ethanol","D1-E",2024-06-26
"NH.49",1.41171914527237,0.425925925925926,10,"Durham","Ethanol","D1-E",2024-07-10
"NH.104",2.33521810177033,0.118367346938775,13,"Durham","Alpha-pinene_EtOH","D2-EA",2024-05-01
"NH.34",1.01159114002454,0.630520077292865,22,"Durham","Alpha-pinene_EtOH","D2-EA",2024-05-15
"NH.133",1.29188969706356,0.516883453127345,19,"Durham","Alpha-pinene_EtOH","D2-EA",2024-05-29
"NH.77",2.02021038662314,0.174045579910001,12,"Durham","Alpha-pinene_EtOH","D2-EA",2024-06-12
"NH.67",1.99790819314127,0.164946519046725,11,"Durham","Alpha-pinene_EtOH","D2-EA",2024-06-26
"NH.66",1.73545639362693,0.247626004382761,10,"Durham","Alpha-pinene_EtOH","D2-EA",2024-07-10
"NH.105",0.867563228481461,0.5,3,"Durham","Ips","D3-I",2024-05-01
"NH.107",1.02323407155463,0.506944444444445,6,"Durham","Ips","D3-I",2024-05-15
"NH.65",0.94094731241064,0.572190426638918,9,"Durham","Ips","D3-I",2024-05-29
"NH.56",0.409458618695089,0.806094182825485,3,"Durham","Ips","D3-I",2024-06-12
"NH.114",0.711941187846064,0.684948979591837,6,"Durham","Ips","D3-I",2024-07-10
"NH.41",1.43124977912889,0.309333720423864,7,"Manchester Airport","Ethanol","M1-E",2024-05-01
"NH.33",2.00240384968903,0.164037460978148,13,"Manchester Airport","Ethanol","M1-E",2024-05-15
"NH.69",1.66464618966484,0.256711158887993,13,"Manchester Airport","Ethanol","M1-E",2024-05-29
"NH.139",0.716942368620351,0.66358024691358,5,"Manchester Airport","Ethanol","M1-E",2024-06-12
"NH.60",1.53720711218616,0.270233196159122,7,"Manchester Airport","Ethanol","M1-E",2024-06-26
"NH.138",1.22004671582964,0.371900826446281,5,"Manchester Airport","Ethanol","M1-E",2024-07-10
"NH.89",2.03663476244777,0.177551020408163,13,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-01
"NH.84",2.18467542449072,0.173094582185491,14,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-15
"NH.134",1.9031104262123,0.228960232527414,14,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-29
"NH.38",1.10689373211504,0.550187421907538,9,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-06-12
"NH.74",1.688089922165,0.364795918367347,15,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-06-26
