"sample_id","shannon","simpson_dominance","richness","site","lure","trap_id","date"
"NH.100",4.51253886095055,0.0546538063999998,686.35,"Pease","Ethanol","P1-E",2024-05-15
"NH.104",4.99474978859338,0.0319387775999998,834.02,"Durham","Alpha-pinene_EtOH","D2-EA",2024-05-01
"NH.105",5.35792532691069,0.0128407608,795.1,"Durham","Ips","D3-I",2024-05-01
"NH.106",3.05667293118493,0.235286747200002,474.88,"Pease","Ethanol","P1-E",2024-05-01
"NH.107",5.30666579691453,0.0184204799999998,859.45,"Durham","Ips","D3-I",2024-05-15
"NH.109",2.70255806169783,0.274129263999997,331.28,"Manchester Airport","Ips","M3-I",2024-06-12
"NH.110",4.52099618443141,0.0563799287999998,696.04,"Manchester Airport","Ips","M3-I",2024-07-10
"NH.113",4.99549657576834,0.0198300895999999,520.18,"Pease","Ips","P3-I",2024-05-01
"NH.114",3.88795711562944,0.106533359200002,548.69,"Durham","Ips","D3-I",2024-07-10
"NH.115",3.66989576654977,0.0589816191999999,350.96,"Pease","Ips","P3-I",2024-07-10
"NH.116",4.01902721408677,0.0534664247999999,481.54,"Durham","Ethanol","D1-E",2024-06-26
"NH.117",4.58838211583776,0.027841184,430.45,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-01
"NH.122",3.33717396479896,0.129104325600002,465.74,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-29
"NH.124",3.28577634717784,0.0901900944000012,338.49,"Pease","Alpha-pinene_EtOH","P2-EA",2024-07-10
"NH.129",5.32527800736487,0.0249660719999998,902.19,"Pease","Ips","P3-I",2024-05-15
"NH.131",4.36396023643197,0.0427576231999998,565.08,"Pease","Alpha-pinene_EtOH","P2-EA",2024-06-26
"NH.132",3.60457819036505,0.161954916000002,501.99,"Pease","Ips","P3-I",2024-05-29
"NH.133",4.44472940831084,0.0508355423999998,640.8,"Durham","Alpha-pinene_EtOH","D2-EA",2024-05-29
"NH.134",2.44098930077939,0.259669514399997,284.47,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-29
"NH.137",3.6297708926002,0.0871484560000018,467.43,"Pease","Ethanol","P1-E",2024-07-10
"NH.138",4.14414537997097,0.0809413560000023,624.56,"Manchester Airport","Ethanol","M1-E",2024-07-10
"NH.139",2.42354841844274,0.360046567999998,294.54,"Manchester Airport","Ethanol","M1-E",2024-06-12
"NH.33",5.01279444360033,0.0177245935999999,703.39,"Manchester Airport","Ethanol","M1-E",2024-05-15
"NH.34",4.94230588238361,0.0400473319999998,726.77,"Durham","Alpha-pinene_EtOH","D2-EA",2024-05-15
"NH.35",2.51940248924618,0.296210536799996,377.9,"Pease","Ethanol","P1-E",2024-06-12
"NH.36",3.71659383764861,0.127733759200002,525.43,"Pease","Ethanol","P1-E",2024-06-26
"NH.38",3.62858290842988,0.111565484000002,502.94,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-06-12
"NH.39",4.72692246144624,0.0354899775999999,584.52,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-01
"NH.41",4.72755622743733,0.0364224575999998,698.28,"Manchester Airport","Ethanol","M1-E",2024-05-01
"NH.44",5.31506839363792,0.0178890359999999,827.69,"Durham","Ethanol","D1-E",2024-05-01
"NH.46",4.97265056131595,0.0274125727999999,634.6,"Manchester Cedar Swamp","Ethanol","C1-E",2024-05-01
"NH.49",4.16841204485275,0.0504511991999998,557.91,"Durham","Ethanol","D1-E",2024-07-10
"NH.50",4.40003380165883,0.0484776807999999,576.24,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-06-12
"NH.51",3.47783769895533,0.102766169600001,392.35,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-29
"NH.52",3.64618344337775,0.150860951200002,549.81,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-07-10
"NH.53",3.73919943756686,0.0791268400000012,391.38,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-06-26
"NH.55",3.73054367837271,0.112160442400002,492.72,"Durham","Ethanol","D1-E",2024-05-29
"NH.56",2.69528091848564,0.284729867199996,392.1,"Durham","Ips","D3-I",2024-06-12
"NH.57",2.79938027393614,0.260208700799997,381.68,"Manchester Cedar Swamp","Ips","C3-I",2024-07-10
"NH.59",3.35032610381168,0.0920043904000011,322.96,"Manchester Cedar Swamp","Ips","C3-I",2024-05-29
"NH.60",2.09967426964502,0.436508311999997,318.01,"Manchester Airport","Ethanol","M1-E",2024-06-26
"NH.61",2.84376434765518,0.240923514400001,351.44,"Manchester Airport","Ips","M3-I",2024-06-26
"NH.62",3.41286048521148,0.106405815200001,386.93,"Manchester Cedar Swamp","Ips","C3-I",2024-06-26
"NH.65",3.46718020329467,0.181812368000002,536.99,"Durham","Ips","D3-I",2024-05-29
"NH.66",4.43977292427504,0.0610703080000006,704.28,"Durham","Alpha-pinene_EtOH","D2-EA",2024-07-10
"NH.67",3.90787763228271,0.0627025288000009,470.91,"Durham","Alpha-pinene_EtOH","D2-EA",2024-06-26
"NH.68",2.82260214440528,0.159932575200001,281.15,"Manchester Cedar Swamp","Ips","C3-I",2024-06-12
"NH.69",3.41052909814334,0.133939874400002,416.37,"Manchester Airport","Ethanol","M1-E",2024-05-29
"NH.70",2.21298935272612,0.274772915999997,308.06,"Pease","Alpha-pinene_EtOH","P2-EA",2024-06-12
"NH.72",3.65532201693251,0.134675900000002,571.49,"Pease","Ethanol","P1-E",2024-05-29
"NH.73",2.93588363419188,0.161750988000001,357.48,"Durham","Ethanol","D1-E",2024-06-12
"NH.74",2.06898952926673,0.466347703999997,321.23,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-06-26
"NH.75",4.41938428197242,0.0554657615999998,672.57,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-07-10
"NH.76",2.50526635861836,0.275238950399997,280.75,"Manchester Airport","Ips","M3-I",2024-05-29
"NH.77",3.74716486619139,0.0967587080000018,493,"Durham","Alpha-pinene_EtOH","D2-EA",2024-06-12
"NH.78",3.78573653946683,0.0851780928000016,450.17,"Manchester Cedar Swamp","Ethanol","C1-E",2024-06-26
"NH.81",5.55150514210635,0.00897638879999997,675.74,"Manchester Cedar Swamp","Ethanol","C1-E",2024-05-15
"NH.84",4.60962655809105,0.0444452383999998,585.08,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-15
"NH.85",4.27114497949212,0.0503602655999998,575.05,"Manchester Cedar Swamp","Alpha-pinene_EtOH","C2-EA",2024-05-15
"NH.87",3.38133173816311,0.162793651200002,482.95,"Manchester Cedar Swamp","Ethanol","C1-E",2024-07-10
"NH.89",2.68146865069987,0.199341540000001,271.37,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-01
"NH.90",5.6106657088714,0.0105523776,946.93,"Manchester Cedar Swamp","Ips","C3-I",2024-05-15
"NH.91",4.51225061122357,0.0473706351999998,752.77,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-15
"NH.92",5.01695800855559,0.0363434879999998,835.7,"Durham","Ethanol","D1-E",2024-05-15
"NH.94",4.05590900876986,0.0558933207999999,509.18,"Manchester Cedar Swamp","Ethanol","C1-E",2024-05-29
"NH.95",4.28456595939518,0.0390587391999998,578.4,"Pease","Ips","P3-I",2024-06-26
"NH.97",4.30848573988348,0.0589362007999999,572.23,"Manchester Airport","Ips","M3-I",2024-05-15
"NH.99",5.09674029799414,0.0158133632,564.62,"Manchester Cedar Swamp","Ips","C3-I",2024-05-01
