"sample_id","site","lure","date","trap_id","total_individuals","insect_shannon","insect_simpson_dominance","insect_richness","fungal_shannon","fungal_simpson_dominance","fungal_richness"
"NH.100","Pease","Ethanol",2024-05-15,"P1-E",239,2.06437287951414,0.202710036588995,26,4.51253886095055,0.0546538063999998,686.35
"NH.104","Durham","Alpha-pinene_EtOH",2024-05-01,"D2-EA",46,2.84000797665415,0.0756143667296787,22,4.99474978859338,0.0319387775999998,834.02
"NH.105","Durham","Ips",2024-05-01,"D3-I",18,2.35125728412732,0.111111111111111,12,5.35792532691069,0.0128407608,795.1
"NH.106","Pease","Ethanol",2024-05-01,"P1-E",106,0.955344331431223,0.648273406906373,14,3.05667293118493,0.235286747200002,474.88
"NH.107","Durham","Ips",2024-05-15,"D3-I",66,2.02646021661429,0.274563820018366,20,5.30666579691453,0.0184204799999998,859.45
"NH.109","Manchester Airport","Ips",2024-06-12,"M3-I",74,2.85818754518854,0.132943754565376,34,2.70255806169783,0.274129263999997,331.28
"NH.110","Manchester Airport","Ips",2024-07-10,"M3-I",68,3.29224102379865,0.0519031141868513,36,4.52099618443141,0.0563799287999998,696.04
"NH.113","Pease","Ips",2024-05-01,"P3-I",12,1.97920451743432,0.152777777777778,8,4.99549657576834,0.0198300895999999,520.18
"NH.114","Durham","Ips",2024-07-10,"D3-I",101,2.41929782752364,0.222821292030193,31,3.88795711562944,0.106533359200002,548.69
"NH.115","Pease","Ips",2024-07-10,"P3-I",152,1.90512520073651,0.333881578947368,29,3.66989576654977,0.0589816191999999,350.96
"NH.116","Durham","Ethanol",2024-06-26,"D1-E",101,2.75930497369864,0.159298108028624,38,4.01902721408677,0.0534664247999999,481.54
"NH.117","Manchester Cedar Swamp","Alpha-pinene_EtOH",2024-05-01,"C2-EA",76,2.26266261447265,0.201869806094183,22,4.58838211583776,0.027841184,430.45
"NH.122","Pease","Alpha-pinene_EtOH",2024-05-29,"P2-EA",720,2.8026777788535,0.128009259259259,73,3.33717396479896,0.129104325600002,465.74
"NH.124","Pease","Alpha-pinene_EtOH",2024-07-10,"P2-EA",184,3.18176881396135,0.0753780718336483,53,3.28577634717784,0.0901900944000012,338.49
"NH.129","Pease","Ips",2024-05-15,"P3-I",81,2.83109726001782,0.100746837372352,30,5.32527800736487,0.0249660719999998,902.19
"NH.131","Pease","Alpha-pinene_EtOH",2024-06-26,"P2-EA",302,3.43155458702725,0.0635717731678435,75,4.36396023643197,0.0427576231999998,565.08
"NH.132","Pease","Ips",2024-05-29,"P3-I",209,2.10463399739187,0.282937661683569,34,3.60457819036505,0.161954916000002,501.99
"NH.133","Durham","Alpha-pinene_EtOH",2024-05-29,"D2-EA",687,2.00510025642353,0.373852943731474,60,4.44472940831084,0.0508355423999998,640.8
"NH.134","Manchester Airport","Alpha-pinene_EtOH",2024-05-29,"M2-EA",135,3.08364493619119,0.100137174211248,48,2.44098930077939,0.259669514399997,284.47
"NH.137","Pease","Ethanol",2024-07-10,"P1-E",129,2.52958137968376,0.177934018388318,34,3.6297708926002,0.0871484560000018,467.43
"NH.138","Manchester Airport","Ethanol",2024-07-10,"M1-E",96,3.44524966068829,0.044921875,44,4.14414537997097,0.0809413560000023,624.56
"NH.139","Manchester Airport","Ethanol",2024-06-12,"M1-E",81,2.699723908985,0.151653711324493,33,2.42354841844274,0.360046567999998,294.54
"NH.33","Manchester Airport","Ethanol",2024-05-15,"M1-E",214,2.97868051620887,0.0892217660931087,50,5.01279444360033,0.0177245935999999,703.39
"NH.34","Durham","Alpha-pinene_EtOH",2024-05-15,"D2-EA",857,1.250422518665,0.582982616900561,44,4.94230588238361,0.0400473319999998,726.77
"NH.35","Pease","Ethanol",2024-06-12,"P1-E",105,2.69077642762213,0.111292517006803,27,2.51940248924618,0.296210536799996,377.9
"NH.36","Pease","Ethanol",2024-06-26,"P1-E",218,2.77231340577751,0.149776954801784,50,3.71659383764861,0.127733759200002,525.43
"NH.38","Manchester Airport","Alpha-pinene_EtOH",2024-06-12,"M2-EA",101,2.70580784751259,0.154004509361827,36,3.62858290842988,0.111565484000002,502.94
"NH.39","Pease","Alpha-pinene_EtOH",2024-05-01,"P2-EA",40,2.46945371187662,0.13875,18,4.72692246144624,0.0354899775999999,584.52
"NH.41","Manchester Airport","Ethanol",2024-05-01,"M1-E",111,2.19355327839545,0.18220923626329,20,4.72755622743733,0.0364224575999998,698.28
"NH.44","Durham","Ethanol",2024-05-01,"D1-E",70,1.95948664558031,0.24,16,5.31506839363792,0.0178890359999999,827.69
"NH.46","Manchester Cedar Swamp","Ethanol",2024-05-01,"C1-E",282,1.27094419117369,0.376314068708818,15,4.97265056131595,0.0274125727999999,634.6
"NH.49","Durham","Ethanol",2024-07-10,"D1-E",110,3.14821750562092,0.0791735537190083,42,4.16841204485275,0.0504511991999998,557.91
"NH.50","Manchester Cedar Swamp","Alpha-pinene_EtOH",2024-06-12,"C2-EA",85,2.68927931606531,0.139377162629758,33,4.40003380165883,0.0484776807999999,576.24
"NH.51","Manchester Cedar Swamp","Alpha-pinene_EtOH",2024-05-29,"C2-EA",205,3.12333630638299,0.0725044616299822,48,3.47783769895533,0.102766169600001,392.35
"NH.52","Manchester Cedar Swamp","Alpha-pinene_EtOH",2024-07-10,"C2-EA",69,3.33286090132235,0.0594412938458307,40,3.64618344337775,0.150860951200002,549.81
"NH.53","Manchester Cedar Swamp","Alpha-pinene_EtOH",2024-06-26,"C2-EA",91,3.33110751319964,0.0576017389204203,43,3.73919943756686,0.0791268400000012,391.38
"NH.55","Durham","Ethanol",2024-05-29,"D1-E",372,2.42040369060454,0.175135853855937,56,3.73054367837271,0.112160442400002,492.72
"NH.56","Durham","Ips",2024-06-12,"D3-I",45,2.36258228415769,0.176296296296296,20,2.69528091848564,0.284729867199996,392.1
"NH.57","Manchester Cedar Swamp","Ips",2024-07-10,"C3-I",50,2.77191018223935,0.1344,28,2.79938027393614,0.260208700799997,381.68
"NH.59","Manchester Cedar Swamp","Ips",2024-05-29,"C3-I",51,2.49843110171716,0.164167627835448,23,3.35032610381168,0.0920043904000011,322.96
"NH.60","Manchester Airport","Ethanol",2024-06-26,"M1-E",90,3.42212433941718,0.0459259259259259,42,2.09967426964502,0.436508311999997,318.01
"NH.61","Manchester Airport","Ips",2024-06-26,"M3-I",49,2.94929304247092,0.0720533111203665,26,2.84376434765518,0.240923514400001,351.44
"NH.62","Manchester Cedar Swamp","Ips",2024-06-26,"C3-I",33,2.7567455829495,0.114784205693297,23,3.41286048521148,0.106405815200001,386.93
"NH.65","Durham","Ips",2024-05-29,"D3-I",176,2.15722450800246,0.289901859504132,36,3.46718020329467,0.181812368000002,536.99
"NH.66","Durham","Alpha-pinene_EtOH",2024-07-10,"D2-EA",77,3.15806244293148,0.0720188902007083,38,4.43977292427504,0.0610703080000006,704.28
"NH.67","Durham","Alpha-pinene_EtOH",2024-06-26,"D2-EA",125,3.22671068799485,0.063552,43,3.90787763228271,0.0627025288000009,470.91
"NH.68","Manchester Cedar Swamp","Ips",2024-06-12,"C3-I",63,2.60877150972532,0.148904006046863,28,2.82260214440528,0.159932575200001,281.15
