"taxon","n_samples_present","n_dates_present","first_date","last_date","window_days","t_stat","q_value","t_stat_quad","q_value_quad","shape","beta_std","beta_std_quad","date_significant"
"Cyclorhipidion pelliculosum",13,3,2024-05-01,2024-05-29,28,-4.56301291015269,0.00478125,1.5871450259707,0.257684210526316,"linear decrease (early-season)",-0.423001400929755,0.147133315889558,TRUE
"Heteroborips seriatus",21,5,2024-05-01,2024-06-26,56,-3.76686585245053,0.00478125,0.170955594600403,0.912612676056338,"linear decrease (early-season)",-0.347027422983535,0.0157496628341287,TRUE
"Monarthrum mali",19,6,2024-05-01,2024-07-10,70,0.0684931169315591,0.960276315789474,-0.625385971706129,0.663418032786885,"no significant date pattern",0.00813938677584126,-0.0743185441020173,FALSE
"Xyleborinus attenuatus",24,5,2024-05-01,2024-07-10,70,-13.2959832193998,0.00478125,9.33471510705757,0.0139090909090909,"dip (troughs mid-season)",-0.718782162261449,0.504640616850151,TRUE
"Xyleborinus saxesenii",25,6,2024-05-01,2024-07-10,70,-0.447416994260721,0.773302325581395,-2.79647178665576,0.0218571428571429,"hump (peaks mid-season)",-0.0408608969541059,-0.255393690636446,TRUE
"Xylosandrus germanus",45,6,2024-05-01,2024-07-10,70,-4.06288687854434,0.00478125,-1.87616243289394,0.160779661016949,"linear decrease (early-season)",-0.323883115725529,-0.14956442842633,TRUE
"Ampedus unnamed sp. ",7,3,2024-05-01,2024-05-29,28,-2.42451412121371,0.0230943396226415,0.169691231641197,0.926383561643836,"linear decrease (early-season)",-0.281713799218423,0.0197172846655897,TRUE
"Phymaphora pulchella",23,5,2024-05-01,2024-06-26,56,-3.77184466833808,0.00784615384615385,-0.96392005385372,0.480857142857143,"linear decrease (early-season)",-0.422488940197498,-0.107970935158032,TRUE
"Cymbiodyta sp.",17,5,2024-05-01,2024-07-10,70,-2.92053517405831,0.0109285714285714,-0.00408803783624161,1,"linear decrease (early-season)",-0.290325977630016,-0.000406389674351382,TRUE
"Melanophthalma sp.",65,6,2024-05-01,2024-07-10,70,6.97539945488818,0.00478125,-3.44895834612261,0.0218571428571429,"hump (peaks mid-season)",0.566255713409439,-0.279985644912745,TRUE
"Glischrochilus fasciatus",11,4,2024-05-01,2024-06-12,42,-2.91647786612998,0.01275,0.0492683193976351,0.982691275167785,"linear decrease (early-season)",-0.332968857296079,0.00562492817288203,TRUE
"Glischrochilus sanguinolentus",30,6,2024-05-01,2024-07-10,70,-2.94943559374082,0.02142,1.01320333386879,0.459,"linear decrease (early-season)",-0.311671136189381,0.107067726132686,TRUE
"Dendrophagus cygnaei",9,4,2024-05-01,2024-06-12,42,-2.59846561091123,0.01275,0.962837937351331,0.527779816513761,"linear decrease (early-season)",-0.298076305502593,0.110450573960321,TRUE
"Zenodosus sanguineus",34,6,2024-05-01,2024-07-10,70,1.09585273714811,0.41616,-2.74961938072756,0.02448,"hump (peaks mid-season)",0.125110516085889,-0.313919649770796,TRUE
"Parasitic Wasp",21,5,2024-05-01,2024-06-26,56,-2.06842178743366,0.08775,0.0300506124661924,0.9894,"linear decrease (early-season)",-0.234790022130645,0.00341112915198106,TRUE
"Orthocis punctatus",16,4,2024-05-01,2024-06-12,42,-3.03758322238789,0.00784615384615385,-0.537460289605305,0.721285714285714,"linear decrease (early-season)",-0.335633025602516,-0.0593864256053717,TRUE
"Enoclerus nigripes",43,6,2024-05-01,2024-07-10,70,-1.06520941511423,0.387183673469388,-4.13793666906869,0.0139090909090909,"hump (peaks mid-season)",-0.103648854384417,-0.402640680539414,TRUE
"Hylobius pales",20,6,2024-05-01,2024-07-10,70,1.84890171557768,0.10343661971831,-1.57325741562308,0.226173913043478,"no significant date pattern",0.137301464968751,-0.116832974890685,FALSE
"Pissodes strobi",15,5,2024-05-01,2024-07-10,70,-4.98336078655938,0.00478125,2.04660833746142,0.14722641509434,"linear decrease (early-season)",-0.413862637148864,0.169970257112208,TRUE
"Dendroctonus valens",14,5,2024-05-01,2024-07-10,70,-2.82993247259979,0.00478125,-0.627636196697229,0.657520661157025,"linear decrease (early-season)",-0.277759483154843,-0.0616034602245324,TRUE
"Hylastes opacus",8,3,2024-05-01,2024-05-29,28,-2.592388334873,0.0255,-0.521670878035657,0.736086614173228,"linear decrease (early-season)",-0.28494676882615,-0.0573409089911609,TRUE
"Hylurgops pinifex",11,6,2024-05-01,2024-07-10,70,-0.079510451612405,0.957283783783784,-0.545107979100645,0.636225,"no significant date pattern",-0.0078420823617577,-0.0537643030182884,FALSE
"Xyloterinus politus",22,3,2024-05-01,2024-05-29,28,-5.19038568707483,0.00478125,1.17009911167562,0.4335,"linear decrease (early-season)",-0.529409034886059,0.119348968474408,TRUE
"Acilius mediatus",7,4,2024-05-01,2024-06-12,42,-1.05056947269076,0.468,-1.70092219654681,0.223615384615385,"no significant date pattern",-0.114951884781881,-0.186114440102625,FALSE
"Ellychnia corrusca",27,6,2024-05-01,2024-07-10,70,-2.17397683991741,0.0776417910447761,-2.28978151902174,0.108219512195122,"linear decrease (early-season)",-0.252584460398133,-0.266041913596192,TRUE
"Nudobius cephalus",6,3,2024-05-01,2024-05-29,28,-1.9519797025622,0.123657534246575,-0.460690127256333,0.772116279069768,"no significant date pattern",-0.229890738487662,-0.0542574508050447,FALSE
"Cucujus clavipes",7,4,2024-05-01,2024-06-26,56,-1.28674009543587,0.314225806451613,-0.302334684718633,0.872666666666667,"no significant date pattern",-0.157727557256547,-0.0370603075480076,FALSE
"Ips pini",5,4,2024-05-01,2024-07-10,70,-0.139859509140727,0.9486,1.23781542516074,0.364285714285714,"no significant date pattern",-0.0166150334871489,0.147051484693086,FALSE
"Pityogenes hopkinsi",19,6,2024-05-01,2024-07-10,70,-3.47931379198266,0.00478125,1.00034863252271,0.454316326530612,"linear decrease (early-season)",-0.384124562862396,0.110441975219256,TRUE
"Charaphloeus convexulus",11,4,2024-05-01,2024-06-12,42,-2.84382377140613,0.0278181818181818,0.184923148471108,0.926383561643836,"linear decrease (early-season)",-0.310604762391694,0.020197657865744,TRUE
"Enicmus tenuicornis",26,6,2024-05-01,2024-07-10,70,-2.34854597418359,0.0295263157894737,-0.0882725060062904,0.957283783783784,"linear decrease (early-season)",-0.2670996997843,-0.0100393152482522,TRUE
"Contacyphon sp.",16,6,2024-05-01,2024-07-10,70,-0.0893027206732186,0.957283783783784,2.81638316655429,0.02448,"dip (troughs mid-season)",-0.0099243325392304,0.312991583777355,TRUE
"Aleocharinae gen. sp.",31,6,2024-05-01,2024-07-10,70,0.00985122371829546,0.991,1.3270079543347,0.322590361445783,"no significant date pattern",0.001214772592295,0.163637422839887,FALSE
"Sepedophilus sp.",32,6,2024-05-01,2024-07-10,70,0.51746526011826,0.714,-1.46308948961171,0.256378378378378,"no significant date pattern",0.0614569644156997,-0.173766117915672,FALSE
"Spider",20,6,2024-05-01,2024-07-10,70,0.68523430306987,0.676285714285714,1.19459022675702,0.419516129032258,"no significant date pattern",0.0839135719219142,0.146290583307187,FALSE
"Gnathotrichus materiarius",17,6,2024-05-01,2024-07-10,70,-2.79597284592355,0.01275,0.900234948559718,0.484738317757009,"linear decrease (early-season)",-0.320098643780194,0.103064963972733,TRUE
"Orthotomicus caelatus",27,6,2024-05-01,2024-07-10,70,-0.581253174729892,0.730451612903226,-1.9006457776953,0.147115384615385,"no significant date pattern",-0.0615409607057629,-0.201235418354738,FALSE
"Pityophthorus cariniceps",8,5,2024-05-01,2024-06-26,56,-2.93360918440038,0.01275,2.19721981122524,0.088578947368421,"dip (troughs mid-season)",-0.321887536600849,0.241090286386033,TRUE
"Hydraena sp.",6,5,2024-05-01,2024-07-10,70,-0.223936397935564,0.908093525179856,1.16372230049178,0.480857142857143,"no significant date pattern",-0.0264128487399571,0.137260069647591,FALSE
"Rhinosimus viridiaeneus",6,3,2024-05-01,2024-05-29,28,-2.29351545769385,0.0363050847457627,1.12096641950953,0.519916666666667,"linear decrease (early-season)",-0.273825350694247,0.133834748097092,TRUE
"Ichneumonidae gen. sp.",5,4,2024-05-01,2024-06-12,42,-1.65966069231056,0.18146511627907,0.736734492674163,0.804709923664122,"no significant date pattern",-0.20383346844208,0.0904839376114849,FALSE
"Grynocharis quadrilineata",7,4,2024-05-01,2024-06-26,56,0.336603947331511,0.82712030075188,-1.35135436753633,0.284423076923077,"no significant date pattern",0.0404709101343615,-0.162479030205865,FALSE
"Colopterus truncatus",18,4,2024-05-01,2024-06-26,56,-2.58633682978537,0.0316551724137931,-1.52454123437355,0.284696202531646,"linear decrease (early-season)",-0.285789505220605,-0.168463054004014,TRUE
"Ptiliidae gen. sp.",6,4,2024-05-01,2024-07-10,70,0.241151643701302,0.908093525179856,1.75361908887805,0.190622950819672,"no significant date pattern",0.0298438597774539,0.217022284442589,FALSE
"Moth",31,6,2024-05-01,2024-07-10,70,0.270642088450608,0.908093525179856,0.498872224815935,0.745875,"no significant date pattern",0.0339317969056834,0.0625468078311202,FALSE
"Clypastraea lunata",12,5,2024-05-01,2024-07-10,70,-1.70486490571043,0.166060975609756,-0.732567748056984,0.600428571428572,"no significant date pattern",-0.200234400294599,-0.0860400822738963,FALSE
"Ips grandicollis",19,6,2024-05-01,2024-07-10,70,0.371285323490688,0.789340909090909,-1.13229483250789,0.394670454545455,"no significant date pattern",0.0274340549386057,-0.0836654302955019,FALSE
"Thanasimus dubius",18,5,2024-05-01,2024-06-26,56,0.386701951236175,0.789340909090909,-2.02454319202934,0.116571428571429,"no significant date pattern",0.043001126610951,-0.225130750526472,FALSE
"Hylesinus aculeatus",6,3,2024-05-01,2024-05-29,28,-1.90098921777855,0.147038961038961,-0.287032348681133,0.912612676056338,"no significant date pattern",-0.216704528711302,-0.0327207673886358,FALSE
"Epuraea sp.",9,5,2024-05-01,2024-07-10,70,-1.37807802459173,0.314225806451613,1.42599880006658,0.2907,"no significant date pattern",-0.152985329081728,0.158306752477132,FALSE
"Scydmaeninae gen. sp.",19,6,2024-05-01,2024-07-10,70,-0.0606895143160825,0.960276315789474,-0.825497860791624,0.552947368421053,"no significant date pattern",-0.00728761578424433,-0.0991270222018229,FALSE
"Pityophthorus puberulus",15,6,2024-05-01,2024-07-10,70,-1.61390885777978,0.18,-1.22465591849507,0.3906,"no significant date pattern",-0.171738255940743,-0.130318607498972,FALSE
"Pissodes affinis",16,5,2024-05-15,2024-07-10,56,0.735389751764317,0.634054054054054,-2.55814308682709,0.0585,"hump (peaks mid-season)",0.0682451422118486,-0.237401415665423,TRUE
"Anisandrus sayi",32,5,2024-05-15,2024-07-10,56,0.531254150912287,0.735624,-4.69680010108423,0.0139090909090909,"hump (peaks mid-season)",0.0432822028963498,-0.382660292317068,TRUE
"Limonius basilaris",19,5,2024-05-15,2024-07-10,56,0.519512167066984,0.730451612903226,-2.63143159713055,0.0408,"hump (peaks mid-season)",0.0579665439069685,-0.293614886956326,TRUE
"Isarthrus calceatus",15,3,2024-05-15,2024-06-12,28,-0.87401139163404,0.612,-3.95083297073143,0.019125,"hump (peaks mid-season)",-0.0971462841440345,-0.439139063878848,TRUE
"Sunius confluentus",8,3,2024-05-15,2024-06-26,42,-0.996236466302525,0.470883495145631,-1.98967644707893,0.153,"no significant date pattern",-0.115945732083515,-0.231568292568988,FALSE
"Belonuchus rufipennis",8,5,2024-05-15,2024-07-10,56,2.06271554591122,0.0975652173913043,0.212575598498814,0.912612676056338,"linear increase (late-season)",0.237946278099352,0.024522078981041,TRUE
"Tenebroides corticalis",39,5,2024-05-15,2024-07-10,56,3.64725921449219,0.00478125,-1.87693508885383,0.14382,"linear increase (late-season)",0.367835412601627,-0.189295575466438,TRUE
"Cis fuscipes",8,4,2024-05-15,2024-06-26,42,-0.464276045017049,0.767390625,-2.61269052711861,0.0408,"hump (peaks mid-season)",-0.0543677278089332,-0.305954735425774,TRUE
"Hylastes porculus",10,5,2024-05-15,2024-07-10,56,0.898217255447568,0.57196261682243,-1.94779314400564,0.16575,"no significant date pattern",0.0910731374780302,-0.197494970093502,FALSE
"Pityophthorus consimilis",5,3,2024-05-15,2024-07-10,56,-0.20120316194682,0.928699300699301,-0.0318452359077017,0.991480263157895,"no significant date pattern",-0.0254638472791663,-0.0040303057296531,FALSE
"Pseudopityophthorus minutissimus",5,4,2024-05-15,2024-07-10,56,1.05035803834613,0.482538461538462,-0.0227071264991931,0.991480263157895,"no significant date pattern",0.126445429362214,-0.00273358292774486,FALSE
"Agathidium sp.",22,5,2024-05-15,2024-07-10,56,1.10162680800337,0.409545454545455,-3.12694156519672,0.0283333333333333,"hump (peaks mid-season)",0.129085249263917,-0.366409047848162,TRUE
