"fungal_family","negative","positive","total"
NA,289,156,445
"f__Saccotheciaceae",79,0,79
"f__Valsaceae",11,47,58
"f__Mycosphaerellaceae",47,10,57
"f__Dothioraceae",56,0,56
"f__Diatrypaceae",7,30,37
"f__Herpotrichiellaceae",21,13,34
"f__Peniophoraceae",31,1,32
"f__Bulleribasidiaceae",30,0,30
"f__Dothideaceae",28,1,29
"f__Taphrinaceae",26,3,29
"f__Cucurbitariaceae",17,10,27
"f__Microstromatales_fam_Incertae_sedis",25,0,25
"f__Cryptococcaceae",24,0,24
"f__Helotiales_fam_Incertae_sedis",21,1,22
"f__Cladosporiaceae",14,6,20
"f__Nectriaceae",8,10,18
"f__Didymosphaeriaceae",12,5,17
"f__Phanerochaetaceae",4,13,17
"f__Schizoporaceae",10,7,17
"f__Irpicaceae",7,9,16
"f__Lecanoraceae",8,8,16
"f__Phaeosphaeriaceae",9,7,16
"f__Rhytismataceae",6,10,16
"f__Teratosphaeriaceae",12,4,16
"f__Bulleraceae",15,0,15
"f__Sclerotiniaceae",6,9,15
"f__Sporidiobolaceae",14,0,14
"f__Aspergillaceae",5,8,13
"f__Fomitopsidaceae",4,8,12
"f__Phaeomoniellaceae",5,7,12
"f__Tympanidaceae",4,7,11
"f__Didymellaceae",5,5,10
"f__Exobasidiaceae",4,6,10
"f__Neoantennariellaceae",10,0,10
"f__Physciaceae",8,2,10
"f__Pleosporaceae",4,6,10
"f__Polyporaceae",2,8,10
"f__Gnomoniaceae",7,2,9
"f__Microbotryomycetes_fam_Incertae_sedis",9,0,9
"f__Trichomeriaceae",7,2,9
"f__Verrucariaceae",0,9,9
"f__Capnodiales_fam_Incertae_sedis",3,5,8
"f__Elsinoaceae",8,0,8
"f__Filobasidiaceae",8,0,8
"f__Meruliaceae",6,2,8
"f__Pleosporales_fam_Incertae_sedis",0,8,8
"f__Rhynchogastremataceae",8,0,8
"f__Sordariomycetes_fam_Incertae_sedis",2,6,8
"f__Tremellaceae",6,2,8
"f__Coryneliaceae",1,6,7
"f__Dothideales_fam_Incertae_sedis",5,2,7
"f__Ganodermataceae",4,3,7
"f__Hyaloscyphaceae",5,2,7
"f__Hysteriaceae",6,1,7
"f__Mycenaceae",5,2,7
"f__Parmeliaceae",3,4,7
"f__Steccherinaceae",5,2,7
"f__Venturiaceae",2,5,7
"f__Aureobasidiaceae",6,0,6
"f__Calosphaeriaceae",2,4,6
"f__Debaryomycetaceae",4,2,6
"f__Dermateaceae",4,2,6
"f__Lentitheciaceae",4,2,6
"f__Lophiotremataceae",3,3,6
"f__Mytilinidiaceae",1,5,6
"f__Phaeotremellaceae",3,3,6
"f__Psathyrellaceae",3,3,6
"f__Tubulicrinaceae",2,4,6
"f__Amphisphaeriaceae",3,2,5
"f__Exidiaceae",0,5,5
"f__Graphostromataceae",1,4,5
"f__Helotiaceae",2,3,5
"f__Hymenochaetaceae",2,3,5
"f__Hymenochaetales_fam_Incertae_sedis",1,4,5
"f__Meripilaceae",4,1,5
"f__Myriangiaceae",3,2,5
"f__Phaffomycetaceae",5,0,5
"f__Sareaceae",1,4,5
"f__Spirographaceae",4,1,5
"f__Symmetrosporaceae",4,1,5
"f__Caliciaceae",4,0,4
"f__Chaetothyriaceae",2,2,4
"f__Colacogloeaceae",4,0,4
"f__Cystobasidiaceae",4,0,4
"f__Epibryaceae",1,3,4
"f__Erythrobasidiaceae",4,0,4
"f__Lachnaceae",0,4,4
"f__Lophiostomataceae",1,3,4
"f__Melanommataceae",3,1,4
"f__Microstromataceae",4,0,4
"f__Mrakiaceae",4,0,4
"f__Phacidiaceae",2,2,4
"f__Pleurotaceae",4,0,4
"f__Spizellomycetales_fam_Incertae_sedis",4,0,4
"f__Stereaceae",3,1,4
"f__Togniniaceae",1,3,4
"f__Catillariaceae",1,2,3
"f__Chaetomellaceae",3,0,3
"f__Chionosphaeraceae",2,1,3
"f__Chrysozymaceae",3,0,3
"f__Corticiaceae",2,1,3
"f__Dacrymycetaceae",3,0,3
"f__Endosporiaceae",3,0,3
"f__Gloeocystidiellaceae",1,2,3
"f__Hyphodermataceae",2,1,3
"f__Hypocreales_fam_Incertae_sedis",1,2,3
"f__Lachnocladiaceae",2,1,3
"f__Massarinaceae",2,1,3
"f__Melanopsaceae",3,0,3
"f__Mollisiaceae",3,0,3
"f__Mucoraceae",3,0,3
"f__Mycocaliciaceae",3,0,3
"f__Orbiliaceae",1,2,3
"f__Patellariaceae",3,0,3
"f__Phaeococcomycetaceae",1,2,3
"f__Phleogenaceae",3,0,3
"f__Piskurozymaceae",3,0,3
"f__Powellomycetaceae",2,1,3
"f__Pseudeurotiaceae",1,2,3
"f__Pseudoperisporiaceae",3,0,3
"f__Schizophyllaceae",2,1,3
"f__Scortechiniaceae",2,1,3
"f__Sebacinaceae",1,2,3
"f__Sirobasidiaceae",3,0,3
"f__Tremellales_fam_Incertae_sedis",3,0,3
"f__Tricholomataceae",2,1,3
"f__Trichosporonaceae",3,0,3
"f__Trimorphomycetaceae",2,1,3
"f__Vibrisseaceae",3,0,3
"f__Amylocorticiaceae",1,1,2
"f__Botryobasidiaceae",2,0,2
"f__Carcinomycetaceae",2,0,2
"f__Cerrenaceae",0,2,2
"f__Chaetosphaeriaceae",2,0,2
"f__Cordycipitaceae",1,1,2
"f__Coryneaceae",1,1,2
"f__Crepidotaceae",0,2,2
"f__Cuniculitremaceae",2,0,2
"f__Cystofilobasidiaceae",2,0,2
"f__Diaporthaceae",2,0,2
"f__Discinellaceae",2,0,2
"f__Entolomataceae",1,1,2
"f__Entylomataceae",2,0,2
"f__Filobasidiales_fam_Incertae_sedis",2,0,2
"f__Hydnaceae",0,2,2
"f__Jianyuniaceae",2,0,2
"f__Leucosporidiaceae",2,0,2
"f__Melanconiellaceae",0,2,2
"f__Microsporomycetaceae",0,2,2
"f__Neodevriesiaceae",0,2,2
"f__Ophiocordycipitaceae",0,2,2
"f__Ostropales_fam_Incertae_sedis",1,1,2
"f__Paracladophialophoraceae",1,1,2
"f__Pestalotiopsidaceae",2,0,2
"f__Pezizomycotina_fam_Incertae_sedis",1,1,2
"f__Plectosphaerellaceae",2,0,2
"f__Pyronemataceae",1,1,2
"f__Radulomycetaceae",1,1,2
"f__Rhamphoriaceae",1,1,2
"f__Rickenellaceae",0,2,2
"f__Scoliciosporaceae",0,2,2
"f__Sporocadaceae",2,0,2
"f__Strophariaceae",2,0,2
"f__Xylariaceae",2,0,2
"f__Agaricostilbales_fam_Incertae_sedis",1,0,1
"f__Arthoniomycetes_fam_Incertae_sedis",1,0,1
"f__Ascosphaeraceae",1,0,1
"f__Auriscalpiaceae",1,0,1
"f__Botryosphaeriaceae",1,0,1
"f__Buckleyzymaceae",1,0,1
"f__Byssocorticiaceae",1,0,1
