"insect_taxon","fungal_taxon","t_stat","p_perm","q_value_within_insect","q_value_global","insect_family","insect_subfamily","insect_genus","insect_species","fungal_kingdom","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","direction"
"Pityogenes hopkinsi","ASV_81",3.38437161022821,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis","positive"
"Pityogenes hopkinsi","ASV_85",3.76117275464461,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis","positive"
"Pityogenes hopkinsi","ASV_158",3.25746121664688,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sareomycetes","o__Sareales","f__Sareaceae","g__Sarea","s__coeloplata","positive"
"Pityogenes hopkinsi","ASV_221",3.45611170178896,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Capnobotryella","s__renispora","positive"
"Pityogenes hopkinsi","ASV_307",3.86245864311419,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus","positive"
"Pityogenes hopkinsi","ASV_315",3.98498711851889,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_406",3.90150945705246,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis","positive"
"Pityogenes hopkinsi","ASV_430",-3.68726256735656,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA,"negative"
"Pityogenes hopkinsi","ASV_466",2.80866038150205,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Neocatenulostroma",NA,"positive"
"Pityogenes hopkinsi","ASV_508",3.77306316080317,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_554",3.77378681495039,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideales_fam_Incertae_sedis","g__Dothideales_gen_Incertae_sedis",NA,"positive"
"Pityogenes hopkinsi","ASV_558",3.02704885000633,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae","g__Exidia",NA,"positive"
"Pityogenes hopkinsi","ASV_586",3.85121871809477,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__populina","positive"
"Pityogenes hopkinsi","ASV_587",4.19344803285857,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Tympanis",NA,"positive"
"Pityogenes hopkinsi","ASV_590",-2.8842269748335,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Calloriaceae_gen_Incertae_sedis",NA,"negative"
"Pityogenes hopkinsi","ASV_605",3.05866338728399,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_658",3.80637035080947,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae",NA,NA,"positive"
"Pityogenes hopkinsi","ASV_665",4.48801002359432,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Piptoporus","s__betulinus","positive"
"Pityogenes hopkinsi","ASV_667",3.9439594712245,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Nectria","s__cinnabarina","positive"
"Pityogenes hopkinsi","ASV_680",3.1190824978875,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paracamarosporium",NA,"positive"
"Pityogenes hopkinsi","ASV_726",3.44692893153752,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Pachyramichloridium","s__pini","positive"
"Pityogenes hopkinsi","ASV_729",3.0982527968997,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_734",3.83504050669726,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_736",3.32160939372402,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA,"positive"
"Pityogenes hopkinsi","ASV_755",3.43153077968174,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__nitens","positive"
"Pityogenes hopkinsi","ASV_778",5.1086912052192,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Cerrenaceae","g__Cerrena","s__aurantiopora","positive"
"Pityogenes hopkinsi","ASV_789",4.79436751753155,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__micaceus","positive"
"Pityogenes hopkinsi","ASV_806",3.0624378267788,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae","g__Exidia","s__glandulosa","positive"
"Pityogenes hopkinsi","ASV_807",3.88493455483187,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__stigma","positive"
"Pityogenes hopkinsi","ASV_826",3.75927455369674,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_835",3.36200630769092,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_937",3.62891789559711,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_961",4.50256469756438,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sareomycetes","o__Sareales","f__Sareaceae","g__Sarea","s__resinae","positive"
"Pityogenes hopkinsi","ASV_998",3.48650285041549,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus","positive"
"Pityogenes hopkinsi","ASV_1016",3.21643197900976,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Piptoporus","s__betulinus","positive"
"Pityogenes hopkinsi","ASV_1024",3.23879465723628,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes",NA,"positive"
"Pityogenes hopkinsi","ASV_1025",2.88615653736058,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__domesticum","positive"
"Pityogenes hopkinsi","ASV_1070",4.50214331303488,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Chaetophoma",NA,"positive"
"Pityogenes hopkinsi","ASV_1083",4.36147940424527,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1128",2.90162951533205,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1142",5.54143632303922,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1162",3.86634615843632,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1172",3.51414184195924,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Sidera","s__vulgaris","positive"
"Pityogenes hopkinsi","ASV_1251",4.16920577836695,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Catillariaceae","g__Catillaria","s__chalybeia","positive"
"Pityogenes hopkinsi","ASV_1316",5.33783568309563,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sareomycetes","o__Sareales","f__Sareaceae","g__Sarea","s__resinae","positive"
