"fungal_taxon","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","n_insect_partners"
"ASV_1814","p__Ascomycota",NA,NA,NA,NA,NA,3
"ASV_10024","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae",NA,NA,2
"ASV_1029","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA,2
"ASV_10841","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA,2
"ASV_11336","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Pseudoperisporiaceae","g__Eudimeriolum",NA,2
"ASV_1202","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",2
"ASV_1232","p__Ascomycota",NA,NA,NA,NA,NA,2
"ASV_13474","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Thyronectria",NA,2
"ASV_1387","p__Ascomycota","c__Dothideomycetes","o__Mytilinidiales","f__Mytilinidiaceae","g__Mytilinidion","s__insulare",2
"ASV_1398","p__Ascomycota",NA,NA,NA,NA,NA,2
"ASV_1441","p__Ascomycota",NA,NA,NA,NA,NA,2
"ASV_1632","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__predappioensis",2
"ASV_1637","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__stigma",2
"ASV_1750","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,2
"ASV_1785",NA,NA,NA,NA,NA,NA,2
"ASV_1887","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cryptocline","s__arctostaphyli",2
"ASV_22434","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Physcia","s__aipolia",2
"ASV_318","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA,2
"ASV_4041","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Mycosphaerella","s__latebrosa",2
"ASV_435","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",2
"ASV_51","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA,2
"ASV_5229","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,2
"ASV_586","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__populina",2
"ASV_5947","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA,2
"ASV_6065","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Beauveria","s__bassiana",2
"ASV_616","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola",2
"ASV_687","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA,2
"ASV_704","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",2
"ASV_71","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,2
"ASV_762","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA,2
"ASV_804",NA,NA,NA,NA,NA,NA,2
"ASV_82",NA,NA,NA,NA,NA,NA,2
"ASV_834","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Tympanis",NA,2
"ASV_866","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",2
"ASV_954","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA,2
