"insect_taxon","n_sig_original","n_sig_residualized"
"Pityogenes hopkinsi",1593,717
"Xyleborinus attenuatus",254,0
"Hylastes opacus",71,0
"Anisandrus sayi",0,0
"Corthylus columbianus",0,0
"Crypturgus alutaceus",0,0
"Cyclorhipidion bodoanum",0,0
"Cyclorhipidion pelliculosum",0,0
"Cyrtepistomus castaneus",0,0
"Dendroctonus valens",0,0
"Dryocoetes affaber",0,0
"Dryocoetes autographus",0,0
"Enicmus tenuicornis",0,0
"Euwallacea validus",0,0
"Gnathotrichus materiarius",0,0
"Heteroborips seriatus",0,0
"Himatium errans",0,0
"Hylastes porculus",0,0
"Hylesinus aculeatus",0,0
"Hylobius pales",0,0
"Hylurgops pinifex",0,0
"Ips grandicollis",0,0
"Ips pini",0,0
"Melanophthalma sp.",0,0
"Monarthrum fasciatum",0,0
"Monarthrum mali",0,0
"Orthotomicus caelatus",0,0
"Phloeotribus liminaris",0,0
"Pissodes affinis",0,0
"Pissodes strobi",0,0
"Pityophthorus cariniceps",0,0
"Pityophthorus consimilis",0,0
"Pityophthorus puberulus",0,0
"Pseudopityophthorus minutissimus",0,0
"Stenoscelis brevis",0,0
"Xyleborinus saxesenii",0,0
"Xylosandrus crassiusculus",0,0
"Xylosandrus germanus",0,0
"Xyloterinus politus",0,0
