"fungal_family","negative","positive","total"
NA,310,227,537
"f__Saccotheciaceae",81,37,118
"f__Dothioraceae",61,37,98
"f__Valsaceae",28,52,80
"f__Mycosphaerellaceae",41,16,57
"f__Dothideaceae",30,21,51
"f__Cryptococcaceae",24,24,48
"f__Taphrinaceae",29,14,43
"f__Diatrypaceae",7,33,40
"f__Bulleribasidiaceae",28,10,38
"f__Herpotrichiellaceae",23,12,35
"f__Microstromatales_fam_Incertae_sedis",27,7,34
"f__Bulleraceae",17,16,33
"f__Helotiales_fam_Incertae_sedis",21,12,33
"f__Peniophoraceae",30,2,32
"f__Cucurbitariaceae",19,9,28
"f__Filobasidiaceae",8,17,25
"f__Microbotryomycetes_fam_Incertae_sedis",9,14,23
"f__Rhytismataceae",5,18,23
"f__Sclerotiniaceae",9,14,23
"f__Phaeomoniellaceae",14,8,22
"f__Cladosporiaceae",14,7,21
"f__Nectriaceae",10,11,21
"f__Phaeosphaeriaceae",10,9,19
"f__Teratosphaeriaceae",13,6,19
"f__Didymosphaeriaceae",13,5,18
"f__Lecanoraceae",9,9,18
"f__Schizoporaceae",10,8,18
"f__Irpicaceae",6,11,17
"f__Phanerochaetaceae",3,13,16
"f__Polyporaceae",3,13,16
"f__Sporidiobolaceae",13,2,15
"f__Fomitopsidaceae",4,10,14
"f__Rhynchogastremataceae",8,6,14
"f__Tympanidaceae",8,6,14
"f__Aspergillaceae",5,8,13
"f__Tremellaceae",7,6,13
"f__Didymellaceae",7,5,12
"f__Hyaloscyphaceae",5,7,12
"f__Pleosporaceae",5,6,11
"f__Dothideales_fam_Incertae_sedis",6,4,10
"f__Exobasidiaceae",4,6,10
"f__Gnomoniaceae",3,7,10
"f__Mrakiaceae",4,6,10
"f__Pleosporales_fam_Incertae_sedis",1,9,10
"f__Trichomeriaceae",8,2,10
"f__Capnodiales_fam_Incertae_sedis",3,6,9
"f__Dermateaceae",4,5,9
"f__Verrucariaceae",0,9,9
"f__Aureobasidiaceae",6,2,8
"f__Calosphaeriaceae",3,5,8
"f__Debaryomycetaceae",5,3,8
"f__Meripilaceae",4,4,8
"f__Meruliaceae",6,2,8
"f__Neoantennariellaceae",8,0,8
"f__Physciaceae",7,1,8
"f__Sordariomycetes_fam_Incertae_sedis",2,6,8
"f__Steccherinaceae",6,2,8
"f__Venturiaceae",2,6,8
"f__Cystofilobasidiaceae",2,5,7
"f__Elsinoaceae",7,0,7
"f__Ganodermataceae",5,2,7
"f__Parmeliaceae",3,4,7
"f__Phaeotremellaceae",4,3,7
"f__Pleurotaceae",4,3,7
"f__Tricholomataceae",3,4,7
"f__Coryneliaceae",1,5,6
"f__Exidiaceae",1,5,6
"f__Helotiaceae",2,4,6
"f__Hymenochaetaceae",2,4,6
"f__Hysteriaceae",5,1,6
"f__Lachnaceae",2,4,6
"f__Lentitheciaceae",4,2,6
"f__Lophiotremataceae",3,3,6
"f__Mycenaceae",3,3,6
"f__Mytilinidiaceae",1,5,6
"f__Phaffomycetaceae",6,0,6
"f__Psathyrellaceae",3,3,6
"f__Sareaceae",3,3,6
"f__Sirobasidiaceae",3,3,6
"f__Spirographaceae",4,2,6
"f__Symmetrosporaceae",5,1,6
"f__Togniniaceae",3,3,6
"f__Amphisphaeriaceae",3,2,5
"f__Catillariaceae",2,3,5
"f__Epibryaceae",2,3,5
"f__Graphostromataceae",1,4,5
"f__Hymenochaetales_fam_Incertae_sedis",1,4,5
"f__Melanommataceae",3,2,5
"f__Microstromataceae",4,1,5
