"insect_taxon","fungal_taxon","t_stat","p_perm","q_value_within_insect","q_value_global","insect_order","insect_family","insect_subfamily","insect_genus","insect_species","fungal_kingdom","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","direction"
"Pityogenes hopkinsi","ASV_81",3.3588676777166,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis","positive"
"Pityogenes hopkinsi","ASV_85",3.67583260404614,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis","positive"
"Pityogenes hopkinsi","ASV_158",3.21089802729002,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sareomycetes","o__Sareales","f__Sareaceae","g__Sarea","s__coeloplata","positive"
"Pityogenes hopkinsi","ASV_221",3.37124020755437,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Capnobotryella","s__renispora","positive"
"Pityogenes hopkinsi","ASV_307",3.90917180937068,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus","positive"
"Pityogenes hopkinsi","ASV_375",-2.61254965909768,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans","negative"
"Pityogenes hopkinsi","ASV_406",3.87840843658044,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis","positive"
"Pityogenes hopkinsi","ASV_430",-3.62740574095119,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA,"negative"
"Pityogenes hopkinsi","ASV_466",2.82698761452842,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Neocatenulostroma",NA,"positive"
"Pityogenes hopkinsi","ASV_508",3.81320798908724,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"positive"
