"insect_taxon","n_sig_original","n_sig_residualized"
"Pityogenes hopkinsi",1592,646
"Asemum striatum",266,0
"Xyleborinus attenuatus",213,0
"Orthoperus scutellaris",198,0
"Hylastes opacus",133,0
"Acilius mediatus",0,0
"Agathidium sp.",0,0
"Agriotes oblongicollis",0,0
"Aleocharinae gen. sp.",0,0
"Ampedus areolatus",0,0
"Ampedus melanotoides",0,0
"Ampedus semicinctus",0,0
"Ampedus unnamed sp. ",0,0
"Androchirus erythropus",0,0
"Anisandrus sayi",0,0
"Anomala orientalis",0,0
"Athous brightwelli",0,0
"Athous neacanthus",0,0
"Aulonothroscus sp.",0,0
"Belonuchus rufipennis",0,0
"Bombus sp.",0,0
"Caddisfly",0,0
"Camponotus pennsylvanicus",0,0
"Canifa pallipes",0,0
"Capnochroa fuliginosa",0,0
"Catogenus rufus",0,0
"Cerylon castaneum",0,0
"Cerylon unicolor",0,0
"Charaphloeus convexulus",0,0
"Cis creberrimus",0,0
"Cis fuscipes",0,0
"Clypastraea lunata",0,0
"Cockroach",0,0
"Colopterus truncatus",0,0
"Contacyphon sp.",0,0
"Coproporus sp.",0,0
"Corthylus columbianus",0,0
"Corticeus parallelus",0,0
"Crypturgus alutaceus",0,0
"Cucujus clavipes",0,0
"Cyclorhipidion bodoanum",0,0
"Cyclorhipidion pelliculosum",0,0
"Cymbiodyta sp.",0,0
"Cymindis limbata",0,0
"Cyrtepistomus castaneus",0,0
"Cyrtophorus verrucosus",0,0
"Dendroctonus valens",0,0
"Dendrophagus cygnaei",0,0
"Dichelonyx canadensis",0,0
"Dryocoetes affaber",0,0
"Dryocoetes autographus",0,0
"Dryophthorus americanus",0,0
"Ellychnia corrusca",0,0
"Enicmus tenuicornis",0,0
"Enoclerus nigripes",0,0
"Epuraea sp.",0,0
"Euwallacea validus",0,0
"Gambrinus confusus",0,0
"Glischrochilus fasciatus",0,0
"Glischrochilus sanguinolentus",0,0
"Gnathotrichus materiarius",0,0
"Grynocharis quadrilineata",0,0
"Hadrobregmus notatus",0,0
"Haplandrus fulvipes",0,0
"Hesperus apicialis",0,0
"Heteroborips seriatus",0,0
"Himatium errans",0,0
"Hydraena sp.",0,0
"Hylastes porculus",0,0
"Hylesinus aculeatus",0,0
"Hylis terminalis",0,0
"Hylobius pales",0,0
"Hylurgops pinifex",0,0
"Ichneumonidae gen. sp.",0,0
"Ips grandicollis",0,0
"Ips pini",0,0
"Isarthrus calceatus",0,0
"Isomira sp.",0,0
"Isorhipis obliqua",0,0
"Lacon discoideus",0,0
"Laneganus sulcicollis",0,0
"Limonius basilaris",0,0
"Lobiopa undulata",0,0
"Madoniella dislocata",0,0
"Mallochiola gagates",0,0
"Malthodes sp.",0,0
"Melandrya striata",0,0
"Melanophthalma sp.",0,0
"Melanotus americanus",0,0
"Melanotus castanipes",0,0
"Melanotus hyslopi",0,0
"Melanotus similis",0,0
"Menecles insertus",0,0
"Microrhagus sp.",0,0
"Mioptachys flavicauda",0,0
"Miridae gen. sp.",0,0
"Monarthrum fasciatum",0,0
"Monarthrum mali",0,0
"Mordellaria serval",0,0
"Moth",0,0
"Mycetochara fraterna",0,0
"Namunaria guttulata",0,0
"Neoclytus acuminatus",0,0
"Nipponoserica peregrina",0,0
"Nudobius cephalus",0,0
"Orthocis punctatus",0,0
"Orthotomicus caelatus",0,0
"Parasitic Wasp",0,0
"Paromalus teres",0,0
"Phalacridae gen. sp.",0,0
"Philothermus glabriculus",0,0
"Phloeonomus laesicollis",0,0
"Phloeotribus liminaris",0,0
"Phyllophaga longispina",0,0
"Phymaphora pulchella",0,0
"Pissodes affinis",0,0
"Pissodes strobi",0,0
"Pityophthorus cariniceps",0,0
"Pityophthorus consimilis",0,0
"Pityophthorus puberulus",0,0
"Pselaphinae gen. sp.",0,0
"Pseudopityophthorus minutissimus",0,0
"Ptiliidae gen. sp.",0,0
"Ptilinus ruficornis",0,0
"Pycnotomina cavicolle",0,0
"Quedius cruentus",0,0
"Rhagium inquisitor",0,0
"Rhinosimus viridiaeneus",0,0
"Rushia longula",0,0
"Sculptotheca puberula",0,0
"Scydmaeninae gen. sp.",0,0
"Sepedophilus sp.",0,0
"Spider",0,0
"Spider Wasp",0,0
"Stenolophus ochropezus",0,0
"Stenoscelis brevis",0,0
"Sunius confluentus",0,0
"Synchita fuliginosa",0,0
"Synchroa punctata",0,0
"Syzeton subfasciatus",0,0
"Tenebroides corticalis",0,0
"Tetropium schwarzianum",0,0
"Thanasimus dubius",0,0
"Thoracophorus costalis",0,0
"Trixagus chevrolati",0,0
"Xyelid sawfly",0,0
"Xyleborinus saxesenii",0,0
"Xylobiops basilaris",0,0
"Xylosandrus crassiusculus",0,0
"Xylosandrus germanus",0,0
"Xyloterinus politus",0,0
"Xylotrechus colonus",0,0
"Zenodosus sanguineus",0,0
