"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_1905",-7.20607822640865,0.001,0.0222222222222222,2.14800068338566
"ASV_3972",-4.57136666273262,0.001,0.0222222222222222,2.0356422079346
"ASV_534",-5.27231210229818,0.001,0.0222222222222222,2.00611088063736
"ASV_210",-3.32407771338277,0.001,0.0222222222222222,1.98550535719248
"ASV_5162",-3.79241131309414,0.001,0.0222222222222222,1.97091744078039
"ASV_3380",-4.30741090933103,0.001,0.0222222222222222,1.92643757432742
"ASV_2204",-4.75290889024388,0.001,0.0222222222222222,1.91730431143065
"ASV_4626",-4.32095890897876,0.001,0.0222222222222222,1.87027502056179
"ASV_1004",-2.91709635594277,0.001,0.0222222222222222,1.84364439932602
"ASV_199",-5.01752243368406,0.002,0.0266666666666667,2.94662277219397
"ASV_1505",-3.46061942022195,0.002,0.0266666666666667,2.21338222410375
"ASV_4597",-3.44351615003303,0.002,0.0266666666666667,2.03993099258513
"ASV_1395",-3.41886228223029,0.002,0.0266666666666667,2.00097984355481
"ASV_545",-4.49149438138125,0.002,0.0266666666666667,1.81987796234796
"ASV_3425",-3.84652237201482,0.002,0.0266666666666667,1.77292394638395
"ASV_3328",-3.6621513270873,0.003,0.0352941176470588,2.20825457367429
"ASV_2075",-3.00146714690825,0.003,0.0352941176470588,2.06446441433318
"ASV_660",-4.09803773167628,0.004,0.04,2.08047906820415
"ASV_2139",-2.56684486901608,0.004,0.04,1.93523046099876
"ASV_5854",-3.51459665878417,0.004,0.04,1.91021406048319
"ASV_9610",-3.37187037697014,0.005,0.0476190476190476,1.748869216994
"ASV_1122",-3.1076857242485,0.006,0.0545454545454545,2.41315115125981
"ASV_2007",-3.38933305366395,0.007,0.0583333333333333,2.96671792927713
"ASV_7679",-2.80453235142714,0.007,0.0583333333333333,1.91692765785457
"ASV_1687",-3.10284892811112,0.01,0.0666666666666667,2.03503055804455
"ASV_1814",-3.07425002065249,0.01,0.0666666666666667,2.02264320563697
"ASV_7810",-3.01101645486403,0.01,0.0666666666666667,1.97960509898597
"ASV_13213",-2.77324600152273,0.01,0.0666666666666667,1.8649230294484
"ASV_4268",-3.40116928250478,0.01,0.0666666666666667,1.83732877449281
"ASV_3379",-3.33817890810772,0.011,0.0666666666666667,1.79384840899117
"ASV_11293",-2.88385253537102,0.011,0.0666666666666667,1.77547169215667
"ASV_5364",-3.37758929188154,0.01,0.0666666666666667,1.75836062241861
"ASV_6291",-2.456359131597,0.011,0.0666666666666667,1.73207299418993
"ASV_14061",-3.20165487073681,0.013,0.068421052631579,1.91957229710903
"ASV_11609",2.73656461619309,0.012,0.068421052631579,1.87599557712319
"ASV_3926",-2.73582019255375,0.013,0.068421052631579,1.80352304018493
"ASV_1739",2.80441278586256,0.012,0.068421052631579,1.77767349017988
"ASV_3125",-3.09913683152448,0.013,0.068421052631579,1.75238685993412
"ASV_2050",-3.03671414958663,0.014,0.0717948717948718,1.77740247420695
"ASV_7977",-3.14795972554314,0.016,0.08,1.89427245391488
"ASV_9078",2.78714325066515,0.017,0.0829268292682927,1.85681933945088
"ASV_5045",-2.65819467540352,0.018,0.0857142857142857,2.34480232485809
"ASV_80",-2.73675557073254,0.019,0.0883720930232558,2.59540303555276
"ASV_248",-2.49608709732564,0.02,0.0888888888888889,2.93434403169134
"ASV_5254",-2.35595609618211,0.02,0.0888888888888889,1.90597771696032
"ASV_9550",-2.8474012428643,0.022,0.0956521739130435,1.85580826299389
"ASV_5214",-2.60719964414612,0.024,0.1,2.8099093345832
"ASV_5115",-2.49393882359525,0.024,0.1,2.56713391386697
"ASV_15374",-2.74486047384859,0.025,0.102040816326531,1.96707040841198
"ASV_20142",2.86621444755938,0.027,0.105882352941176,2.14046244295224
"ASV_7025",-2.32630233257576,0.027,0.105882352941176,1.73765029117324
"ASV_11794",-2.72947942128478,0.028,0.107692307692308,2.41720181766568
"ASV_4871",2.39850953363836,0.03,0.113207547169811,1.880133985726
"ASV_4315",-2.42100956489076,0.031,0.114814814814815,2.57558892471821
"ASV_2770",-2.35012498712685,0.033,0.115789473684211,2.52607519931801
"ASV_10251",-2.41448412614862,0.032,0.115789473684211,2.27451161487215
"ASV_2212",2.28051069213921,0.033,0.115789473684211,1.78690183047164
"ASV_5528",-2.44529780451279,0.035,0.120689655172414,2.21983654075825
"ASV_4833",-2.27723849624718,0.038,0.126666666666667,2.55966565563899
"ASV_17560",2.48130314352509,0.038,0.126666666666667,2.01298069202497
"ASV_2358",-2.36317748140593,0.04,0.129032258064516,2.476875611409
"ASV_6273",-2.32580558555985,0.04,0.129032258064516,1.761632203115
"ASV_14257",-2.54063188916969,0.042,0.13125,2.18909550354106
"ASV_5467",-2.23890943983761,0.042,0.13125,1.99237296275678
"ASV_4083",-2.53294051642396,0.043,0.132307692307692,2.8158154136323
"ASV_2691",-2.62719867374929,0.044,0.133333333333333,2.60040779344283
"ASV_12368",-2.16253658236333,0.046,0.133333333333333,1.89413749691983
"ASV_3369",-1.91115962675384,0.046,0.133333333333333,1.85573502396263
"ASV_4605",-2.43589330663301,0.046,0.133333333333333,1.80332030941236
"ASV_2213",-2.23978828260819,0.047,0.134285714285714,2.26694695993693
"ASV_9707",-2.46104520243012,0.048,0.135211267605634,2.32197196199017
"ASV_19483",-2.58952362439094,0.05,0.138888888888889,2.33893834090709
"ASV_13108",-2.13512789061352,0.054,0.145945945945946,2.1091442603502
"ASV_13706",-2.02228744897362,0.054,0.145945945945946,2.00568872551698
"ASV_518",-2.05117720516643,0.056,0.149333333333333,2.59886030132807
"ASV_8783",-2.23945461861086,0.058,0.152631578947368,2.31727078724843
"ASV_1187",-2.04426062635896,0.06,0.153846153846154,2.91704464875793
"ASV_3677",-2.08386135603622,0.06,0.153846153846154,2.13563799139105
"ASV_15148",-2.26906384418258,0.061,0.154430379746835,2.29499160605977
"ASV_12132",-2.04980296383742,0.069,0.158241758241758,2.62860551329797
"ASV_4962",-1.99070177381551,0.072,0.158241758241758,2.35086866699867
"ASV_3455",-2.13966475323837,0.072,0.158241758241758,2.30104622538647
"ASV_21917",2.28242973138149,0.072,0.158241758241758,2.18655667381622
"ASV_18169",-2.09137680575765,0.07,0.158241758241758,2.14878026370784
"ASV_9583",-2.03484238480468,0.069,0.158241758241758,2.000919594508
"ASV_24897",2.13290654821321,0.07,0.158241758241758,1.92513105089876
"ASV_9132",-2.2517223248001,0.069,0.158241758241758,1.82693184386778
"ASV_13755",-2.14018478567552,0.068,0.158241758241758,1.77657520116272
"ASV_154",-2.30629753912403,0.068,0.158241758241758,1.75924645856571
"ASV_9635",1.98169105091309,0.064,0.158241758241758,1.75338184023888
"ASV_5903",-1.82909501080348,0.07,0.158241758241758,1.75181453808797
"ASV_11229",-2.07490171540026,0.073,0.158695652173913,2.5909273709688
"ASV_6633",-1.85511252599133,0.077,0.165591397849462,2.02954613966046
"ASV_3313",-2.06317798287459,0.078,0.165957446808511,2.65405855525628
"ASV_13239",1.98550219745447,0.081,0.170526315789474,1.8537036623718
"ASV_11336",-2.17506067720104,0.083,0.171134020618557,2.49917418893555
"ASV_8197",-1.86664813457911,0.083,0.171134020618557,1.74266905710223
"ASV_18718",-1.98902980532804,0.084,0.171428571428571,1.89241144810738
"ASV_6128",-2.16791265910743,0.087,0.175757575757576,1.86611066417896
"ASV_8524",-1.43630199522721,0.092,0.184,1.75694684823776
"ASV_5599",-1.81896620270259,0.093,0.184158415841584,2.26225860601638
"ASV_3958",-1.81818355553886,0.099,0.192233009708738,2.34764763137061
"ASV_19069",-1.77301780213984,0.099,0.192233009708738,1.90213602541879
"ASV_1381",-1.88042881266626,0.102,0.194285714285714,2.58335188922413
"ASV_3923",-2.01628059140052,0.102,0.194285714285714,2.37787590880995
"ASV_14517",1.94508280340548,0.105,0.194545454545455,2.16151991030012
"ASV_3717",-1.71758253266523,0.104,0.194545454545455,2.11944834139726
"ASV_6917",-1.82972772272609,0.106,0.194545454545455,2.0785356473968
"ASV_18367",1.82607327105203,0.107,0.194545454545455,1.8818137790261
"ASV_11239",-1.40992050032914,0.107,0.194545454545455,1.81124652680531
"ASV_3163",1.84666785835519,0.11,0.198198198198198,1.74081906231495
"ASV_13192",-1.77870061855539,0.112,0.2,2.27326574562713
"ASV_11723",-2.09769950405384,0.116,0.205309734513274,2.38916514759633
"ASV_9145",-1.61655043005392,0.12,0.210526315789474,2.11144582059848
"ASV_7978",-2.04840933745444,0.122,0.212068965517241,2.34761387495277
"ASV_10835",-1.98735284131689,0.123,0.212068965517241,1.93051560082326
"ASV_11116",-1.93208717887776,0.128,0.218803418803419,2.25122305272811
"ASV_12548",-1.72945299108874,0.135,0.226890756302521,2.384805862066
"ASV_12567",-1.87809297033777,0.135,0.226890756302521,2.18833905291854
"ASV_20375",1.585292998443,0.138,0.229752066115703,1.99144722551531
"ASV_4353",-1.46109495228045,0.139,0.229752066115703,1.87586337272784
"ASV_12770",-1.90830304247255,0.143,0.230645161290323,2.04388150352
"ASV_9406",-1.87532237815422,0.141,0.230645161290323,1.88953149845415
"ASV_9392",-1.70440408057077,0.143,0.230645161290323,1.86002195807767
"ASV_14834",1.7773342131474,0.147,0.2352,1.95638821069849
"ASV_9691",-1.68686518808548,0.156,0.247244094488189,2.14776517331987
"ASV_3213",-1.61580305570042,0.157,0.247244094488189,2.09967141044496
"ASV_319",-1.59238405617237,0.165,0.255813953488372,2.54229210186249
"ASV_7764",-1.51134431817882,0.165,0.255813953488372,1.75446980837072
"ASV_10510",-1.59558876286793,0.169,0.257575757575758,2.09063619842373
"ASV_16269",-1.43079872880728,0.168,0.257575757575758,1.94485560896531
"ASV_1087",1.32530928797131,0.17,0.257575757575758,1.77298524448023
"ASV_2285",-1.40452497372674,0.172,0.258208955223881,3.36691490334903
"ASV_18008",1.50632392945803,0.173,0.258208955223881,2.0857724074899
"ASV_24648",-1.49990804025462,0.184,0.272592592592593,2.12916647600992
"ASV_7880",-1.43575933052105,0.187,0.275,2.72432481792917
"ASV_886",-1.66932417200714,0.193,0.279136690647482,2.91786825558173
"ASV_4689",-1.41546519644115,0.194,0.279136690647482,1.86806226871607
"ASV_18711",-1.37518062442457,0.192,0.279136690647482,1.82327469537844
"ASV_10295",-1.39360777706332,0.197,0.279432624113475,3.03705543234142
"ASV_2608",-1.71170493928059,0.196,0.279432624113475,1.89015013002788
"ASV_13605",-1.67822409330902,0.203,0.283916083916084,1.8659755886521
"ASV_9708",-1.56743168069837,0.202,0.283916083916084,1.7517595961487
"ASV_5789",-1.53460579954884,0.207,0.2875,2.66200966952551
"ASV_14792",-1.48291980807422,0.21,0.289655172413793,2.16488225673561
"ASV_19706",-1.49518897876323,0.221,0.302739726027397,2.46875662907786
"ASV_13151",-1.45906679511844,0.226,0.307482993197279,2.71340356375997
"ASV_16141",-1.34338711456364,0.23,0.310810810810811,2.59968309089717
"ASV_5298",-1.25541793843023,0.232,0.311409395973154,1.86671769688766
"ASV_10208",-1.15435451499063,0.241,0.321333333333333,1.9074472759316
"ASV_23012",-1.30463153236404,0.247,0.327152317880795,1.99269701813144
"ASV_3614",1.21705723095328,0.252,0.331578947368421,1.82370581166218
"ASV_8640",-1.05398038144232,0.261,0.341176470588235,2.37217152733744
"ASV_4052",-1.13671404935489,0.271,0.350967741935484,2.52141482681073
"ASV_3887",-0.978241063344372,0.272,0.350967741935484,1.81875475380273
"ASV_8489",-1.2850471087759,0.276,0.352866242038217,2.54018185795931
"ASV_12070",-1.15394643166154,0.277,0.352866242038217,1.81582882072472
"ASV_4573",-1.31767877137972,0.299,0.377358490566038,2.24825947562256
"ASV_5406",-1.15755402838513,0.3,0.377358490566038,1.84237268603113
"ASV_8751",-1.26440403945244,0.305,0.380124223602484,2.07427926254013
"ASV_18015",-1.07722258687636,0.306,0.380124223602484,1.785585874984
"ASV_3948",-1.07310231280632,0.308,0.380246913580247,1.77811974251821
"ASV_18877",-1.11338555619248,0.31,0.380368098159509,2.12988240931828
"ASV_19598",-1.0240636585778,0.314,0.382926829268293,2.34295829387823
"ASV_4787",-1.20046475230764,0.317,0.384242424242424,1.75027407080419
"ASV_5653",-1.08367293404158,0.329,0.396385542168675,2.08799036322759
"ASV_21227",-1.10388804370168,0.336,0.402395209580838,1.78161987004601
"ASV_3859",-0.946147688662051,0.351,0.417857142857143,1.95790206982835
