"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_1905",-3.5987387853787,0.001,0.2,2.1410295453401
"ASV_2007",-3.03026135447269,0.009,0.244444444444444,2.9211194380023
"ASV_199",-3.50848062556226,0.007,0.244444444444444,2.90138101924657
"ASV_3677",-2.54733093411252,0.011,0.244444444444444,2.13361356482008
"ASV_1687",-2.88731811430337,0.011,0.244444444444444,2.03235841814221
"ASV_3972",-2.99747820511109,0.01,0.244444444444444,2.03183172155331
"ASV_534",-3.5886185607806,0.006,0.244444444444444,1.99784694731991
"ASV_5162",-3.09600197058978,0.005,0.244444444444444,1.96717665266096
"ASV_4626",-3.06913554105068,0.011,0.244444444444444,1.8484613469984
"ASV_2770",-2.20387774618277,0.043,0.3,2.52023410737656
"ASV_19706",-2.71555246019935,0.042,0.3,2.47482934910878
"ASV_3923",-2.55534631420697,0.053,0.3,2.34441526077675
"ASV_19483",-2.75025209488734,0.024,0.3,2.32543608381221
"ASV_8783",-2.27148388204181,0.053,0.3,2.31170015573827
"ASV_1505",-2.38663610514516,0.015,0.3,2.20445390215714
"ASV_3328",-2.61464611851932,0.035,0.3,2.1923375688282
"ASV_18169",-2.7070150544694,0.02,0.3,2.14730438982413
"ASV_9691",-2.4628250246721,0.04,0.3,2.14373960547358
"ASV_660",-2.16701900448223,0.044,0.3,2.06649208840954
"ASV_1814",-2.48568364558968,0.026,0.3,2.02234872429437
"ASV_7810",-2.28291072730322,0.054,0.3,1.97235713202192
"ASV_10208",-2.31957886814093,0.054,0.3,1.90461982197841
"ASV_7679",-1.96396127634668,0.054,0.3,1.90161362271416
"ASV_7977",-2.98941091244291,0.017,0.3,1.89801686665294
"ASV_14061",-2.71200330988267,0.024,0.3,1.89433962833787
"ASV_4871",-2.00773103372869,0.054,0.3,1.88212867199919
"ASV_9406",-2.52072203961973,0.039,0.3,1.87308568755704
"ASV_13213",-2.1786020530452,0.041,0.3,1.85986948049516
"ASV_3926",-1.97882613087296,0.053,0.3,1.79546502246837
"ASV_1087",-2.28058349079572,0.023,0.3,1.77621307896735
"ASV_3379",-2.43756045186955,0.049,0.3,1.77361192635267
"ASV_3425",-2.62348563028583,0.021,0.3,1.76161895049664
"ASV_3125",-2.48128572381019,0.043,0.3,1.74989674155888
"ASV_9610",-2.40153268050554,0.034,0.3,1.7369370897562
"ASV_154",-2.49490576328293,0.048,0.3,1.73366943312983
"ASV_11115",-2.21195080775789,0.046,0.3,1.71719309044201
"ASV_3380",-2.37660018394263,0.061,0.312820512820513,1.92279837144116
"ASV_2204",-2.00994636352321,0.061,0.312820512820513,1.91173051380727
"ASV_2050",-2.18972866681766,0.061,0.312820512820513,1.76748696542267
"ASV_10295",-2.3441265000876,0.103,0.333333333333333,3.04062530583364
"ASV_248",-1.95126228493241,0.083,0.333333333333333,2.93014406416623
"ASV_5214",-1.918344695993,0.096,0.333333333333333,2.80467809454045
"ASV_5789",-2.1241528125568,0.096,0.333333333333333,2.64056319940499
"ASV_5115",-1.95342084591135,0.068,0.333333333333333,2.5546221620422
