"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_1905",-3.86974560763428,0.001,0.2,2.1410295453401
"ASV_248",-2.56471112812264,0.042,0.374358974358974,2.93014406416623
"ASV_5214",-2.64004783303125,0.039,0.374358974358974,2.80467809454045
"ASV_11229",-2.84354541261838,0.04,0.374358974358974,2.58823187418615
"ASV_5115",-2.40565419833271,0.034,0.374358974358974,2.5546221620422
"ASV_2770",-2.80104981509105,0.017,0.374358974358974,2.52023410737656
"ASV_19706",-2.01575696831608,0.073,0.374358974358974,2.47482934910878
"ASV_1122",-2.44411972567831,0.057,0.374358974358974,2.40124803786667
"ASV_3958",-2.33925782368934,0.062,0.374358974358974,2.34439513388642
"ASV_19483",-2.72648733232846,0.031,0.374358974358974,2.32543608381221
"ASV_8783",-2.61860451282203,0.022,0.374358974358974,2.31170015573827
"ASV_2213",-2.51244446867164,0.07,0.374358974358974,2.26358333164364
"ASV_4573",-2.28900687536352,0.06,0.374358974358974,2.24732998453195
"ASV_5528",-2.29702459494506,0.07,0.374358974358974,2.20452727066185
"ASV_1505",-3.1454978439687,0.009,0.374358974358974,2.20445390215714
"ASV_14792",-2.20683248876887,0.072,0.374358974358974,2.16296532216865
"ASV_3677",-3.1907960168885,0.007,0.374358974358974,2.13361356482008
"ASV_3213",-2.16732720477782,0.063,0.374358974358974,2.09832398573878
"ASV_10510",-2.69001045148869,0.034,0.374358974358974,2.09486762726319
"ASV_660",-2.6260254344946,0.042,0.374358974358974,2.06649208840954
"ASV_2075",-2.11584986272241,0.041,0.374358974358974,2.05670314690421
"ASV_6633",-2.26857612629818,0.063,0.374358974358974,2.03715493551179
"ASV_1687",-1.7819439896671,0.067,0.374358974358974,2.03235841814221
"ASV_4597",-2.01981144231053,0.058,0.374358974358974,2.03235838975434
"ASV_3972",-3.04010691961195,0.015,0.374358974358974,2.03183172155331
"ASV_1814",-2.99196326694558,0.02,0.374358974358974,2.02234872429437
"ASV_9583",-2.22835639363237,0.045,0.374358974358974,2.00431128639208
"ASV_534",-2.90081292177956,0.01,0.374358974358974,1.99784694731991
"ASV_210",-2.44611812653887,0.03,0.374358974358974,1.98132344619229
"ASV_5162",-3.32628176291284,0.007,0.374358974358974,1.96717665266096
"ASV_15374",-1.98669715368026,0.071,0.374358974358974,1.96622152734076
"ASV_3380",-3.26634466897306,0.024,0.374358974358974,1.92279837144116
"ASV_4268",-2.7437303459847,0.028,0.374358974358974,1.83768501542601
"ASV_6273",-2.49348181062328,0.047,0.374358974358974,1.76799592459699
"ASV_3125",-2.25404061265769,0.062,0.374358974358974,1.74989674155888
"ASV_9610",-2.39488510765449,0.032,0.374358974358974,1.7369370897562
"ASV_11115",-2.3140962926596,0.06,0.374358974358974,1.71719309044201
"ASV_1632",-3.10348467001649,0.022,0.374358974358974,1.71116116784629
"ASV_15380",-1.93274402046873,0.069,0.374358974358974,1.71086430494429
"ASV_199",-2.09096066896485,0.082,0.381818181818182,2.90138101924657
"ASV_2358",-2.02797320491997,0.083,0.381818181818182,2.46654337126542
"ASV_18169",-1.69706610050637,0.082,0.381818181818182,2.14730438982413
"ASV_5254",-1.71816896526058,0.084,0.381818181818182,1.91118689352474
"ASV_6743",-1.90629407992185,0.083,0.381818181818182,1.70389696510522
"ASV_518",-1.80696737199272,0.092,0.3875,2.58971829160834
"ASV_80",-1.92001441118332,0.093,0.3875,2.58388270351377
"ASV_8751",-2.01161165534372,0.09,0.3875,2.06182371420088
"ASV_13755",-2.14178978201687,0.093,0.3875,1.77749271873421
"ASV_24648",-1.75345295423513,0.106,0.407692307692308,2.12791013412997
"ASV_5969",-1.83498161046062,0.104,0.407692307692308,2.11505647526081
"ASV_7810",-1.76571130834451,0.103,0.407692307692308,1.97235713202192
"ASV_11241",-2.05944215824569,0.1,0.407692307692308,1.85185175310052
"ASV_7880",-1.71116301958844,0.131,0.42258064516129,2.72922282485689
"ASV_3313",-1.74465172096389,0.131,0.42258064516129,2.63993118396818
"ASV_8489",-1.85694823567805,0.123,0.42258064516129,2.53465941577058
"ASV_9691",-1.74514082235193,0.124,0.42258064516129,2.14373960547358
"ASV_4871",-1.60551369209162,0.117,0.42258064516129,1.88212867199919
"ASV_9392",-1.63691267798885,0.121,0.42258064516129,1.86487386588397
"ASV_9550",-1.76865244720081,0.113,0.42258064516129,1.852642471279
"ASV_1004",-1.51374256662184,0.116,0.42258064516129,1.8505720718594
"ASV_18015",-1.90061729851492,0.127,0.42258064516129,1.78613510123389
"ASV_7139",-1.52026453304502,0.13,0.42258064516129,1.70555222981936
"ASV_7977",-1.67054666191334,0.135,0.428571428571429,1.89801686665294
"ASV_2285",-1.41187780111286,0.162,0.443835616438356,3.36191320357636
"ASV_10295",-1.78889160838216,0.159,0.443835616438356,3.04062530583364
"ASV_5599",-1.77829603413907,0.15,0.443835616438356,2.25579316839214
"ASV_11991",-1.82804209867037,0.156,0.443835616438356,1.92636429907926
"ASV_14061",-1.73202804798726,0.156,0.443835616438356,1.89433962833787
"ASV_4353",-1.33623767337693,0.159,0.443835616438356,1.87676704252636
"ASV_6896",-1.87276488604059,0.162,0.443835616438356,1.78385981569965
"ASV_2050",-1.53105354582582,0.161,0.443835616438356,1.76748696542267
"ASV_6291",-1.34801937863055,0.157,0.443835616438356,1.73771667667325
"ASV_23943",-1.91947119888934,0.153,0.443835616438356,1.71847547878282
"ASV_319",-1.8571991717607,0.176,0.451282051282051,2.53743066103388
"ASV_7449",-1.74098482868113,0.168,0.451282051282051,2.3666003083462
"ASV_7978",-1.50016903122693,0.175,0.451282051282051,2.34535146465341
"ASV_1196",-1.83057888918695,0.174,0.451282051282051,2.08930917142856
"ASV_9406",-1.60649088804872,0.17,0.451282051282051,1.87308568755704
"ASV_11336",-1.51301945496483,0.179,0.453164556962025,2.47874720482008
"ASV_19292",-1.64884216954606,0.186,0.464197530864198,2.5137269084179
"ASV_11293",-1.40125652097211,0.188,0.464197530864198,1.7607529952607
"ASV_13213",-1.28555782594849,0.193,0.465060240963855,1.85986948049516
"ASV_8197",-1.54943127026298,0.192,0.465060240963855,1.74722399335942
"ASV_3717",-1.64046403235202,0.196,0.465116279069767,2.11527825777884
"ASV_18456",-1.40252680034437,0.2,0.465116279069767,2.01000011048567
"ASV_12851",-1.3137691279498,0.199,0.465116279069767,1.91279486547407
"ASV_10251",-1.24225052705087,0.206,0.473563218390805,2.27016010743188
"ASV_3369",-1.19977070392019,0.21,0.477272727272727,1.86272025765982
"ASV_3379",-1.44656191658714,0.214,0.480898876404494,1.77361192635267
"ASV_5789",-1.4320433615305,0.221,0.49010989010989,2.64056319940499
"ASV_3859",-1.62937467994134,0.223,0.49010989010989,1.96222182399683
"ASV_3328",-1.48084958498546,0.231,0.491489361702128,2.1923375688282
"ASV_19069",-1.3438632682672,0.231,0.491489361702128,1.91026061075112
"ASV_545",-1.41237669267521,0.227,0.491489361702128,1.80638655076083
"ASV_13151",-1.44102820666596,0.249,0.492156862745098,2.68653738949831
"ASV_13706",-1.1156084498568,0.241,0.492156862745098,1.9983574538298
"ASV_10208",-1.16250798901565,0.248,0.492156862745098,1.90461982197841
"ASV_4626",-1.38639174442183,0.245,0.492156862745098,1.8484613469984
"ASV_3926",-1.13543344063689,0.235,0.492156862745098,1.79546502246837
"ASV_19698",-1.31865212261398,0.251,0.492156862745098,1.78753490794037
"ASV_154",-1.4701474346334,0.237,0.492156862745098,1.73366943312983
"ASV_5000",-1.18465671240987,0.244,0.492156862745098,1.69890360628862
"ASV_5298",-1.16736663714984,0.259,0.502912621359223,1.87509902344563
"ASV_2007",-1.48151505147808,0.271,0.507407407407407,2.9211194380023
