"taxon","t_stat","p_perm","t_stat_quad","p_perm_quad","q_value","q_value_quad","shape"
"ASV_427",13.6125528927391,0.001,-0.809919793683798,0.442,0.001,0.5525,"linear increase (late-season)"
"ASV_169",-14.9866855685771,0.001,3.10789484815657,0.006,0.001,0.0203389830508475,"dip (troughs mid-season)"
"ASV_529",13.1364953979402,0.001,-0.623043159427055,0.526,0.001,0.622485207100592,"linear increase (late-season)"
"ASV_81",-12.7911004410766,0.001,-1.49362705614582,0.17,0.001,0.255639097744361,"linear decrease (early-season)"
"ASV_214",-16.1590805883057,0.001,5.40930417785443,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_148",12.3392162718409,0.001,-1.57025932581747,0.146,0.001,0.224615384615385,"linear increase (late-season)"
"ASV_270",11.8478940080811,0.001,-1.41214515014667,0.202,0.001,0.297058823529412,"linear increase (late-season)"
"ASV_109",-13.7392289319513,0.001,0.72839275406106,0.5,0.001,0.598802395209581,"linear decrease (early-season)"
"ASV_272",-14.9327571116125,0.001,4.7755051617472,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1384",11.8590560463774,0.001,1.35927944102818,0.213,0.001,0.308695652173913,"linear increase (late-season)"
"ASV_368",12.9660097402613,0.001,-2.24596292044693,0.038,0.001,0.0775510204081633,"hump (peaks mid-season)"
"ASV_291",-12.0592124117771,0.001,0.0307720525874762,0.969,0.001,0.978,"linear decrease (early-season)"
"ASV_1029",-14.6320251562107,0.001,6.93825125329495,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_665",-11.5181452453984,0.001,2.50841922011091,0.026,0.001,0.0571428571428571,"dip (troughs mid-season)"
"ASV_316",12.851094687598,0.001,-1.92020113817624,0.065,0.001,0.115044247787611,"linear increase (late-season)"
"ASV_889",10.7137851403333,0.001,0.183590545851119,0.867,0.001,0.893814432989691,"linear increase (late-season)"
"ASV_133",12.6238558102916,0.001,-2.4941857022796,0.015,0.001,0.0405405405405405,"hump (peaks mid-season)"
"ASV_1051",10.5967920476157,0.001,0.386381534141006,0.719,0.001,0.785792349726776,"linear increase (late-season)"
"ASV_1314",10.6173507616738,0.001,1.19167516802376,0.256,0.001,0.36056338028169,"linear increase (late-season)"
"ASV_1084",10.2739149360888,0.001,0.773437965404737,0.44,0.001,0.5525,"linear increase (late-season)"
"ASV_2809",12.7413813390633,0.001,5.83993929693786,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1352",10.1177373535694,0.001,1.1349771874697,0.287,0.001,0.401398601398601,"linear increase (late-season)"
"ASV_1005",9.97168975477444,0.001,2.57670569109331,0.019,0.001,0.0452380952380952,"dip (troughs mid-season)"
"ASV_1543",9.76512361268448,0.001,0.463825909298455,0.637,0.001,0.715730337078652,"linear increase (late-season)"
"ASV_335",-11.4406127144628,0.001,3.58497242696002,0.003,0.001,0.0111111111111111,"dip (troughs mid-season)"
"ASV_605",-9.82239525026745,0.001,2.50915912712761,0.017,0.001,0.0425,"dip (troughs mid-season)"
"ASV_1016",-9.71201579389257,0.001,2.92837000787293,0.009,0.001,0.0272727272727273,"dip (troughs mid-season)"
"ASV_2199",10.1206696945396,0.001,4.48655491414564,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_607",-9.65860566157945,0.001,2.06440654602967,0.044,0.001,0.0862745098039216,"dip (troughs mid-season)"
"ASV_599",9.34540737700407,0.001,-3.13805389956702,0.003,0.001,0.0111111111111111,"hump (peaks mid-season)"
"ASV_1288",10.0207002896075,0.001,-0.747818975708392,0.476,0.001,0.580487804878049,"linear increase (late-season)"
"ASV_2603",9.28178853384548,0.001,2.66614478375237,0.01,0.001,0.0298507462686567,"dip (troughs mid-season)"
"ASV_416",9.63697667125843,0.001,-0.391966594389754,0.701,0.001,0.774585635359116,"linear increase (late-season)"
"ASV_1167",-11.5152363133964,0.001,6.8864743754243,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1026",-10.5209328512304,0.001,3.3327661314043,0.003,0.001,0.0111111111111111,"dip (troughs mid-season)"
"ASV_678",-9.16805343446237,0.001,2.39296697214214,0.026,0.001,0.0571428571428571,"dip (troughs mid-season)"
"ASV_31",8.88137055238388,0.001,2.14823238868928,0.04,0.001,0.0808080808080808,"dip (troughs mid-season)"
"ASV_1665",9.64904393720857,0.001,-0.520804067941775,0.624,0.001,0.706214689265537,"linear increase (late-season)"
"ASV_776",-9.22150755869316,0.001,1.73231889414837,0.085,0.001,0.14406779661017,"linear decrease (early-season)"
"ASV_249",-9.4107364102695,0.001,3.99548598863732,0.002,0.001,0.00851063829787234,"dip (troughs mid-season)"
"ASV_444",9.50298969930928,0.001,0.909780023852514,0.374,0.001,0.498666666666667,"linear increase (late-season)"
"ASV_454",9.09450550796544,0.001,-3.55733723517925,0.003,0.001,0.0111111111111111,"hump (peaks mid-season)"
"ASV_261",8.28150545622124,0.001,-0.683135032650651,0.489,0.001,0.589156626506024,"linear increase (late-season)"
"ASV_5650",9.79639240323777,0.001,5.76357089349213,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_792",-9.24217467600168,0.001,2.36250949910743,0.037,0.001,0.0762886597938144,"dip (troughs mid-season)"
"ASV_312",8.97577926867408,0.001,0.823203500587286,0.423,0.001,0.538853503184713,"linear increase (late-season)"
"ASV_1184",8.55464955620519,0.001,2.37094946302174,0.028,0.001,0.0608695652173913,"dip (troughs mid-season)"
"ASV_459",-9.20958479083625,0.001,2.88014019512809,0.005,0.001,0.0175438596491228,"dip (troughs mid-season)"
"ASV_3335",9.15222819908895,0.001,1.41492717425385,0.196,0.001,0.29037037037037,"linear increase (late-season)"
"ASV_2660",8.15600788730014,0.001,2.53628521396821,0.014,0.001,0.0388888888888889,"dip (troughs mid-season)"
"ASV_734",-9.07927629901474,0.001,3.8579981962094,0.002,0.001,0.00851063829787234,"dip (troughs mid-season)"
"ASV_2402",7.88815411922668,0.001,1.51872572407678,0.134,0.001,0.212698412698413,"linear increase (late-season)"
"ASV_813",-8.20450657785111,0.001,2.52998076049074,0.02,0.001,0.0465116279069768,"dip (troughs mid-season)"
"ASV_2219",-8.50384551984873,0.001,1.28412588998621,0.223,0.001,0.320863309352518,"linear decrease (early-season)"
"ASV_322",8.42397684553256,0.001,3.60412931226316,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_768",-9.26905864781851,0.001,4.25599858532989,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_586",-9.54955104371603,0.001,3.57675354138725,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1632",-10.3521544312033,0.001,5.46583243349363,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_608",8.18805144254404,0.001,2.49192469600169,0.013,0.001,0.0366197183098591,"dip (troughs mid-season)"
"ASV_2677",8.4721734945173,0.001,1.8568038324103,0.08,0.001,0.137931034482759,"linear increase (late-season)"
"ASV_531",-7.74505030375442,0.001,0.610393629928748,0.552,0.001,0.643023255813954,"linear decrease (early-season)"
"ASV_4109",7.73308508161143,0.001,2.04089381673907,0.052,0.001,0.0981132075471698,"dip (troughs mid-season)"
"ASV_409",-8.08467325904547,0.001,0.390932259162651,0.705,0.001,0.774725274725275,"linear decrease (early-season)"
"ASV_26",7.7168091720165,0.001,1.78841165165289,0.088,0.001,0.146666666666667,"linear increase (late-season)"
"ASV_551",-7.77759265652994,0.001,2.78217344519895,0.012,0.001,0.0347826086956522,"dip (troughs mid-season)"
"ASV_102",8.62738257590044,0.001,-0.0240874614656756,0.978,0.001,0.978,"linear increase (late-season)"
"ASV_2873",-7.53814667323469,0.001,1.27499758755171,0.211,0.001,0.308029197080292,"linear decrease (early-season)"
"ASV_3241",-8.66341507745529,0.001,4.31539866355957,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_3",10.8657174877601,0.001,-8.21348478795695,0.001,0.001,0.00512820512820513,"hump (peaks mid-season)"
"ASV_587",-8.11349346459344,0.001,2.34006272010647,0.024,0.001,0.0545454545454545,"dip (troughs mid-season)"
"ASV_969",-8.30243737887124,0.001,3.61923168592683,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1497",-7.89194419472489,0.001,3.28201841307678,0.003,0.001,0.0111111111111111,"dip (troughs mid-season)"
"ASV_217",-9.16122881084045,0.001,5.74928293929073,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_302",-8.63347767816069,0.001,4.84035708882102,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_5714",8.00050089245963,0.001,3.88362475850666,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_2690",-7.32047839760495,0.001,2.0145509707872,0.056,0.001,0.103703703703704,"linear decrease (early-season)"
"ASV_3211",7.83462685526631,0.001,0.974953364073431,0.337,0.001,0.458503401360544,"linear increase (late-season)"
"ASV_2702",-8.18085241254507,0.001,3.5651284001487,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1706",7.21202854155571,0.001,2.59552863682054,0.019,0.001,0.0452380952380952,"dip (troughs mid-season)"
"ASV_345",-8.02804925532275,0.001,1.62999108433851,0.115,0.001,0.186991869918699,"linear decrease (early-season)"
"ASV_834",-8.74503814601889,0.001,5.13313206127346,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1957",7.01292878679623,0.001,2.50444538007017,0.017,0.001,0.0425,"dip (troughs mid-season)"
"ASV_103",7.87172147403182,0.001,-2.09065799160678,0.049,0.001,0.0942307692307692,"hump (peaks mid-season)"
"ASV_975",-8.27342288491213,0.001,3.77280100226465,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_236",-7.56678509148596,0.001,3.42987146093058,0.002,0.001,0.00851063829787234,"dip (troughs mid-season)"
"ASV_4292",7.35432584086521,0.001,0.230759139451869,0.827,0.001,0.861458333333333,"linear increase (late-season)"
"ASV_2376",7.1152278075489,0.001,2.01047212579643,0.043,0.001,0.0851485148514851,"dip (troughs mid-season)"
"ASV_755",-6.61483324543842,0.001,0.460472882854619,0.68,0.001,0.759776536312849,"linear decrease (early-season)"
"ASV_1282",-6.93447675885248,0.001,2.32251122680464,0.02,0.001,0.0465116279069768,"dip (troughs mid-season)"
"ASV_3701",7.57215913651425,0.001,2.6822008131166,0.012,0.001,0.0347826086956522,"dip (troughs mid-season)"
"ASV_222",-7.83035640179177,0.001,4.40181745715527,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_930",7.52125665762856,0.001,-2.4942897914279,0.026,0.001,0.0571428571428571,"hump (peaks mid-season)"
"ASV_176",-6.9401025816618,0.001,-1.50818372516961,0.158,0.001,0.239393939393939,"linear decrease (early-season)"
"ASV_98",8.95467491833983,0.001,-1.97962054718914,0.063,0.001,0.1125,"linear increase (late-season)"
"ASV_1567",-7.10999038975002,0.001,2.49043246920948,0.024,0.001,0.0545454545454545,"dip (troughs mid-season)"
"ASV_879",-6.78341881351615,0.001,0.786065222841471,0.433,0.001,0.548101265822785,"linear decrease (early-season)"
"ASV_2078",7.21503207965747,0.001,0.278798502982356,0.779,0.001,0.82,"linear increase (late-season)"
"ASV_406",-6.90050518179575,0.001,1.93849962643501,0.069,0.001,0.121052631578947,"linear decrease (early-season)"
"ASV_85",-7.15937248763607,0.001,2.58407084514633,0.009,0.001,0.0272727272727273,"dip (troughs mid-season)"
"ASV_562",-9.82158311000864,0.001,3.82337397730194,0.003,0.001,0.0111111111111111,"dip (troughs mid-season)"
"ASV_1331",-7.33678595133178,0.001,2.78706600910203,0.007,0.001,0.0225806451612903,"dip (troughs mid-season)"
"ASV_804",-6.81720185508459,0.001,0.988683424437073,0.344,0.001,0.463087248322148,"linear decrease (early-season)"
"ASV_1464",-7.49575291740822,0.001,2.02612793518676,0.057,0.001,0.104504504504505,"linear decrease (early-season)"
"ASV_1143",8.03473788634531,0.001,2.55533894900666,0.018,0.001,0.0439024390243902,"dip (troughs mid-season)"
"ASV_10005",6.737126436169,0.001,2.66959389677778,0.008,0.001,0.025,"dip (troughs mid-season)"
"ASV_1130",7.44775793782665,0.001,-2.6018694608472,0.013,0.001,0.0366197183098591,"hump (peaks mid-season)"
"ASV_343",9.00194082341809,0.001,-3.42521435059698,0.004,0.001,0.0145454545454545,"hump (peaks mid-season)"
"ASV_7126",7.27808042595937,0.001,2.04223806957509,0.051,0.001,0.0971428571428571,"dip (troughs mid-season)"
"ASV_414",6.75194808810225,0.001,1.46487025190825,0.132,0.001,0.2112,"linear increase (late-season)"
"ASV_913",-7.07172769230893,0.001,2.38335820057963,0.03,0.001,0.0645161290322581,"dip (troughs mid-season)"
"ASV_4878",-6.48363744255847,0.001,-0.0546129282544203,0.957,0.001,0.975634517766497,"linear decrease (early-season)"
"ASV_698",-7.09882069683495,0.001,1.97536664098815,0.053,0.001,0.0990654205607477,"dip (troughs mid-season)"
"ASV_2974",6.82953193295229,0.001,0.14280297927955,0.888,0.001,0.910769230769231,"linear increase (late-season)"
"ASV_1098",6.46499863031901,0.001,1.00896417374661,0.309,0.001,0.423287671232877,"linear increase (late-season)"
"ASV_558",-6.66795906997937,0.001,0.547075253465423,0.619,0.001,0.706214689265537,"linear decrease (early-season)"
"ASV_3447",7.00362090240376,0.001,1.35479147265359,0.18,0.001,0.26865671641791,"linear increase (late-season)"
"ASV_6199",6.84839140650471,0.001,3.08069564297853,0.007,0.001,0.0225806451612903,"dip (troughs mid-season)"
"ASV_429",6.61460699949224,0.001,1.79156287026395,0.085,0.001,0.14406779661017,"linear increase (late-season)"
"ASV_8768",7.18696047130269,0.001,4.52251837805397,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_984",-6.74741033674932,0.001,0.485235351706278,0.625,0.001,0.706214689265537,"linear decrease (early-season)"
"ASV_191",6.59021281834234,0.001,1.65528102255035,0.099,0.001,0.163636363636364,"linear increase (late-season)"
"ASV_1221",-7.50496309236764,0.001,4.30393561310878,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_318",-7.20236078296676,0.001,3.86894306841823,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_601",6.9543553100624,0.001,4.15353662971543,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_4506",6.69291772859851,0.001,1.62521973199636,0.123,0.001,0.198387096774194,"linear increase (late-season)"
"ASV_6162",6.99115538446122,0.001,4.44975674156081,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_3205",6.45719566910926,0.001,2.95095023564119,0.007,0.001,0.0225806451612903,"dip (troughs mid-season)"
"ASV_189",10.0471226932256,0.001,-9.32762490706771,0.001,0.001,0.00512820512820513,"hump (peaks mid-season)"
"ASV_147",7.36032025092551,0.001,-4.5645576939124,0.001,0.001,0.00512820512820513,"hump (peaks mid-season)"
"ASV_1671",-7.12351930420434,0.001,4.26661693931216,0.002,0.001,0.00851063829787234,"dip (troughs mid-season)"
"ASV_952",7.42482659991927,0.001,-2.55487086146521,0.015,0.001,0.0405405405405405,"hump (peaks mid-season)"
"ASV_6336",6.4570522865615,0.001,2.28931573894702,0.036,0.001,0.0757894736842105,"dip (troughs mid-season)"
"ASV_589",-6.47210736954607,0.001,-0.375582443452179,0.739,0.001,0.794623655913978,"linear decrease (early-season)"
"ASV_1137",7.07345845525184,0.001,2.80364856395711,0.005,0.001,0.0175438596491228,"dip (troughs mid-season)"
"ASV_298",7.11256927541622,0.001,0.0626566972884589,0.961,0.001,0.975634517766497,"linear increase (late-season)"
"ASV_381",8.80957196876424,0.001,-4.58133028031418,0.001,0.001,0.00512820512820513,"hump (peaks mid-season)"
"ASV_1487",-6.990568929873,0.001,3.73091598227689,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1794",6.84714927708327,0.001,0.88206112032404,0.384,0.001,0.505263157894737,"linear increase (late-season)"
"ASV_2348",6.80756322311705,0.001,0.39243101668513,0.699,0.001,0.774585635359116,"linear increase (late-season)"
"ASV_3531",6.12709579553956,0.001,2.0514745028119,0.037,0.001,0.0762886597938144,"dip (troughs mid-season)"
"ASV_211",7.11292407465328,0.001,-0.32837006363261,0.752,0.001,0.80427807486631,"linear increase (late-season)"
"ASV_680",-6.35405078624273,0.001,-0.648968444583843,0.484,0.001,0.586666666666667,"linear decrease (early-season)"
"ASV_8887",6.8196529600066,0.001,2.20409779255096,0.033,0.001,0.0702127659574468,"dip (troughs mid-season)"
"ASV_525",-6.09568578436301,0.001,0.92908076851849,0.395,0.001,0.516339869281046,"linear decrease (early-season)"
"ASV_4271",7.02497458237318,0.001,5.52587197528659,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_657",-9.52506295783254,0.001,4.72827528798827,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_75",6.39067183622922,0.001,1.77384030882085,0.071,0.001,0.123478260869565,"linear increase (late-season)"
"ASV_4722",5.90588904274629,0.001,-0.336475092992754,0.727,0.001,0.787027027027027,"linear increase (late-season)"
"ASV_499",-6.76890639553258,0.001,3.66839904425036,0.002,0.001,0.00851063829787234,"dip (troughs mid-season)"
"ASV_67",7.47747556771663,0.001,-5.97576343820339,0.001,0.001,0.00512820512820513,"hump (peaks mid-season)"
"ASV_1905",-7.63196039761932,0.001,3.90393112494362,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_5158",6.54196763578283,0.001,3.87598251904592,0.002,0.001,0.00851063829787234,"dip (troughs mid-season)"
"ASV_1160",-6.05084795424158,0.001,0.616643913169769,0.552,0.001,0.643023255813954,"linear decrease (early-season)"
"ASV_2550",-5.94794467828017,0.001,0.933223319776771,0.384,0.001,0.505263157894737,"linear decrease (early-season)"
"ASV_514",-6.67038859434397,0.001,2.25081111622273,0.018,0.001,0.0439024390243902,"dip (troughs mid-season)"
"ASV_344",6.34187167447558,0.001,0.829055205108815,0.403,0.001,0.52,"linear increase (late-season)"
"ASV_1638",-6.25800167600053,0.001,1.54380945843603,0.141,0.001,0.222047244094488,"linear decrease (early-season)"
"ASV_1695",-5.93910538154668,0.001,0.0402399828126024,0.974,0.001,0.978,"linear decrease (early-season)"
"ASV_72",-6.85438899691177,0.001,1.18563365822568,0.233,0.001,0.332857142857143,"linear decrease (early-season)"
"ASV_4728",6.36281234932716,0.001,2.91035674998353,0.008,0.001,0.025,"dip (troughs mid-season)"
"ASV_2637",-6.84195032424687,0.001,4.58287496554658,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_1475",-6.39209971819532,0.001,0.263611576106893,0.805,0.001,0.842931937172775,"linear decrease (early-season)"
"ASV_127",6.70535156647191,0.001,1.05421681064951,0.298,0.001,0.411034482758621,"linear increase (late-season)"
"ASV_8357",5.70584824621434,0.001,0.205561979220281,0.841,0.001,0.871502590673575,"linear increase (late-season)"
"ASV_3582",-5.96444022389994,0.001,2.61959207868094,0.017,0.001,0.0425,"dip (troughs mid-season)"
"ASV_875",5.78020305602363,0.001,0.580559831296188,0.564,0.001,0.652023121387283,"linear increase (late-season)"
"ASV_2439",6.37534371224278,0.001,1.11281649239388,0.294,0.001,0.408333333333333,"linear increase (late-season)"
"ASV_654",-6.3285579406968,0.001,0.641599643184838,0.523,0.001,0.622485207100592,"linear decrease (early-season)"
"ASV_13363",5.68254205398978,0.001,1.63467087844854,0.111,0.001,0.181967213114754,"linear increase (late-season)"
"ASV_97",-6.13699131106212,0.001,3.26763696282363,0.002,0.001,0.00851063829787234,"dip (troughs mid-season)"
"ASV_2229",6.07729352235374,0.001,-0.849163680053867,0.414,0.001,0.530769230769231,"linear increase (late-season)"
"ASV_1830",-5.70223124280574,0.001,1.01106136927315,0.345,0.001,0.463087248322148,"linear decrease (early-season)"
"ASV_390",6.52976088598761,0.001,-2.03625252664405,0.058,0.001,0.104504504504505,"linear increase (late-season)"
"ASV_1011",6.1718938466636,0.001,-1.44196005873265,0.145,0.001,0.224615384615385,"linear increase (late-season)"
"ASV_550",-5.94272296465485,0.001,-0.868848803246346,0.402,0.001,0.52,"linear decrease (early-season)"
"ASV_2969",-5.6876150706113,0.001,0.339427413615584,0.764,0.001,0.812765957446808,"linear decrease (early-season)"
"ASV_201",7.02514358739247,0.001,-5.15573477748085,0.001,0.001,0.00512820512820513,"hump (peaks mid-season)"
"ASV_6687",6.43042102165983,0.001,0.730389564914785,0.466,0.001,0.574233128834356,"linear increase (late-season)"
"ASV_375",7.01598784756581,0.001,-4.90373161853182,0.001,0.001,0.00512820512820513,"hump (peaks mid-season)"
"ASV_707",6.27852527947947,0.001,1.75438213311078,0.086,0.001,0.14453781512605,"linear increase (late-season)"
"ASV_915",-6.07780958516809,0.001,0.78543016996263,0.466,0.001,0.574233128834356,"linear decrease (early-season)"
"ASV_8248",5.66925768990793,0.001,2.04609153984393,0.058,0.001,0.104504504504505,"linear increase (late-season)"
"ASV_616",-6.88897629956957,0.001,4.44548624928968,0.001,0.001,0.00512820512820513,"dip (troughs mid-season)"
"ASV_655",-6.03643556210471,0.001,1.5301096317643,0.148,0.001,0.225954198473282,"linear decrease (early-season)"
"ASV_13839",5.87226873564607,0.001,3.03883735539535,0.003,0.001,0.0111111111111111,"dip (troughs mid-season)"
"ASV_856",-6.29097765248584,0.001,0.544426198524937,0.597,0.001,0.686206896551724,"linear decrease (early-season)"
"ASV_2839",6.07404404881704,0.001,1.18431594444999,0.254,0.001,0.360283687943262,"linear increase (late-season)"
"ASV_4595",5.89730870878691,0.001,2.53867274218322,0.016,0.001,0.0415584415584416,"dip (troughs mid-season)"
"ASV_1227",5.49038660802157,0.001,-0.326284056856364,0.728,0.001,0.787027027027027,"linear increase (late-season)"
"ASV_84",6.18670980902328,0.001,1.56419624576446,0.143,0.001,0.2234375,"linear increase (late-season)"
"ASV_1097",5.87063814889113,0.001,0.314481389619714,0.775,0.001,0.82,"linear increase (late-season)"
"ASV_2593",-5.89953226866216,0.001,2.13858335497887,0.041,0.001,0.082,"dip (troughs mid-season)"
"ASV_1042",5.88825215204453,0.001,2.96437755547791,0.006,0.001,0.0203389830508475,"dip (troughs mid-season)"
"ASV_6923",5.70606745528495,0.001,2.5278769786985,0.016,0.001,0.0415584415584416,"dip (troughs mid-season)"
"ASV_967",-5.86598625109178,0.001,1.98753879619091,0.045,0.001,0.087378640776699,"dip (troughs mid-season)"
"ASV_3858",6.75827057720153,0.001,0.756816127109312,0.468,0.001,0.574233128834356,"linear increase (late-season)"
"ASV_709",7.22832248503084,0.001,-6.55793924906999,0.001,0.001,0.00512820512820513,"hump (peaks mid-season)"
"ASV_5311",5.76977498848015,0.001,2.51836354176697,0.016,0.001,0.0415584415584416,"dip (troughs mid-season)"
"ASV_908",5.91158805037693,0.001,-0.580989989355463,0.553,0.001,0.643023255813954,"linear increase (late-season)"
"ASV_2962",-6.13026959924475,0.001,3.15427171745283,0.002,0.001,0.00851063829787234,"dip (troughs mid-season)"
