"taxon","t_stat","q_value","coca_strength","Phylum","Class","Order","Family","Genus","Species","model"
"ASV_13242",-3.69057233971429,0.05,2.08714860266211,"Ascomycota","Leotiomycetes","Helotiales","Tympanidaceae","Tympanis",NA,"PCoA2_only (no date)"
"ASV_12553",-3.12257098417077,0.05,1.9107668988677,"Ascomycota","Leotiomycetes",NA,NA,NA,NA,"PCoA2_only (no date)"
"ASV_616",-3.88682439332778,0.05,1.88038628954459,"Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Cytospora","prunicola","PCoA2_only (no date)"
"ASV_3449",-3.91623160836617,0.05,1.78097318335556,"Ascomycota","Eurotiomycetes",NA,NA,NA,NA,"PCoA2_only (no date)"
"ASV_12734",-2.34806279844928,0.0666666666666667,2.73488807133962,"Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Mycobernardia","incrustans","PCoA2_only (no date)"
"ASV_9178",-3.05007737351805,0.0666666666666667,1.98090002960277,"Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","eucalypti","PCoA2_only (no date)"
"ASV_13242",-3.7623509813485,0.04,2.08714860266211,"Ascomycota","Leotiomycetes","Helotiales","Tympanidaceae","Tympanis",NA,"PCoA2_plus_date"
"ASV_15958",-2.72826690965558,0.04,2.08120366555722,"Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Trichomerium",NA,"PCoA2_plus_date"
"ASV_12553",-3.2935919699935,0.04,1.9107668988677,"Ascomycota","Leotiomycetes",NA,NA,NA,NA,"PCoA2_plus_date"
"ASV_616",-3.85065185119264,0.04,1.88038628954459,"Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Cytospora","prunicola","PCoA2_plus_date"
"ASV_3449",-3.96507850811203,0.04,1.78097318335556,"Ascomycota","Eurotiomycetes",NA,NA,NA,NA,"PCoA2_plus_date"
"ASV_9178",-3.0605871023817,0.0666666666666667,1.98090002960277,"Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","eucalypti","PCoA2_plus_date"
"ASV_12734",-2.38953281492998,0.0857142857142857,2.73488807133962,"Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Mycobernardia","incrustans","PCoA2_plus_date"
