"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_13242",-3.69057233971429,0.001,0.05,2.08714860266211
"ASV_12553",-3.12257098417077,0.001,0.05,1.9107668988677
"ASV_616",-3.88682439332778,0.001,0.05,1.88038628954459
"ASV_3449",-3.91623160836617,0.001,0.05,1.78097318335556
"ASV_12734",-2.34806279844928,0.002,0.0666666666666667,2.73488807133962
"ASV_9178",-3.05007737351805,0.002,0.0666666666666667,1.98090002960277
"ASV_3717",-2.54452837288262,0.01,0.133333333333333,2.43257009071902
"ASV_7376",-2.11754726081514,0.009,0.133333333333333,2.32503538030523
"ASV_8937",-1.95917325667691,0.01,0.133333333333333,2.24916975860002
"ASV_192",-2.65098639124578,0.009,0.133333333333333,2.13923430375471
"ASV_15958",-2.74548702719835,0.006,0.133333333333333,2.08120366555722
"ASV_11114",-2.54785732500421,0.009,0.133333333333333,2.05901938280243
"ASV_3859",-3.42329768897535,0.005,0.133333333333333,1.93001359550663
"ASV_15353",-2.16677724422718,0.01,0.133333333333333,1.87532918685037
"ASV_88",-2.28543761757858,0.009,0.133333333333333,1.85981451175514
"ASV_1482",-2.2138772088504,0.011,0.1375,2.42848905161662
"ASV_6633",-2.68903932419679,0.013,0.152941176470588,2.48509154055085
"ASV_2213",-2.43085722493318,0.02,0.2,2.63591123613952
"ASV_3380",-2.77038389824134,0.019,0.2,2.13548949730243
"ASV_2795",-2.22998397556761,0.02,0.2,1.94533452906854
"ASV_1905",-2.30037332680837,0.023,0.219047619047619,2.72891057699303
"ASV_9007",-2.48696679642441,0.032,0.290909090909091,1.83366797362631
"ASV_6622",-2.17985948512571,0.035,0.291666666666667,2.04358104881271
"ASV_5640",-2.55932597078786,0.035,0.291666666666667,1.91418342970866
"ASV_4597",-2.34801657306913,0.037,0.296,1.8304256673866
"ASV_319",-2.17415283586347,0.043,0.330769230769231,2.53477832125935
"ASV_1433",-1.91383815974727,0.049,0.35,2.37218380233338
"ASV_6273",-2.12850199445845,0.049,0.35,2.22555440799568
"ASV_1769",-1.93138586979881,0.06,0.413793103448276,2.12978303583601
"ASV_7040",-1.65288246390076,0.068,0.453333333333333,1.82796763229878
"ASV_7978",-1.82080933865189,0.073,0.4625,3.23263693905903
"ASV_10251",-1.69617522103724,0.074,0.4625,2.84927346878833
"ASV_13706",-1.51245350470539,0.105,0.466666666666667,2.76732486522261
"ASV_5838",-1.54297142288583,0.09,0.466666666666667,2.44636255516672
"ASV_18015",-1.55223130328188,0.096,0.466666666666667,2.36164762543017
"ASV_19175",-1.46377154114209,0.103,0.466666666666667,2.35251338297376
"ASV_18544",-1.48180948013849,0.099,0.466666666666667,2.30506988668101
"ASV_4605",-1.6687617546642,0.081,0.466666666666667,2.26902666338999
"ASV_29406",-1.5580780557149,0.104,0.466666666666667,2.13094064679362
"ASV_14881",-1.58875597544558,0.1,0.466666666666667,2.12176561460337
"ASV_7025",-1.66653835382249,0.104,0.466666666666667,2.09150916062029
"ASV_7514",-1.83628157325593,0.099,0.466666666666667,2.00559660793091
"ASV_3972",-1.68360296680173,0.09,0.466666666666667,1.93918420044364
"ASV_5369",-1.83178776650319,0.102,0.466666666666667,1.85945808165231
"ASV_10291",-1.48231745722108,0.104,0.466666666666667,1.80236086308018
"ASV_7880",-1.65578854554136,0.109,0.473913043478261,3.45329514010696
"ASV_10164",-1.48368550856317,0.115,0.479166666666667,3.00064671539992
"ASV_4268",-1.8823752658726,0.113,0.479166666666667,2.0878111819996
"ASV_18877",-1.50977187556239,0.121,0.484,3.24434522654536
"ASV_5226",-1.2521572121214,0.12,0.484,1.82264351672302
"ASV_11019",-1.7032524460901,0.128,0.501960784313725,1.77299601352298
"ASV_12330",-1.38519928028917,0.134,0.515384615384615,1.99503205155961
"ASV_154",1.64044973018752,0.146,0.550943396226415,1.72612147980883
"ASV_13755",-1.42425112306023,0.152,0.562962962962963,1.8156735509812
"ASV_4626",1.3537235897388,0.162,0.589090909090909,1.77914593507083
"ASV_23943",-1.67587405733278,0.165,0.589285714285714,1.90367512823925
"ASV_3923",1.16495869535408,0.168,0.589473684210526,2.21152328392741
"ASV_8188",-1.22658699851841,0.177,0.610344827586207,1.98336967844687
"ASV_13108",-1.35098967612907,0.191,0.636923076923077,2.76508992936588
"ASV_7977",1.19640857709757,0.207,0.636923076923077,2.47997351865929
"ASV_9852",-1.42178238925242,0.194,0.636923076923077,2.24565787852979
"ASV_10391",-1.47815027013403,0.2,0.636923076923077,1.98019406986248
"ASV_9550",-1.27949259936874,0.204,0.636923076923077,1.81982716444731
"ASV_17186",-1.1292160066091,0.207,0.636923076923077,1.79460573407071
"ASV_1147",-1.1739031724723,0.201,0.636923076923077,1.73936459588787
"ASV_2600",-1.11370708542741,0.211,0.639393939393939,1.88630309331551
"ASV_199",1.24263831250429,0.218,0.640579710144928,2.6593206765134
"ASV_3620",-1.36761782902722,0.216,0.640579710144928,2.01080190790378
"ASV_4026",1.32446355116504,0.221,0.640579710144928,1.86413933310225
"ASV_1235",-1.388337622798,0.227,0.648571428571429,1.88540502660303
"ASV_2285",-1.04278512947201,0.235,0.650666666666667,4.97882146432713
"ASV_11210",-1.10698188020986,0.231,0.650666666666667,2.10565476548445
"ASV_11723",0.947292495786368,0.244,0.650666666666667,2.08626043456107
"ASV_13251",1.25102677483061,0.242,0.650666666666667,1.94064877888186
"ASV_14932",-1.24504426183102,0.24,0.650666666666667,1.79745978146637
"ASV_8640",-1.06525992153002,0.255,0.671052631578947,3.35261671937078
"ASV_8075",-1.02526097352805,0.265,0.688311688311688,2.03588609609785
"ASV_4646",1.16695877866319,0.289,0.691764705882353,2.24803329452633
"ASV_4589",-1.10637302964108,0.276,0.691764705882353,2.2372342680981
"ASV_9528",-1.02721822322416,0.273,0.691764705882353,2.22656478339598
"ASV_12447",-0.921827666416947,0.291,0.691764705882353,2.08136704096343
"ASV_22991",-1.05564926828545,0.287,0.691764705882353,2.00467555177243
"ASV_9610",-1.09765885341819,0.289,0.691764705882353,1.96874445383062
"ASV_7470",-0.965693887640151,0.294,0.691764705882353,1.83385791256365
"ASV_17560",0.950413566931859,0.288,0.691764705882353,1.79047306939956
"ASV_11609",-1.01054309187966,0.309,0.718604651162791,1.86687382893772
"ASV_9708",-1.01705644628035,0.313,0.719540229885057,2.38949736154844
"ASV_4083",-0.885809152235403,0.326,0.725274725274725,4.10255305815221
"ASV_14792",-0.949256513423407,0.324,0.725274725274725,2.65468166637324
"ASV_19483",-1.07198601076957,0.329,0.725274725274725,2.48359620799505
"ASV_4353",-1.01511332875289,0.33,0.725274725274725,1.87936753900125
"ASV_10510",-1.15758145361966,0.334,0.726086956521739,2.62988608609999
"ASV_18022",-0.967086879698935,0.338,0.726881720430108,2.12122255359488
"ASV_10295",-0.839180445736264,0.357,0.727450980392157,4.56335738462283
"ASV_2007",0.768924426896215,0.367,0.727450980392157,2.61195502554307
"ASV_5528",-0.96611892948297,0.366,0.727450980392157,2.20869430102644
"ASV_5789",-0.943742383102604,0.371,0.727450980392157,2.11510463993373
"ASV_18465",-0.832401216687696,0.37,0.727450980392157,1.93473957159888
"ASV_11229",-0.9219940084387,0.365,0.727450980392157,1.85989744289509
"ASV_3328",0.875554849402081,0.349,0.727450980392157,1.82936501530273
"ASV_7125",0.934369157885717,0.37,0.727450980392157,1.82842923170035
"ASV_10025",0.839478411944588,0.362,0.727450980392157,1.74392560169413
"ASV_3455",-0.925089497026595,0.377,0.732038834951456,1.75212667705738
"ASV_8864",-0.911185201077611,0.393,0.75047619047619,2.35083590520638
"ASV_3285",-0.849216753883063,0.394,0.75047619047619,2.02620821901941
"ASV_2810",-0.745459015386349,0.4,0.754716981132076,2.34311239137314
"ASV_9406",0.732955802730423,0.411,0.76822429906542,2.00289903601969
"ASV_7449",-0.588706039485793,0.428,0.785321100917431,2.32932683925449
"ASV_2912",-0.850057332118297,0.426,0.785321100917431,1.81481702670294
"ASV_23277",-0.678479917910154,0.443,0.791150442477876,2.46564853981214
"ASV_9583",-0.822350447034582,0.446,0.791150442477876,2.45259710128537
"ASV_25414",-0.75496902385426,0.447,0.791150442477876,2.22319622382026
"ASV_11125",0.722762916200288,0.436,0.791150442477876,1.78847641578647
"ASV_4689",-0.66619238242184,0.457,0.794782608695652,1.88756679948188
"ASV_15148",0.779167680857849,0.457,0.794782608695652,1.86661551333055
"ASV_17542",-0.666131210298415,0.481,0.816949152542373,2.31178481273353
"ASV_11186",0.687741697214508,0.482,0.816949152542373,1.81701885346185
"ASV_9818",1.03998696368596,0.475,0.816949152542373,1.75639499750558
"ASV_1238",-0.623929408328073,0.489,0.819834710743802,2.63435743991971
"ASV_9193",0.650014504032726,0.496,0.819834710743802,2.02307282034706
"ASV_3958",-0.677924282611764,0.493,0.819834710743802,1.76787901796962
"ASV_6655",-0.692327005203708,0.504,0.822764227642276,2.19543064815921
"ASV_10218",-0.796966871466055,0.506,0.822764227642276,1.88328929866455
"ASV_5903",0.530533406897311,0.534,0.827906976744186,2.81487481933453
"ASV_9085",0.60184617287916,0.521,0.827906976744186,2.48648972478188
"ASV_13151",-0.666929686670508,0.523,0.827906976744186,2.24071215454985
"ASV_1317",-0.702224261626095,0.533,0.827906976744186,2.00612773323253
"ASV_4323",0.591974361279652,0.526,0.827906976744186,1.85936086866041
"ASV_5317",0.787187232850153,0.534,0.827906976744186,1.78033849972718
"ASV_12851",-0.72774690625955,0.541,0.832307692307692,1.74298118267532
"ASV_8643",0.549072049197803,0.579,0.851470588235294,2.83639140221316
"ASV_1687",0.490753831280584,0.578,0.851470588235294,2.46750626235422
"ASV_2691",-0.611289074780751,0.566,0.851470588235294,2.07199403723266
"ASV_10441",-0.56518071057791,0.57,0.851470588235294,1.844192703941
"ASV_886",-0.60140214048935,0.569,0.851470588235294,1.79754586728566
"ASV_5045",-0.657282991014776,0.574,0.851470588235294,1.74533890935453
"ASV_3345",0.653547026739581,0.592,0.857971014492754,1.8029231924002
"ASV_12425",0.433930703772907,0.592,0.857971014492754,1.76878847463823
"ASV_24648",-0.532783388293729,0.603,0.867625899280575,2.75375351061899
"ASV_8816",0.479688487629578,0.609,0.87,1.83185812329782
"ASV_6698",-0.494399742482047,0.616,0.873758865248227,1.90359807967272
"ASV_14061",-0.453473090856727,0.631,0.888732394366197,1.78189076329128
"ASV_7955",-0.430520877857035,0.651,0.91048951048951,1.86174098404059
"ASV_6917",0.34968592976651,0.697,0.911111111111111,2.50902860944336
"ASV_11336",-0.357421218666935,0.686,0.911111111111111,2.43982534942959
"ASV_1395",-0.339292161178928,0.686,0.911111111111111,2.15159237317644
"ASV_5727",-0.37041417330628,0.692,0.911111111111111,2.08982454393459
"ASV_2254",0.438584287129326,0.676,0.911111111111111,1.95859637397772
"ASV_2127",-0.342093944882673,0.682,0.911111111111111,1.87088745135482
