"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_192",-2.85784157150428,0.003,0.2,2.13923430375471
"ASV_3380",-3.43301742898945,0.002,0.2,2.13548949730243
"ASV_5640",-3.76286128596212,0.001,0.2,1.91418342970866
"ASV_616",-2.3818747012707,0.007,0.233333333333333,1.88038628954459
"ASV_9007",-3.27854564726606,0.007,0.233333333333333,1.83366797362631
"ASV_13213",2.57830489476208,0.007,0.233333333333333,1.84666504866511
"ASV_6273",-2.79683192201463,0.009,0.257142857142857,2.22555440799568
"ASV_17560",2.25593931611846,0.014,0.35,1.79047306939956
"ASV_88",-1.92364178839213,0.017,0.377777777777778,1.85981451175514
"ASV_13242",-1.9363839117022,0.023,0.383333333333333,2.08714860266211
"ASV_11019",-2.44818284722783,0.023,0.383333333333333,1.77299601352298
"ASV_10391",-2.43798826204337,0.022,0.383333333333333,1.98019406986248
"ASV_8643",2.07143740930845,0.028,0.430769230769231,2.83639140221316
"ASV_4871",2.1507257989438,0.031,0.442857142857143,1.84520545426955
"ASV_5369",-2.46308449386583,0.037,0.447058823529412,1.85945808165231
"ASV_4268",-2.35603888709731,0.038,0.447058823529412,2.0878111819996
"ASV_16366",2.14939104536921,0.038,0.447058823529412,1.81687358965846
"ASV_3859",-2.17609634391358,0.056,0.533333333333333,1.93001359550663
"ASV_4597",-2.26642260804311,0.052,0.533333333333333,1.8304256673866
"ASV_1317",-2.05312618347162,0.056,0.533333333333333,2.00612773323253
"ASV_6698",2.08559972799916,0.05,0.533333333333333,1.90359807967272
"ASV_10510",-2.14409935022191,0.064,0.556521739130435,2.62988608609999
"ASV_5103",1.67039530015113,0.062,0.556521739130435,2.13970019860475
"ASV_10218",-1.8382629706411,0.085,0.708333333333333,1.88328929866455
"ASV_3620",-1.81749069979615,0.101,0.808,2.01080190790378
"ASV_3923",1.35909180491338,0.107,0.823076923076923,2.21152328392741
"ASV_7376",-1.21238279308055,0.15,0.868571428571429,2.32503538030523
"ASV_8937",-1.23706997001,0.139,0.868571428571429,2.24916975860002
"ASV_10291",-1.4489569844605,0.121,0.868571428571429,1.80236086308018
