"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_1433",0.983258822401902,0.003,0.6,2.37218380233338
"ASV_7376",1.44265285109989,0.013,0.675,2.32503538030523
"ASV_8937",0.727121947834633,0.022,0.675,2.24916975860002
"ASV_4871",-1.85369617663299,0.019,0.675,1.84520545426955
"ASV_16366",-1.85326669338375,0.009,0.675,1.81687358965846
"ASV_9635",-1.75647022735422,0.027,0.675,1.79451142946175
"ASV_10025",-1.32428445468443,0.02,0.675,1.74392560169413
"ASV_1147",-1.88347389911306,0.025,0.675,1.73936459588787
"ASV_5156",-2.20023867818908,0.038,0.844444444444444,2.5014660067774
"ASV_4052",-0.629181657574788,0.312,0.96,3.92266183648396
"ASV_19706",-1.60285271365631,0.218,0.96,3.60181837031415
"ASV_12548",-1.27818886535262,0.253,0.96,3.26297887416792
"ASV_12870",-0.985868248934105,0.246,0.96,2.95589332243567
"ASV_8208",-1.22037541417126,0.153,0.96,2.8610929575301
"ASV_8643",-0.750911600598702,0.253,0.96,2.83639140221316
"ASV_12734",0.63881519315573,0.054,0.96,2.73488807133962
"ASV_10624",-0.847835761989597,0.183,0.96,2.71626841810582
"ASV_9392",-1.44272025950115,0.282,0.96,2.68680722946717
"ASV_9782",-1.86860789854882,0.213,0.96,2.6751354322411
"ASV_1238",-0.73040968681965,0.199,0.96,2.63435743991971
"ASV_10510",-0.943516877214678,0.159,0.96,2.62988608609999
"ASV_2007",-0.909169992699099,0.14,0.96,2.61195502554307
"ASV_319",-1.67498363831297,0.302,0.96,2.53477832125935
"ASV_6917",-1.2490719328155,0.278,0.96,2.50902860944336
"ASV_5702",1.06475272523521,0.194,0.96,2.49339531599296
"ASV_9085",-0.660688156799376,0.277,0.96,2.48648972478188
"ASV_19483",-1.7260967168934,0.194,0.96,2.48359620799505
"ASV_11336",-1.0384252817673,0.286,0.96,2.43982534942959
"ASV_11794",-1.10442545560661,0.242,0.96,2.42193263158797
"ASV_18015",-1.34180059858869,0.169,0.96,2.36164762543017
"ASV_11115",-1.3362723471498,0.143,0.96,2.34485974056897
"ASV_7449",-1.4128475045737,0.057,0.96,2.32932683925449
"ASV_13151",-2.02032415472859,0.224,0.96,2.24071215454985
"ASV_15374",-0.928995125935835,0.079,0.96,2.2305257234544
"ASV_3125",-0.625892845945966,0.294,0.96,2.22567951366774
"ASV_3923",-0.66690584018536,0.161,0.96,2.21152328392741
"ASV_5103",-0.833533805678544,0.293,0.96,2.13970019860475
"ASV_4268",-2.07078715508526,0.299,0.96,2.0878111819996
"ASV_11723",-1.6102241325366,0.148,0.96,2.08626043456107
"ASV_8075",-0.518737899501618,0.287,0.96,2.03588609609785
