"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_2285",0.225520670217894,0.835,0.979057591623037,4.97882146432713
"ASV_10295",0.089906744827927,0.933,0.979057591623037,4.56335738462283
"ASV_4083",-0.444082576171427,0.736,0.979057591623037,4.10255305815221
"ASV_4052",-1.00636506234582,0.253,0.979057591623037,3.92266183648396
"ASV_4833",-0.773605812037429,0.4,0.979057591623037,3.79780493551237
"ASV_16141",-0.502080429495621,0.665,0.979057591623037,3.78038489003347
"ASV_19598",-0.165264057308416,0.867,0.979057591623037,3.64231995931776
"ASV_19706",-0.468319326519998,0.616,0.979057591623037,3.60181837031415
"ASV_7880",0.109304823019745,0.916,0.979057591623037,3.45329514010696
"ASV_12132",-0.654278218913686,0.436,0.979057591623037,3.3859403930105
"ASV_8640",0.0817648444795166,0.92,0.979057591623037,3.35261671937078
"ASV_12548",-0.909299336858004,0.312,0.979057591623037,3.26297887416792
"ASV_18877",1.29251335842944,0.167,0.979057591623037,3.24434522654536
"ASV_7978",0.832183300551772,0.373,0.979057591623037,3.23263693905903
"ASV_10208",-0.128995596029015,0.909,0.979057591623037,3.12685074500212
"ASV_10164",0.285617770039963,0.824,0.979057591623037,3.00064671539992
"ASV_12870",-0.29502599554221,0.782,0.979057591623037,2.95589332243567
"ASV_4076",-0.473675071329773,0.615,0.979057591623037,2.93442210271885
"ASV_9691",-0.329101639608089,0.76,0.979057591623037,2.90895173049435
"ASV_7810",0.0971558481124246,0.929,0.979057591623037,2.88691617682916
"ASV_18169",-0.133355938750006,0.923,0.979057591623037,2.87037661221313
"ASV_8208",-1.80162210131338,0.055,0.979057591623037,2.8610929575301
"ASV_10251",0.548644816826893,0.535,0.979057591623037,2.84927346878833
"ASV_8643",-2.3848534965884,0.053,0.979057591623037,2.83639140221316
"ASV_5903",-0.711701303633807,0.44,0.979057591623037,2.81487481933453
"ASV_16269",0.236832954855272,0.813,0.979057591623037,2.8038407100859
"ASV_13706",-0.270465708685787,0.755,0.979057591623037,2.76732486522261
"ASV_13108",0.613362365656254,0.487,0.979057591623037,2.76508992936588
"ASV_12780",-0.612437957799554,0.632,0.979057591623037,2.75911124387488
"ASV_24648",-0.729705220075023,0.466,0.979057591623037,2.75375351061899
"ASV_12734",1.39286607214706,0.525,0.979057591623037,2.73488807133962
"ASV_1905",1.15600013936991,0.328,0.979057591623037,2.72891057699303
"ASV_10624",-1.41829562456296,0.187,0.979057591623037,2.71626841810582
"ASV_9392",-0.486949801464481,0.595,0.979057591623037,2.68680722946717
"ASV_9782",-0.53269666306086,0.542,0.979057591623037,2.6751354322411
"ASV_199",-1.03204413798513,0.248,0.979057591623037,2.6593206765134
"ASV_14792",-0.755977227923787,0.563,0.979057591623037,2.65468166637324
"ASV_2213",0.385570615563806,0.682,0.979057591623037,2.63591123613952
"ASV_1238",-0.107656755328782,0.916,0.979057591623037,2.63435743991971
"ASV_10510",-0.893797263171731,0.538,0.979057591623037,2.62988608609999
"ASV_2007",-1.50832475296317,0.053,0.979057591623037,2.61195502554307
"ASV_319",-0.563985782360905,0.535,0.979057591623037,2.53477832125935
"ASV_6917",-1.00432367836728,0.296,0.979057591623037,2.50902860944336
"ASV_5156",-2.40166462945376,0.032,0.979057591623037,2.5014660067774
"ASV_5702",0.47669498283918,0.669,0.979057591623037,2.49339531599296
"ASV_9085",-1.34499717467491,0.117,0.979057591623037,2.48648972478188
"ASV_6633",1.25491747522261,0.173,0.979057591623037,2.48509154055085
"ASV_19483",-0.459025394340267,0.63,0.979057591623037,2.48359620799505
"ASV_7977",-0.355233108990114,0.731,0.979057591623037,2.47997351865929
"ASV_23277",0.209913688600411,0.862,0.979057591623037,2.46564853981214
"ASV_9583",-1.18133941519217,0.414,0.979057591623037,2.45259710128537
"ASV_5838",0.135923369865073,0.895,0.979057591623037,2.44636255516672
"ASV_11336",-0.816370881980081,0.336,0.979057591623037,2.43982534942959
"ASV_3717",-0.587576122248361,0.556,0.979057591623037,2.43257009071902
"ASV_1482",0.897649919062306,0.589,0.979057591623037,2.42848905161662
"ASV_11794",-0.958646402358692,0.325,0.979057591623037,2.42193263158797
"ASV_9708",-0.376549920018578,0.753,0.979057591623037,2.38949736154844
"ASV_1433",1.51497704020474,0.276,0.979057591623037,2.37218380233338
"ASV_18015",-0.86127003250954,0.386,0.979057591623037,2.36164762543017
"ASV_19175",-1.06196552684688,0.173,0.979057591623037,2.35251338297376
"ASV_8864",-0.140850572349393,0.887,0.979057591623037,2.35083590520638
"ASV_3926",0.102919294654715,0.91,0.979057591623037,2.347209761401
"ASV_11115",-0.70936927734955,0.513,0.979057591623037,2.34485974056897
"ASV_2810",1.35118242762318,0.189,0.979057591623037,2.34311239137314
"ASV_5",-0.410067495492639,0.723,0.979057591623037,2.33998157500437
"ASV_7449",-1.0424559470683,0.166,0.979057591623037,2.32932683925449
"ASV_7376",1.91551929052112,0.358,0.979057591623037,2.32503538030523
"ASV_17542",0.497170391345875,0.589,0.979057591623037,2.31178481273353
"ASV_4605",-0.585816450956079,0.597,0.979057591623037,2.26902666338999
"ASV_8396",-0.714149439758059,0.684,0.979057591623037,2.26604724621812
"ASV_8937",1.35935178320323,0.444,0.979057591623037,2.24916975860002
"ASV_4646",-0.922655972911437,0.459,0.979057591623037,2.24803329452633
"ASV_9852",1.35765750013551,0.207,0.979057591623037,2.24565787852979
"ASV_13151",-1.10523747054348,0.199,0.979057591623037,2.24071215454985
"ASV_4589",1.02134275574104,0.358,0.979057591623037,2.2372342680981
"ASV_15374",-2.28926147104108,0.02,0.979057591623037,2.2305257234544
"ASV_9528",0.589217203678265,0.553,0.979057591623037,2.22656478339598
"ASV_3125",-1.14456887574126,0.312,0.979057591623037,2.22567951366774
"ASV_25414",0.0922093516468301,0.935,0.979057591623037,2.22319622382026
"ASV_3923",-1.69385695891886,0.038,0.979057591623037,2.21152328392741
"ASV_5528",-0.980834765323805,0.376,0.979057591623037,2.20869430102644
"ASV_6655",0.780764207858557,0.463,0.979057591623037,2.19543064815921
"ASV_1395",-0.79933696529817,0.4,0.979057591623037,2.15159237317644
"ASV_5103",-1.13945462046601,0.324,0.979057591623037,2.13970019860475
"ASV_192",1.31214650045294,0.366,0.979057591623037,2.13923430375471
"ASV_3380",-0.596822076208423,0.546,0.979057591623037,2.13548949730243
"ASV_29406",0.583911524991967,0.581,0.979057591623037,2.13094064679362
"ASV_14881",0.658091886165019,0.474,0.979057591623037,2.12176561460337
"ASV_18022",-0.473162006001152,0.786,0.979057591623037,2.12122255359488
"ASV_5789",-0.537700350283562,0.54,0.979057591623037,2.11510463993373
"ASV_11210",-0.34990457102428,0.694,0.979057591623037,2.10565476548445
"ASV_7025",0.289552526684511,0.708,0.979057591623037,2.09150916062029
"ASV_5727",0.433855162270938,0.912,0.979057591623037,2.08982454393459
"ASV_4268",-0.511332227313597,0.606,0.979057591623037,2.0878111819996
"ASV_13242",2.47132370913455,0.04,0.979057591623037,2.08714860266211
"ASV_11723",-1.6636001158151,0.035,0.979057591623037,2.08626043456107
"ASV_12447",0.210542973764106,0.866,0.979057591623037,2.08136704096343
"ASV_15958",1.5602696701124,0.195,0.979057591623037,2.08120366555722
"ASV_2691",-0.274077627027454,0.709,0.979057591623037,2.07199403723266
"ASV_11114",1.48027318164099,0.127,0.979057591623037,2.05901938280243
"ASV_6622",-0.157480581609746,0.904,0.979057591623037,2.04358104881271
"ASV_8075",-0.720057577332733,0.458,0.979057591623037,2.03588609609785
"ASV_3285",-0.874042784206328,0.394,0.979057591623037,2.02620821901941
"ASV_9193",-0.764232496056562,0.427,0.979057591623037,2.02307282034706
"ASV_3620",-0.185103723318191,0.855,0.979057591623037,2.01080190790378
"ASV_1317",-0.611271250057608,0.629,0.979057591623037,2.00612773323253
"ASV_7514",1.06407780916723,0.217,0.979057591623037,2.00559660793091
"ASV_22991",-0.825032673019164,0.321,0.979057591623037,2.00467555177243
"ASV_9406",-2.09405273373288,0.043,0.979057591623037,2.00289903601969
"ASV_1289",-1.84563197068017,0.109,0.979057591623037,1.9950814077445
"ASV_12330",0.261304597457486,0.835,0.979057591623037,1.99503205155961
"ASV_8188",0.496835960063974,0.774,0.979057591623037,1.98336967844687
"ASV_9178",1.53837469787462,0.165,0.979057591623037,1.98090002960277
"ASV_10391",0.150298546409775,0.905,0.979057591623037,1.98019406986248
"ASV_9610",1.30386001439959,0.319,0.979057591623037,1.96874445383062
"ASV_2254",-1.92006339674822,0.062,0.979057591623037,1.95859637397772
"ASV_2795",0.608805698975764,0.507,0.979057591623037,1.94533452906854
"ASV_13251",-1.28582893333175,0.14,0.979057591623037,1.94064877888186
"ASV_3972",-1.77841872092474,0.083,0.979057591623037,1.93918420044364
"ASV_22164",-0.912241452853046,0.393,0.979057591623037,1.93847536528093
"ASV_18465",-1.29772831234825,0.148,0.979057591623037,1.93473957159888
"ASV_3859",1.20160192966108,0.203,0.979057591623037,1.93001359550663
"ASV_5640",-0.468433426939389,0.607,0.979057591623037,1.91418342970866
"ASV_12553",1.30729079390807,0.191,0.979057591623037,1.9107668988677
"ASV_10012",-0.237534159083009,0.788,0.979057591623037,1.90623513418094
"ASV_23943",0.183256304119167,0.884,0.979057591623037,1.90367512823925
"ASV_6698",-1.47431726595262,0.235,0.979057591623037,1.90359807967272
"ASV_4689",-0.614567317810753,0.664,0.979057591623037,1.88756679948188
"ASV_1235",-0.536073829121898,0.632,0.979057591623037,1.88540502660303
"ASV_10218",0.199979749372981,0.881,0.979057591623037,1.88328929866455
"ASV_616",1.34099127045492,0.195,0.979057591623037,1.88038628954459
"ASV_4353",-0.278652174409001,0.766,0.979057591623037,1.87936753900125
"ASV_15353",1.4609077247244,0.102,0.979057591623037,1.87532918685037
"ASV_2127",-0.716761670655362,0.384,0.979057591623037,1.87088745135482
"ASV_8783",-0.409411469770789,0.833,0.979057591623037,1.86883044687764
"ASV_11609",-0.306392121530219,0.758,0.979057591623037,1.86687382893772
"ASV_15148",-1.08200354947181,0.148,0.979057591623037,1.86661551333055
"ASV_4026",-0.584394207197008,0.559,0.979057591623037,1.86413933310225
"ASV_7955",-0.579117418474987,0.54,0.979057591623037,1.86174098404059
"ASV_11229",-1.10352003089654,0.454,0.979057591623037,1.85989744289509
"ASV_88",1.00307494025388,0.478,0.979057591623037,1.85981451175514
"ASV_5369",0.0986205476723975,0.927,0.979057591623037,1.85945808165231
"ASV_4323",-1.27781088674938,0.169,0.979057591623037,1.85936086866041
"ASV_7867",0.225506015572122,0.837,0.979057591623037,1.85030232693449
"ASV_13213",-0.541792825420652,0.55,0.979057591623037,1.84666504866511
"ASV_4871",-1.28045163534931,0.202,0.979057591623037,1.84520545426955
"ASV_10441",-0.242936575952082,0.83,0.979057591623037,1.844192703941
"ASV_7470",1.42290379269995,0.338,0.979057591623037,1.83385791256365
"ASV_9007",0.312539051294632,0.734,0.979057591623037,1.83366797362631
"ASV_8816",-1.12273157776347,0.387,0.979057591623037,1.83185812329782
"ASV_4597",-0.130156803302236,0.879,0.979057591623037,1.8304256673866
"ASV_248",-0.806484744001858,0.654,0.979057591623037,1.82967136036718
"ASV_3328",-1.04137154388045,0.186,0.979057591623037,1.82936501530273
"ASV_7125",-1.15475962876663,0.282,0.979057591623037,1.82842923170035
"ASV_7040",0.415457163642778,0.647,0.979057591623037,1.82796763229878
"ASV_5226",0.133514855711058,0.86,0.979057591623037,1.82264351672302
"ASV_9550",-0.667876719205492,0.55,0.979057591623037,1.81982716444731
"ASV_11186",-0.190648348670896,0.889,0.979057591623037,1.81701885346185
"ASV_16366",-2.30131275885487,0.034,0.979057591623037,1.81687358965846
"ASV_13755",-0.401223648302754,0.732,0.979057591623037,1.8156735509812
"ASV_2912",-0.356020990705596,0.749,0.979057591623037,1.81481702670294
"ASV_8489",-1.21054455469912,0.449,0.979057591623037,1.80585084762002
"ASV_3345",-0.405990712058065,0.767,0.979057591623037,1.8029231924002
"ASV_10291",1.90876125503676,0.439,0.979057591623037,1.80236086308018
"ASV_14932",1.26970360457013,0.355,0.979057591623037,1.79745978146637
"ASV_14407",0.739490029549176,0.763,0.979057591623037,1.79736525394271
"ASV_17186",0.834059024303602,0.576,0.979057591623037,1.79460573407071
"ASV_9635",-1.67725521236527,0.128,0.979057591623037,1.79451142946175
"ASV_1814",-1.01423200913466,0.457,0.979057591623037,1.79275622098981
"ASV_2369",1.49088119134762,0.317,0.979057591623037,1.79225053345638
"ASV_17560",-3.07784542797018,0.008,0.979057591623037,1.79047306939956
"ASV_11125",-1.25030511257261,0.168,0.979057591623037,1.78847641578647
"ASV_14061",0.148579119410367,0.892,0.979057591623037,1.78189076329128
"ASV_8804",-0.983627832441396,0.284,0.979057591623037,1.78185269782114
"ASV_3449",1.88153402306953,0.088,0.979057591623037,1.78097318335556
"ASV_5317",-0.511142369344892,0.645,0.979057591623037,1.78033849972718
"ASV_4626",-1.06151146867599,0.207,0.979057591623037,1.77914593507083
"ASV_18008",-0.317277600370583,0.771,0.979057591623037,1.77639780422764
"ASV_11019",-0.809849745874801,0.391,0.979057591623037,1.77299601352298
"ASV_5092",0.50201716700227,0.813,0.979057591623037,1.77235801398449
"ASV_12425",-1.01179502013368,0.225,0.979057591623037,1.76878847463823
"ASV_3958",-0.274212190375034,0.889,0.979057591623037,1.76787901796962
"ASV_3064",-0.382606660147091,0.728,0.979057591623037,1.75846236354526
"ASV_3455",0.220349617505654,0.805,0.979057591623037,1.75212667705738
"ASV_27486",-0.239392116766552,0.818,0.979057591623037,1.75082675352944
"ASV_5045",-1.12145669889655,0.25,0.979057591623037,1.74533890935453
"ASV_10025",-1.21454292115451,0.187,0.979057591623037,1.74392560169413
"ASV_12851",-0.172189426819705,0.83,0.979057591623037,1.74298118267532
"ASV_1147",-0.433298672324703,0.652,0.979057591623037,1.73936459588787
"ASV_6937",-0.230986510149265,0.796,0.979057591623037,1.73724269561636
"ASV_154",-1.35563949591714,0.157,0.979057591623037,1.72612147980883
"ASV_1687",0.0739046098999339,0.943,0.982291666666667,2.46750626235422
"ASV_9818",-0.156014391242391,0.958,0.992746113989637,1.75639499750558
"ASV_14064",0.0130150901178512,0.995,0.996,2.88920298251667
"ASV_18544",0.0175522427838151,0.986,0.996,2.30506988668101
"ASV_6273",0.0118915486951828,0.996,0.996,2.22555440799568
"ASV_1769",-0.0192651016242626,0.982,0.996,2.12978303583601
"ASV_2600",0.0390894631935597,0.969,0.996,1.88630309331551
"ASV_886",0.0591115199139564,0.988,0.996,1.79754586728566
"ASV_14038",0.0241018386111344,0.981,0.996,1.75477703430636
