"taxon","t_stat","p_perm","q_value"
"ASV_427",13.6328225089275,0.001,0.001
"ASV_169",-13.9608279248063,0.001,0.001
"ASV_529",13.1892800343966,0.001,0.001
"ASV_81",-12.7135032926696,0.001,0.001
"ASV_214",-13.2697262837257,0.001,0.001
"ASV_148",12.156473329936,0.001,0.001
"ASV_270",11.7187488647807,0.001,0.001
"ASV_109",-13.7762616097021,0.001,0.001
"ASV_272",-12.7316815684546,0.001,0.001
"ASV_1384",11.8222755801477,0.001,0.001
"ASV_368",12.5056016747999,0.001,0.001
"ASV_291",-12.1616527803346,0.001,0.001
"ASV_1029",-10.8831718518576,0.001,0.001
"ASV_665",-10.9915668320034,0.001,0.001
"ASV_316",12.5326872720429,0.001,0.001
"ASV_889",10.8079809784784,0.001,0.001
"ASV_133",12.0601160787492,0.001,0.001
"ASV_1051",10.6857534225202,0.001,0.001
"ASV_1314",10.6198878043487,0.001,0.001
"ASV_1084",10.3337972845876,0.001,0.001
"ASV_2809",10.4266925102483,0.001,0.001
"ASV_1352",10.1308480226143,0.001,0.001
"ASV_1005",9.62146677311315,0.001,0.001
"ASV_1543",9.84490991949123,0.001,0.001
"ASV_335",-10.3927573825514,0.001,0.001
"ASV_605",-9.3629177637214,0.001,0.001
"ASV_1016",-9.09269744871887,0.001,0.001
"ASV_2199",8.96329587229182,0.001,0.001
"ASV_607",-9.36040939319401,0.001,0.001
"ASV_599",8.66199121396266,0.001,0.001
"ASV_1288",10.0391489646734,0.001,0.001
"ASV_2603",8.93222363290875,0.001,0.001
"ASV_416",9.69611276453249,0.001,0.001
"ASV_1167",-8.56229139847312,0.001,0.001
"ASV_1026",-9.67128940117374,0.001,0.001
"ASV_678",-8.77499958908717,0.001,0.001
"ASV_31",8.69655742446063,0.001,0.001
"ASV_1665",9.69523780592938,0.001,0.001
"ASV_776",-9.03112934769496,0.001,0.001
"ASV_249",-8.34730416387689,0.001,0.001
"ASV_444",9.5461936960751,0.001,0.001
"ASV_454",8.25401524176802,0.001,0.001
"ASV_261",8.3011251604769,0.001,0.001
"ASV_5650",8.08388791756534,0.001,0.001
"ASV_792",-8.85693502139572,0.001,0.001
"ASV_312",9.02651047954881,0.001,0.001
"ASV_1184",8.32144963942528,0.001,0.001
"ASV_459",-8.63692134706643,0.001,0.001
"ASV_3335",9.1230464789585,0.001,0.001
"ASV_2660",7.89337164022464,0.001,0.001
"ASV_734",-8.11030888052472,0.001,0.001
"ASV_2402",7.85254449181743,0.001,0.001
"ASV_813",-7.80270534780079,0.001,0.001
"ASV_2219",-8.42658748846887,0.001,0.001
"ASV_322",7.80887776054676,0.001,0.001
"ASV_768",-8.10104622107723,0.001,0.001
"ASV_586",-8.66302853742694,0.001,0.001
"ASV_1632",-8.42502458421375,0.001,0.001
"ASV_608",7.93602872365031,0.001,0.001
"ASV_2677",8.36525709439903,0.001,0.001
"ASV_531",-7.77016757980682,0.001,0.001
"ASV_4109",7.60300397864793,0.001,0.001
"ASV_409",-8.13254798645743,0.001,0.001
"ASV_26",7.63693802698171,0.001,0.001
"ASV_551",-7.31383356439057,0.001,0.001
"ASV_102",8.70063665139248,0.001,0.001
"ASV_2873",-7.46716229918829,0.001,0.001
"ASV_3241",-7.53895020769079,0.001,0.001
"ASV_3",7.3884065334807,0.001,0.001
"ASV_587",-7.7741168544206,0.001,0.001
