"taxon","t_stat","p_perm","t_stat_quad","p_perm_quad","q_value","q_value_quad","shape","Family","Subfamily","Order"
"Cyclorhipidion pelliculosum",-4.56301291015269,0.001,1.5871450259707,0.127,0.00478125,0.257684210526316,"linear decrease (early-season)","Curculionidae","Scolytinae","Coleoptera"
"Heteroborips seriatus",-3.76686585245053,0.001,0.170955594600403,0.847,0.00478125,0.912612676056338,"linear decrease (early-season)","Curculionidae","Scolytinae","Coleoptera"
"Xyleborinus attenuatus",-13.2959832193998,0.001,9.33471510705757,0.001,0.00478125,0.0139090909090909,"dip (troughs mid-season)","Curculionidae","Scolytinae","Coleoptera"
"Xylosandrus germanus",-4.06288687854434,0.001,-1.87616243289394,0.061,0.00478125,0.160779661016949,"linear decrease (early-season)","Curculionidae","Scolytinae","Coleoptera"
"Melanophthalma sp.",6.97539945488818,0.001,-3.44895834612261,0.003,0.00478125,0.0218571428571429,"hump (peaks mid-season)","Latridiidae","Corticariinae","Coleoptera"
"Pissodes strobi",-4.98336078655938,0.001,2.04660833746142,0.051,0.00478125,0.14722641509434,"linear decrease (early-season)","Curculionidae","Molytinae","Coleoptera"
"Dendroctonus valens",-2.82993247259979,0.001,-0.627636196697229,0.52,0.00478125,0.657520661157025,"linear decrease (early-season)","Curculionidae","Scolytinae","Coleoptera"
"Xyloterinus politus",-5.19038568707483,0.001,1.17009911167562,0.272,0.00478125,0.4335,"linear decrease (early-season)","Curculionidae","Scolytinae","Coleoptera"
"Pityogenes hopkinsi",-3.47931379198266,0.001,1.00034863252271,0.291,0.00478125,0.454316326530612,"linear decrease (early-season)","Curculionidae","Scolytinae","Coleoptera"
"Tenebroides corticalis",3.64725921449219,0.001,-1.87693508885383,0.047,0.00478125,0.14382,"linear increase (late-season)","Trogossitidae","Trogossitinae","Coleoptera"
"Melanotus hyslopi",7.53606158396982,0.001,0.545930495230669,0.594,0.00478125,0.721285714285714,"linear increase (late-season)","Elateridae","Elaterinae","Coleoptera"
"Neoclytus acuminatus",5.13053185416219,0.001,-1.11631548206794,0.224,0.00478125,0.394670454545455,"linear increase (late-season)","Cerambycidae","Cerambycinae","Coleoptera"
"Canifa pallipes",3.7036282746463,0.001,1.89927427573528,0.062,0.00478125,0.160779661016949,"linear increase (late-season)","Scraptiidae","Scraptiinae","Coleoptera"
"Paromalus teres",5.17222771497838,0.001,1.21602654942692,0.243,0.00478125,0.4131,"linear increase (late-season)","Histeridae","Dendrophilinae","Coleoptera"
"Ampedus melanotoides",5.23083787105397,0.001,1.97939411319864,0.047,0.00478125,0.14382,"linear increase (late-season)","Elateridae","Elaterinae","Coleoptera"
"Isorhipis obliqua",7.32144344941346,0.001,2.54546314495774,0.015,0.00478125,0.0655714285714286,"dip (troughs mid-season)","Eucnemidae","Melasinae","Coleoptera"
"Cymindis limbata",4.36533200719791,0.001,1.46360409253447,0.171,0.00478125,0.319060975609756,"linear increase (late-season)","Carabidae","Harpalinae","Coleoptera"
"Mycetochara fraterna",4.5941164792759,0.001,1.15332566582932,0.263,0.00478125,0.428074468085106,"linear increase (late-season)","Tenebrionidae","Alleculinae","Coleoptera"
"Capnochroa fuliginosa",3.29618838272816,0.001,1.44800689115474,0.119,0.00478125,0.256378378378378,"linear increase (late-season)","Tenebrionidae","Alleculinae","Coleoptera"
"Stenoscelis brevis",9.88149760081188,0.001,3.80313561568837,0.002,0.00478125,0.019125,"dip (troughs mid-season)","Curculionidae","Cossoninae","Coleoptera"
"Isomira sp.",5.74194807779558,0.001,3.76476037098168,0.002,0.00478125,0.019125,"dip (troughs mid-season)","Tenebrionidae","Alleculinae","Coleoptera"
"Madoniella dislocata",4.43008141838246,0.001,1.56788109375027,0.124,0.00478125,0.256378378378378,"linear increase (late-season)","Cleridae","Epiphloeinae","Coleoptera"
"Dryophthorus americanus",6.76988635897009,0.001,3.42895563504206,0.003,0.00478125,0.0218571428571429,"dip (troughs mid-season)","Dryophthoridae","Dryophthorinae","Coleoptera"
"Androchirus erythropus",3.25029377964492,0.001,1.91375671518184,0.049,0.00478125,0.147,"linear increase (late-season)","Tenebrionidae","Alleculinae","Coleoptera"
"Rushia longula",3.38899810013839,0.001,1.54139006497388,0.128,0.00478125,0.257684210526316,"linear increase (late-season)","Melandryidae","Melandryinae","Coleoptera"
"Corthylus columbianus",4.50008718556557,0.001,3.6771418090597,0.001,0.00478125,0.0139090909090909,"dip (troughs mid-season)","Curculionidae","Scolytinae","Coleoptera"
"Hylis terminalis",3.30112280779706,0.001,2.73598825799226,0.002,0.00478125,0.019125,"dip (troughs mid-season)","Eucnemidae","Melasinae","Coleoptera"
"Athous neacanthus",4.49289012858224,0.001,3.93884676605894,0.001,0.00478125,0.0139090909090909,"dip (troughs mid-season)","Elateridae","Dendrometrinae","Coleoptera"
"Haplandrus fulvipes",4.9054588282862,0.001,4.60980739854371,0.001,0.00478125,0.0139090909090909,"dip (troughs mid-season)","Tenebrionidae","Stenochiinae","Coleoptera"
"Sculptotheca puberula",4.23798619201703,0.001,3.88698672927872,0.001,0.00478125,0.0139090909090909,"dip (troughs mid-season)","Ptinidae","Dorcatominae","Coleoptera"
"Anomala orientalis",4.31757631804893,0.001,3.97586518170588,0.001,0.00478125,0.0139090909090909,"dip (troughs mid-season)","Scarabaeidae","Rutelinae","Coleoptera"
"Mallochiola gagates",3.78786454883178,0.001,3.65455394286547,0.001,0.00478125,0.0139090909090909,"dip (troughs mid-season)","Microphysidae","Microphysinae","Hemiptera"
"Phymaphora pulchella",-3.77184466833808,0.002,-0.96392005385372,0.33,0.00784615384615385,0.480857142857143,"linear decrease (early-season)","Endomychidae","Leiestinae","Coleoptera"
"Orthocis punctatus",-3.03758322238789,0.002,-0.537460289605305,0.594,0.00784615384615385,0.721285714285714,"linear decrease (early-season)","Ciidae","Ciinae","Coleoptera"
"Hesperus apicialis",3.58646911767366,0.002,-1.2645527956307,0.227,0.00784615384615385,0.394670454545455,"linear increase (late-season)","Staphylinidae","Staphylininae","Coleoptera"
"Menecles insertus",2.82526344739008,0.002,0.915159882153027,0.339,0.00784615384615385,0.484738317757009,"linear increase (late-season)","Pentatomidae","Pentatominae","Hemiptera"
