"taxon","in_top3axes_CoCA","in_PCoA1_date","in_PCoA3_lure","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_210",TRUE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__alni"
"ASV_534",TRUE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Valsa",NA
"ASV_545",TRUE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_660",TRUE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Ophiostomatales","f__Ophiostomataceae","g__Grosmannia","s__francke-grosmanniae"
"ASV_80",TRUE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Barnettozyma",NA
"ASV_248",TRUE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera","s__maritima"
"ASV_518",TRUE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__alni"
"ASV_15",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Barnettozyma",NA
"ASV_31",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_35",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__wisconsinensis"
"ASV_42",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_65",FALSE,TRUE,TRUE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_77",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma",NA
"ASV_79",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera","s__veronae"
"ASV_81",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis"
"ASV_85",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis"
"ASV_94",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_96",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"ASV_98",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_100",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Yamadazyma","s__mexicana"
"ASV_102",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_103",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__glutinis"
"ASV_109",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_127",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Hyphozyma","s__roseonigra"
"ASV_133",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_135",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Tausonia","s__pullulans"
"ASV_138",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"ASV_148",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_161",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Tympanis",NA
"ASV_176",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Coryneliaceae_gen_Incertae_sedis",NA
"ASV_181",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Flavoparmelia","s__caperata"
"ASV_189",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Rhizosphaera",NA
"ASV_193",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Mycocentrospora",NA
"ASV_201",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_211",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__caerulescens"
"ASV_214",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_231",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Coniozyma","s__leucospermi"
"ASV_236",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Phaeothecales","f__Phaeothecaceae","g__Phaeothecaceae_gen_Incertae_sedis",NA
"ASV_250",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__haroldporteri"
"ASV_256",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__mucilaginosa"
"ASV_260",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__acerina"
"ASV_262",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_270",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
