"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"asv","Ambrosiophilus atratus","ASV_3603","Sporothrix","eucastaneae",69,4,10,2,2,8,57,0.166666666666667,0.0720266893353442,0.0649416401131649,1.45730808717498,0.1995,0.977,0.399,1,0.0974955494556976,0.543189489824601,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_25723","Ceratocystiopsis","manitobensis",69,4,4,1,3,3,62,0.142857142857143,0.0839467352723973,0.0954500109241798,0.617185970062808,0.5005,0.9345,1,1,0.216843011170606,0.804364998309892,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_27488","Ceratocystiopsis","synnemata",69,4,4,1,3,3,62,0.142857142857143,0.0228685771457158,0.0523960029851374,2.29003280546921,0.1605,1,0.321,1,0.216843011170606,0.804364998309892,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_6117","Leptographium","gracile",69,4,13,2,2,11,54,0.133333333333333,0.0316970985492746,0.0387497436234535,2.62288792854213,0.056,1,0.112,1,0.158300568767416,0.702028609316367,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_8131","Graphilbum",NA,69,4,6,1,3,5,60,0.111111111111111,0.109082318937248,0.0869203010228821,0.0233408323485818,0.718,0.789,1,1,0.31097245694337,0.893932158878959,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_13249","Ophiostoma","denticulatum",69,4,6,1,3,5,60,0.111111111111111,0.0395197598799406,0.0532042203466416,1.34559534496946,0.356,1,0.712,1,0.31097245694337,0.893932158878959,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_15258","Ophiostoma","pallidulum",69,4,7,1,3,6,59,0.1,0.0536379300761486,0.0630058626981918,0.735837395734636,0.47,0.9455,0.94,1,0.354720237454902,0.928491546661409,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_15738","Graphilbum",NA,69,4,7,1,3,6,59,0.1,0.12393418931688,0.08940908439046,-0.267693036787588,0.8145,0.6975,1,1,0.354720237454902,0.928491546661409,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_21569","Sporothrix",NA,69,4,7,1,3,6,59,0.1,0.0339669834917461,0.0473715629405521,1.39393789035672,0.34,1,0.68,1,0.354720237454902,0.928491546661409,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_3556","Sporothrix","rossii",69,4,9,1,3,8,57,0.0833333333333333,0.0433701699334514,0.0523243274138637,0.763758759549643,0.4545,0.944,0.909,1,0.435934718409811,0.973131695423722,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_8274","Sporothrix","rossii",69,4,12,1,3,11,54,0.0666666666666667,0.0866099716524912,0.0448209417037273,-0.444955064033518,0.907,0.657,1,1,0.543077451616597,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_660","Grosmannia","francke-grosmanniae",69,4,13,1,3,12,53,0.0625,0.043048607637152,0.0401620980366911,0.484322117462032,0.596,0.918,1,1,0.575142191854029,1,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_1122","Raffaelea","arxii",69,4,8,0,4,8,57,0,0.0318250034107967,0.0497088824315884,-0.64022769883422,1,0.6825,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_1646","Raffaelea","arxii",69,4,5,0,4,5,60,0,0.0440488101193454,0.0693442516276095,-0.635219345301974,1,0.6825,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_4044","Graphilbum",NA,69,4,6,0,4,6,59,0,0.0459118448112953,0.054725833055999,-0.838942821835446,1,0.587,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_4337","Ophiostoma","undulatum",69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_5162","Sporothrix",NA,69,4,7,0,4,7,58,0,0.0168584292146074,0.037447801077492,-0.450184756635555,1,0.8315,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_5724","Graphilbum",NA,69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_6045","Sporothrix",NA,69,4,7,0,4,7,58,0,0.0174087043521762,0.0379279194175403,-0.458994445767709,1,0.826,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_6746","Graphilbum",NA,69,4,4,0,4,4,61,0,0.0251554348602874,0.0544271949413571,-0.462185032452826,1,0.824,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_6959","Ophiostoma","adjuncti",69,4,7,0,4,7,58,0,0.0959479739869928,0.0783528743059493,-1.22456227466958,1,0.2995,0.599,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_7106","Ophiostoma","denticiliatum",69,4,5,0,4,5,60,0,0.0440488101193454,0.0693442516276095,-0.635219345301974,1,0.6825,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_7618","Leptographium","lundbergii",69,4,7,0,4,7,58,0,0.0766827858373623,0.0742538633070656,-1.03271105935933,1,0.401,0.802,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_7819","Hawksworthiomyces",NA,69,4,5,0,4,5,60,0,0.0220110055027514,0.0476237955736866,-0.462185032452832,1,0.824,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_7886","Grosmannia",NA,69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_8895","Ceratocystiopsis","manitobensis",69,4,13,0,4,13,52,0,0.0587918959479746,0.0470915605967419,-1.24845928236327,1,0.2995,0.599,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_8974","Ophiostoma","karelicum",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_9224","Ophiostoma","sparsiannulatum",69,4,3,0,4,3,62,0,0.0278472569618141,0.0621906309505679,-0.447772542844089,1,0.833,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_9363","Sporothrix",NA,69,4,5,0,4,5,60,0,0.0637818909454727,0.0625024880563911,-1.02046963135175,1,0.49,0.98,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_11554","Raffaelea","crossotarsi",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_11600","Ophiostoma","undulatum",69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_13560","Hawksworthiomyces",NA,69,4,7,0,4,7,58,0,0.060230115057528,0.0650516111944123,-0.925881987419576,1,0.4805,0.961,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_15268","Grosmannia","olivacea",69,4,5,0,4,5,60,0,0.0217608804402201,0.0474098992719261,-0.458994445767698,1,0.826,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_16537","Graphilbum",NA,69,4,3,0,4,3,62,0,0.0293480073370017,0.0634983940982506,-0.462185032452817,1,0.824,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_17726",NA,NA,69,4,3,0,4,3,62,0,0.0293480073370017,0.0634983940982506,-0.462185032452817,1,0.824,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_22166","Grosmannia","cucullata",69,4,4,0,4,4,61,0,0.024083470306582,0.0534968586821312,-0.450184756635556,1,0.8315,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_22950","Sporothrix",NA,69,4,6,0,4,6,59,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"asv","Ambrosiophilus atratus","ASV_23023","Sporothrix",NA,69,4,4,0,4,4,61,0,0.024869577645966,0.0541827420250579,-0.458994445767705,1,0.826,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_28495","Raffaelea","subfusca",69,4,3,0,4,3,62,0,0.0688677672169423,0.0820887495839992,-0.83894282183543,1,0.587,1,1,1,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_6117","Leptographium","gracile",69,32,13,9,23,4,33,0.25,0.20101981475677,0.0446418850761448,1.09718003976951,0.229,0.9285,0.458,1,0.120644759844847,0.615288275208718,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_660","Grosmannia","francke-grosmanniae",69,32,13,8,24,5,32,0.216216216216216,0.223325435910686,0.0475392546238295,-0.149544197752446,0.679,0.5825,1,1,0.35501147372348,0.928491546661409,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_3603","Sporothrix","eucastaneae",69,32,10,7,25,3,34,0.2,0.142504464880668,0.0350811003307928,1.63893191995648,0.121,0.984,0.242,1,0.169804472396998,0.719377464700006,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_8274","Sporothrix","rossii",69,32,12,7,25,5,32,0.189189189189189,0.163084351454981,0.0380149264810678,0.686699676960016,0.399,0.87,0.798,1,0.525817133599525,1,"co-occurring",FALSE
