"grid","beetle","fungal_unit","asv_genus","asv_species","in_block","beetle_n","fungus_n","shared_n","jaccard","exp_jaccard_null_within_trap","exp_jaccard_null_within_date","exp_jaccard_null_within_site_x_date","z_score_within_trap","z_score_within_date","z_score_within_site_x_date","p_pos_within_trap","p_pos_within_date","p_pos_within_site_x_date","p_perm_within_trap","p_perm_within_date","p_perm_within_site_x_date","q_perm_within_trap","q_perm_within_date","q_perm_within_site_x_date"
"asv","Pityogenes hopkinsi","ASV_8274","Sporothrix","rossii",TRUE,19,12,9,0.409090909090909,0.263065979392731,0.164063125476874,0.251317067547467,2.39113474872877,4.17042063045592,2.49395645590147,0.0385,0.001,0.0295,0.077,0.002,0.059,0.541524590163934,0.2145,1
"asv","Pityogenes hopkinsi","ASV_21569","Sporothrix",NA,TRUE,19,7,6,0.3,0.130477342002453,0.141709094712989,0.184332515401312,3.59425607375106,2.80301788034652,2.27600430543032,0.001,0.019,0.052,0.002,0.038,0.104,0.10725,0.65208,1
"asv","Pityogenes hopkinsi","ASV_660","Grosmannia","francke-grosmanniae",TRUE,19,13,7,0.28,0.10981647821941,0.264918165309343,0.265294030977735,3.92769716708035,0.228939643909728,0.272508300028461,0.001,0.5445,0.539,0.002,1,1,0.10725,1,1
"asv","Pityogenes hopkinsi","ASV_6117","Leptographium","gracile",TRUE,19,13,7,0.28,0.151206361745425,0.15399868441877,0.186821662967969,3.138729787287,2.21054496008593,1.59448629865976,0.009,0.0435,0.1215,0.018,0.087,0.243,0.277588235294118,0.954525,1
"asv","Pityogenes hopkinsi","ASV_8895","Ceratocystiopsis","manitobensis",TRUE,19,13,7,0.28,0.217370280952623,0.101015535802939,0.185565939468407,1.02156163272213,4.02034031780574,2.25036093196884,0.2515,0.001,0.0485,0.503,0.002,0.097,1,0.2145,1
"asv","Pityogenes hopkinsi","ASV_3556","Sporothrix","rossii",TRUE,19,9,6,0.272727272727273,0.157484873197947,0.175747593400767,0.247051101308224,2.0790347289884,1.68386936199862,0.438760046500908,0.064,0.1195,0.505,0.128,0.239,1,0.658821428571429,1,1
"asv","Pityogenes hopkinsi","ASV_3603","Sporothrix","eucastaneae",TRUE,19,10,6,0.260869565217391,0.145923269941802,0.195511137492782,0.262417770149893,2.11572965593592,1.07827139914896,-0.0418460131892191,0.0545,0.2505,0.778,0.109,0.501,1,0.631905405405405,1,1
"asv","Pityogenes hopkinsi","ASV_8131","Graphilbum",NA,TRUE,19,6,5,0.25,0.179876005196275,0.0908018040145297,0.174258833380157,1.27585351300268,3.38385930778376,1.46793809085181,0.221,0.0085,0.178,0.442,0.017,0.356,1,0.60775,1
"asv","Pityogenes hopkinsi","ASV_13249","Ophiostoma","denticulatum",TRUE,19,6,5,0.25,0.164936197654932,0.118614607362125,0.155249067221357,1.62962181239804,2.61728457517698,2.14193991847689,0.1365,0.024,0.074,0.273,0.048,0.148,0.883804511278195,0.7007,1
"asv","Pityogenes hopkinsi","ASV_7618","Leptographium","lundbergii",TRUE,19,7,5,0.238095238095238,0.17687169770904,0.119749267632123,0.183238786718789,1.0824514970305,2.33077770180099,1.07276561164397,0.269,0.047,0.295,0.538,0.094,0.59,1,0.960142857142857,1
"asv","Pityogenes hopkinsi","ASV_15258","Ophiostoma","pallidulum",TRUE,19,7,5,0.238095238095238,0.124162333378247,0.165821871974949,0.200786917079849,2.46544847573193,1.39493695592256,0.83419334301515,0.037,0.1885,0.412,0.074,0.377,0.824,0.5291,1,1
"asv","Pityogenes hopkinsi","ASV_15738","Graphilbum",NA,TRUE,19,7,5,0.238095238095238,0.178572049306377,0.106725747590529,0.175175819605644,1.00957656008285,2.86275501325778,1.21928183708886,0.2775,0.018,0.2485,0.555,0.036,0.497,1,0.65208,1
"asv","Pityogenes hopkinsi","ASV_7106","Ophiostoma","denticiliatum",TRUE,19,5,4,0.2,0.092668525115183,0.162447805376133,0.200404713635009,2.40403761618928,0.776048481779071,-0.0103270316145318,0.0425,0.4225,0.7805,0.085,0.845,1,0.561,1,1
