"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"genus","Ambrosiophilus atratus","Graphilbum",69,4,20,2,2,18,47,0.0909090909090909,0.067501000641484,0.0354715339302626,0.659911982200361,0.512,0.932,1,1,0.573765675227675,0.935391966058339,"co-occurring",FALSE
"genus","Ambrosiophilus atratus","Leptographium",69,4,20,2,2,18,47,0.0909090909090909,0.0555410398592857,0.0363253565989264,0.973646355087689,0.3595,0.9555,0.719,1,0.573765675227675,0.935391966058339,"co-occurring",FALSE
"genus","Ambrosiophilus atratus","Ceratocystiopsis",69,4,21,2,2,19,46,0.0869565217391304,0.0781219708291927,0.0376535443896108,0.234627338625135,0.648,0.8315,1,1,0.579854737010136,0.935391966058339,"co-occurring",FALSE
"genus","Ambrosiophilus atratus","Sporothrix",69,4,34,3,1,31,34,0.0857142857142857,0.0552135910991825,0.0247902814760704,1.23034886249859,0.264,0.9765,0.528,1,0.356478477179321,0.776940270775443,"co-occurring",FALSE
"genus","Ambrosiophilus atratus","Any Ophiostomatales",69,4,44,3,1,41,24,0.0666666666666667,0.0545788690605772,0.0174447282295426,0.692919800585877,0.5025,0.9355,1,1,1,1,"co-occurring",FALSE
"genus","Ambrosiophilus atratus","Grosmannia",69,4,18,1,3,17,48,0.0476190476190476,0.0413968889206517,0.0342059620936071,0.181902753717861,0.678,0.826,1,1,1,1,"co-occurring",FALSE
"genus","Ambrosiophilus atratus","Ophiostoma",69,4,23,1,3,22,43,0.0384615384615385,0.0569246161542297,0.0340639886591325,-0.54201162046657,0.8705,0.529,1,1,1,1,"avoiding",FALSE
"genus","Ambrosiophilus atratus","Hawksworthiomyces",69,4,10,0,4,10,55,0,0.060517438206284,0.0555827072480883,-1.08878176689325,1,0.377,0.754,1,1,1,"avoiding",FALSE
"genus","Ambrosiophilus atratus","Raffaelea",69,4,10,0,4,10,55,0,0.0605028621536888,0.0601159140805334,-1.00643669948422,1,0.401,0.802,1,1,1,"avoiding",FALSE
"genus","Ambrosiophilus atratus","Ophiostomatales (unclassified genus)",69,4,7,0,4,7,58,0,0.0176088044022012,0.03809903645895,-0.462185032452826,1,0.824,1,1,1,1,"avoiding",FALSE
"genus","Anisandrus sayi","Sporothrix",69,32,34,19,13,15,22,0.404255319148936,0.3387778860198,0.0437927416593575,1.49516633688873,0.123,0.959,0.246,1,0.150347599768685,0.522096752586545,"co-occurring",FALSE
"genus","Anisandrus sayi","Any Ophiostomatales",69,32,44,21,11,23,14,0.381818181818182,0.394678969594577,0.0387843848157743,-0.331597054780774,0.7305,0.514,1,1,0.806179779522471,1,"avoiding",FALSE
"genus","Anisandrus sayi","Ophiostoma",69,32,23,15,17,8,29,0.375,0.296548550948061,0.0506060528389506,1.5502384527322,0.113,0.9675,0.226,1,0.0401255920641012,0.251015854770426,"co-occurring",FALSE
"genus","Anisandrus sayi","Leptographium",69,32,20,13,19,7,30,0.333333333333333,0.265096794650051,0.0461461003592654,1.47870650286882,0.128,0.9655,0.256,1,0.0639992703618594,0.319996351809297,"co-occurring",FALSE
"genus","Anisandrus sayi","Grosmannia",69,32,18,10,22,8,29,0.25,0.25710724010934,0.0509408444333113,-0.139519479671058,0.6625,0.566,1,1,0.417865918566331,0.822638409336459,"avoiding",FALSE
"genus","Anisandrus sayi","Graphilbum",69,32,20,8,24,12,25,0.181818181818182,0.187089002723674,0.0366732078044525,-0.143724021459942,0.696,0.592,1,1,0.598267628811963,0.935391966058339,"avoiding",FALSE
