"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"species","Ambrosiophilus atratus","Sporothrix eucastaneae",69,4,10,2,2,8,57,0.166666666666667,0.0720266893353442,0.0649416401131649,1.45730808717498,0.1995,0.977,0.399,1,0.0974955494556976,0.491088693554625,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Leptographium gracile",69,4,13,2,2,11,54,0.133333333333333,0.0316970985492746,0.0387497436234535,2.62288792854213,0.056,1,0.112,1,0.158300568767416,0.633202275069665,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Ceratocystiopsis synnemata",69,4,5,1,3,4,61,0.125,0.07409061673694,0.083062446384916,0.612904934525322,0.5055,0.932,1,1,0.265037287406261,0.804433240708387,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Ophiostoma denticulatum",69,4,6,1,3,5,60,0.111111111111111,0.0395197598799406,0.0532042203466416,1.34559534496946,0.356,1,0.712,1,0.31097245694337,0.838570315157714,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Sporothrix rossii",69,4,16,2,2,14,51,0.111111111111111,0.077470279687489,0.041880627108452,0.803255198077801,0.435,0.9445,0.87,1,0.227715179045484,0.755347910980142,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Ophiostoma pallidulum",69,4,7,1,3,6,59,0.1,0.0536379300761486,0.0630058626981918,0.735837395734636,0.47,0.9455,0.94,1,0.354720237454902,0.874665949753501,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Grosmannia francke-grosmanniae",69,4,13,1,3,12,53,0.0625,0.043048607637152,0.0401620980366911,0.484322117462032,0.596,0.918,1,1,0.575142191854029,1,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Ceratocystiopsis manitobensis",69,4,14,1,3,13,52,0.0588235294117647,0.0804181502515975,0.0515285948898539,-0.419080335607692,0.845,0.595,1,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Ceratocystiopsis rollhanseniana",69,4,3,0,4,3,62,0,0.0293480073370017,0.0634983940982506,-0.462185032452817,1,0.824,1,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Grosmannia cucullata",69,4,4,0,4,4,61,0,0.024083470306582,0.0534968586821312,-0.450184756635556,1,0.8315,1,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Grosmannia olivacea",69,4,5,0,4,5,60,0,0.0217608804402201,0.0474098992719261,-0.458994445767698,1,0.826,1,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Leptographium lundbergii",69,4,7,0,4,7,58,0,0.0766827858373623,0.0742538633070656,-1.03271105935933,1,0.401,0.802,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Ophiostoma adjuncti",69,4,7,0,4,7,58,0,0.0959479739869928,0.0783528743059493,-1.22456227466958,1,0.2995,0.599,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Ophiostoma denticiliatum",69,4,5,0,4,5,60,0,0.0440488101193454,0.0693442516276095,-0.635219345301974,1,0.6825,1,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Ophiostoma karelicum",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Ophiostoma sparsiannulatum",69,4,3,0,4,3,62,0,0.0278472569618141,0.0621906309505679,-0.447772542844089,1,0.833,1,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Ophiostoma undulatum",69,4,6,0,4,6,59,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Raffaelea arxii",69,4,9,0,4,9,56,0,0.0291319902375432,0.0454283866555224,-0.641272833623773,1,0.6825,1,1,1,1,"avoiding",FALSE
"species","Ambrosiophilus atratus","Raffaelea crossotarsi",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Ambrosiophilus atratus","Raffaelea subfusca",69,4,3,0,4,3,62,0,0.0688677672169423,0.0820887495839992,-0.83894282183543,1,0.587,1,1,1,1,"avoiding",FALSE
"species","Anisandrus sayi","Sporothrix rossii",69,32,16,10,22,6,31,0.263157894736842,0.209901716190885,0.0427835986184998,1.2447802491053,0.194,0.956,0.388,1,0.162967949752033,0.64805968322446,"co-occurring",FALSE
"species","Anisandrus sayi","Leptographium gracile",69,32,13,9,23,4,33,0.25,0.20101981475677,0.0446418850761448,1.09718003976951,0.229,0.9285,0.458,1,0.120644759844847,0.550667156767092,"co-occurring",FALSE
"species","Anisandrus sayi","Grosmannia francke-grosmanniae",69,32,13,8,24,5,32,0.216216216216216,0.223325435910686,0.0475392546238295,-0.149544197752446,0.679,0.5825,1,1,0.35501147372348,0.874665949753501,"avoiding",FALSE
"species","Anisandrus sayi","Sporothrix eucastaneae",69,32,10,7,25,3,34,0.2,0.142504464880668,0.0350811003307928,1.63893191995648,0.121,0.984,0.242,1,0.169804472396998,0.652356165141009,"co-occurring",FALSE
"species","Anisandrus sayi","Ophiostoma denticulatum",69,32,6,6,26,0,37,0.1875,0.0929377770846319,0.0316925726526046,2.98373451571457,0.007,1,0.014,0.523076923076923,0.00755931856821272,0.135272016483807,"co-occurring",FALSE
"species","Anisandrus sayi","Ophiostoma pallidulum",69,32,7,6,26,1,36,0.181818181818182,0.1156808275839,0.0371499953521772,1.7802789369772,0.094,0.991,0.188,1,0.0437395053954202,0.321650855036558,"co-occurring",FALSE
"species","Anisandrus sayi","Ophiostoma denticiliatum",69,32,5,5,27,0,37,0.15625,0.100096938588981,0.0324749779791529,1.72911776713341,0.1185,1,0.237,1,0.017918384754282,0.206063404473528,"co-occurring",FALSE
"species","Anisandrus sayi","Raffaelea arxii",69,32,9,5,27,4,33,0.138888888888889,0.157134982168815,0.0408772303989714,-0.446363246771861,0.7975,0.4725,0.945,1,0.723411289405268,1,"avoiding",FALSE
"species","Anisandrus sayi","Ceratocystiopsis manitobensis",69,32,14,5,27,9,28,0.121951219512195,0.117953421227617,0.0331063967421585,0.120756067648025,0.6075,0.7145,1,1,0.549560147124291,1,"co-occurring",FALSE
"species","Anisandrus sayi","Leptographium lundbergii",69,32,7,4,28,3,34,0.114285714285714,0.0892418572808319,0.0316514297152212,0.791239360439972,0.374,0.915,0.748,1,0.696372197994521,1,"co-occurring",FALSE
"species","Anisandrus sayi","Ceratocystiopsis rollhanseniana",69,32,3,3,29,0,37,0.09375,0.0511070764883344,0.0266495276660494,1.60013806045768,0.171,1,0.342,1,0.0946673283200367,0.487680176194128,"co-occurring",FALSE
"species","Anisandrus sayi","Ophiostoma sparsiannulatum",69,32,3,3,29,0,37,0.09375,0.0718928425888531,0.0237558768178426,0.920073697079047,0.4775,1,0.955,1,0.0946673283200367,0.487680176194128,"co-occurring",FALSE
"species","Anisandrus sayi","Ophiostoma undulatum",69,32,6,3,29,3,34,0.0857142857142857,0.0966525687573733,0.0338300382024656,-0.323330496336547,0.7785,0.559,1,1,1,1,"avoiding",FALSE
"species","Anisandrus sayi","Ophiostoma adjuncti",69,32,7,3,29,4,33,0.0833333333333333,0.0694849997008809,0.0283759097143351,0.488031353773885,0.501,0.8515,1,1,1,1,"co-occurring",FALSE
"species","Anisandrus sayi","Ophiostoma karelicum",69,32,3,2,30,1,36,0.0606060606060606,0.060883271403974,0.0244605504722913,-0.0113329746289808,0.747,0.734,1,1,0.593235866702294,1,"avoiding",FALSE
"species","Anisandrus sayi","Raffaelea subfusca",69,32,3,2,30,1,36,0.0606060606060606,0.0393672772214996,0.0203486759146297,1.04374277096287,0.4265,1,0.853,1,0.593235866702294,1,"co-occurring",FALSE
"species","Anisandrus sayi","Grosmannia cucullata",69,32,4,2,30,2,35,0.0588235294117647,0.0646346855627982,0.0271401671075104,-0.214116446962677,0.7865,0.6435,1,1,1,1,"avoiding",FALSE
"species","Anisandrus sayi","Grosmannia olivacea",69,32,5,2,30,3,34,0.0571428571428571,0.0630117813341793,0.0307631199053166,-0.190777925300997,0.7365,0.6165,1,1,1,1,"avoiding",FALSE
"species","Anisandrus sayi","Raffaelea crossotarsi",69,32,3,1,31,2,35,0.0294117647058824,0.061634733364901,0.0247019772926405,-1.30446920411585,0.975,0.242,0.484,1,1,1,"avoiding",FALSE
"species","Anisandrus sayi","Ceratocystiopsis synnemata",69,32,5,1,31,4,33,0.0277777777777778,0.0232338391417937,0.0102774500119303,0.442127048120828,0.8365,1,1,1,0.363147064028844,0.891480157182723,"co-occurring",FALSE
"species","Conophthorus coniperda","Leptographium lundbergii",69,4,7,2,2,5,60,0.222222222222222,0.0891014951920395,0.0798296583656391,1.66755977359264,0.167,0.9885,0.334,1,0.0484857738741771,0.342265519094822,"co-occurring",FALSE
"species","Conophthorus coniperda","Ceratocystiopsis rollhanseniana",69,4,3,1,3,2,63,0.166666666666667,0.0805902951475737,0.105346489937435,0.817078685490265,0.4215,0.9555,0.843,1,0.166316753826774,0.65130350087354,"co-occurring",FALSE
"species","Conophthorus coniperda","Sporothrix eucastaneae",69,4,10,2,2,8,57,0.166666666666667,0.0401675196572653,0.0491211087248158,2.57525023952675,0.063,1,0.126,1,0.0974955494556976,0.491088693554625,"co-occurring",FALSE
"species","Conophthorus coniperda","Ceratocystiopsis manitobensis",69,4,14,2,2,12,53,0.125,0.0984227407821565,0.0603265370548628,0.440556685587195,0.522,0.8645,1,1,0.180631370004199,0.65404234762585,"co-occurring",FALSE
"species","Conophthorus coniperda","Grosmannia olivacea",69,4,5,1,3,4,61,0.125,0.0645144000571716,0.0823220260408397,0.734743820722071,0.436,0.9375,0.872,1,0.265037287406261,0.804433240708387,"co-occurring",FALSE
"species","Conophthorus coniperda","Ophiostoma denticiliatum",69,4,5,1,3,4,61,0.125,0.0387068534267134,0.0578083723691463,1.49274478828508,0.31,1,0.62,1,0.265037287406261,0.804433240708387,"co-occurring",FALSE
"species","Conophthorus coniperda","Ophiostoma denticulatum",69,4,6,1,3,5,60,0.111111111111111,0.0749124562281153,0.071127937323054,0.508923163602878,0.59,0.9325,1,1,0.31097245694337,0.838570315157714,"co-occurring",FALSE
"species","Conophthorus coniperda","Sporothrix rossii",69,4,16,2,2,14,51,0.111111111111111,0.11454054340552,0.0462475515626723,-0.0741538130891476,0.766,0.7635,1,1,0.227715179045484,0.755347910980142,"avoiding",FALSE
"species","Conophthorus coniperda","Ophiostoma adjuncti",69,4,7,1,3,6,59,0.1,0.150189181892535,0.106446668233908,-0.47149603388477,0.8665,0.604,1,1,0.354720237454902,0.874665949753501,"avoiding",FALSE
"species","Conophthorus coniperda","Ophiostoma pallidulum",69,4,7,1,3,6,59,0.1,0.105010838752709,0.0874000553247495,-0.0573322148835053,0.7265,0.764,1,1,0.354720237454902,0.874665949753501,"avoiding",FALSE
"species","Conophthorus coniperda","Raffaelea arxii",69,4,9,1,3,8,57,0.0833333333333333,0.0258045689511424,0.0385389149127648,1.49274478828506,0.31,1,0.62,1,0.435934718409811,0.97192002793007,"co-occurring",FALSE
"species","Conophthorus coniperda","Grosmannia francke-grosmanniae",69,4,13,1,3,12,53,0.0625,0.0193534267133567,0.0289041861845732,1.49274478828508,0.31,1,0.62,1,0.575142191854029,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Ceratocystiopsis synnemata",69,4,5,0,4,5,60,0,0.0250750375187594,0.0500687152664671,-0.500812481113393,1,0.7995,1,1,1,1,"avoiding",FALSE
"species","Conophthorus coniperda","Grosmannia cucullata",69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Leptographium gracile",69,4,13,0,4,13,52,0,0.0653692917887521,0.0525681068745909,-1.24351618643411,1,0.273,0.546,1,1,1,"avoiding",FALSE
"species","Conophthorus coniperda","Ophiostoma karelicum",69,4,3,0,4,3,62,0,0.0260130065032515,0.0605033537919092,-0.429943215920208,1,0.844,1,1,1,1,"avoiding",FALSE
"species","Conophthorus coniperda","Ophiostoma sparsiannulatum",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Ophiostoma undulatum",69,4,6,0,4,6,59,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Raffaelea crossotarsi",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Raffaelea subfusca",69,4,3,0,4,3,62,0,0.0334333833583457,0.0667582870219548,-0.5008124811134,1,0.7995,1,1,1,1,"avoiding",FALSE
