"sample_id","Xylosandrus germanus","Anisandrus sayi","Orthotomicus caelatus","Xyleborinus saxesenii","Xyleborinus attenuatus","Xyloterinus politus","Heteroborips seriatus","Monarthrum mali","Pityogenes hopkinsi","Ips grandicollis","Gnathotrichus materiarius","Pityophthorus puberulus","Dendroctonus valens","Dryocoetes autographus","Cyclorhipidion pelliculosum","Hylurgops pinifex","Hylastes porculus","Hylastes opacus","Pityophthorus cariniceps","Euwallacea validus","Cyclorhipidion bodoanum","Xylosandrus crassiusculus","Corthylus columbianus","Hylesinus aculeatus","Monarthrum fasciatum","Ips pini","Pityophthorus consimilis","Pseudopityophthorus minutissimus","Dryocoetes affaber","Phloeotribus liminaris","Crypturgus alutaceus","Conophthorus coniperda","Ambrosiophilus atratus","Pityophthorus lautus","Ceratocystiopsis","Graphilbum","Grosmannia","Hawksworthiomyces","Leptographium","Ophiostoma","Raffaelea","Sporothrix","Ophiostomatales (unclassified genus)","Any Ophiostomatales"
"NH.46",1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
"NH.81",1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"NH.94",0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"NH.54",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"NH.78",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.87",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
"NH.117",1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"NH.85",1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
"NH.51",1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.50",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"NH.53",0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.52",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.99",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.90",0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
