"Genus","Species","Lure","Lure_lab","date","n_individuals"
"Trypodendron","Trypodendron retusum","E","Ethanol",2024-05-01,1
"Trypodendron","Trypodendron retusum","E","Ethanol",2024-05-15,0
"Trypodendron","Trypodendron retusum","E","Ethanol",2024-05-29,0
"Trypodendron","Trypodendron retusum","E","Ethanol",2024-06-12,0
"Trypodendron","Trypodendron retusum","E","Ethanol",2024-06-26,0
"Trypodendron","Trypodendron retusum","E","Ethanol",2024-07-10,0
"Trypodendron","Trypodendron retusum","EA","Alpha-pinene + Ethanol",2024-05-01,1
"Trypodendron","Trypodendron retusum","EA","Alpha-pinene + Ethanol",2024-05-15,0
"Trypodendron","Trypodendron retusum","EA","Alpha-pinene + Ethanol",2024-05-29,0
"Trypodendron","Trypodendron retusum","EA","Alpha-pinene + Ethanol",2024-06-12,0
"Trypodendron","Trypodendron retusum","EA","Alpha-pinene + Ethanol",2024-06-26,0
"Trypodendron","Trypodendron retusum","EA","Alpha-pinene + Ethanol",2024-07-10,0
"Trypodendron","Trypodendron retusum","I","Ips lure",2024-05-01,0
"Trypodendron","Trypodendron retusum","I","Ips lure",2024-05-15,0
"Trypodendron","Trypodendron retusum","I","Ips lure",2024-05-29,0
"Trypodendron","Trypodendron retusum","I","Ips lure",2024-06-12,0
"Trypodendron","Trypodendron retusum","I","Ips lure",2024-06-26,0
"Trypodendron","Trypodendron retusum","I","Ips lure",2024-07-10,0
"Xyleborinus","Xyleborinus attenuatus","E","Ethanol",2024-05-01,305
"Xyleborinus","Xyleborinus attenuatus","E","Ethanol",2024-05-15,166
"Xyleborinus","Xyleborinus attenuatus","E","Ethanol",2024-05-29,3
"Xyleborinus","Xyleborinus attenuatus","E","Ethanol",2024-06-12,0
"Xyleborinus","Xyleborinus attenuatus","E","Ethanol",2024-06-26,0
"Xyleborinus","Xyleborinus attenuatus","E","Ethanol",2024-07-10,0
"Xyleborinus","Xyleborinus attenuatus","EA","Alpha-pinene + Ethanol",2024-05-01,63
"Xyleborinus","Xyleborinus attenuatus","EA","Alpha-pinene + Ethanol",2024-05-15,37
