"Species","total","peak_day"
"Trypodendron retusum",2,19844
"Xyleborinus attenuatus",582,19849.2920962199
"Conophthorus coniperda",7,19850
"Cyclorhipidion pelliculosum",243,19853.2757201646
"Pityophthorus cariniceps",13,19854.7692307692
"Hylesinus criddlei",2,19858
"Xyloterinus politus",93,19858.1505376344
"Hylesinus aculeatus",30,19858.4666666667
"Heteroborips seriatus",154,19859.4545454545
"Hylastes opacus",19,19860.2105263158
"Pityogenes hopkinsi",40,19861.15
"Gnathotrichus materiarius",47,19863.3617021277
"Dendroctonus valens",199,19863.6281407035
"Xylosandrus germanus",2104,19865.0266159696
"Ambrosiophilus atratus",9,19867.3333333333
"Ips pini",8,19868.5
"Euwallacea validus",31,19868.8387096774
"Pityophthorus puberulus",28,19871
"Xyleborinus saxesenii",285,19871.7543859649
"Dryocoetes affaber",11,19872
"Hypothenemus interstitialis",2,19872
"Orthotomicus latidens",1,19872
"Pityophthorus opaculus",1,19872
"Pseudopityophthorus asperulus",2,19872
"Ips grandicollis",92,19873.0652173913
"Anisandrus sayi",522,19873.9578544061
"Phloeotribus liminaris",7,19874
"Pityophthorus consimilis",6,19874.3333333333
"Xylosandrus crassiusculus",347,19876.3976945245
"Orthotomicus caelatus",134,19877.1194029851
"Monarthrum mali",33,19877.5151515152
"Monarthrum fasciatum",7,19878
"Pityophthorus lautus",6,19879
"Xyleborus xylographus",2,19879
"Hylurgops pinifex",43,19880.1395348837
"Cyclorhipidion bodoanum",15,19883.2
"Hylastes porculus",13,19883.8461538462
"Hypothenemus dissimilis",2,19886
"Pseudopityophthorus minutissimus",6,19886
"Dryocoetes autographus",113,19888.2300884956
"Crypturgus alutaceus",5,19894.4
"Hypothenemus californicus",1,19900
"Xyleborus intrusus",1,19900
"Corthylus columbianus",8,19912.25
"Lymantor decipiens",4,19914
