"Lure","Lure_lab","date","n_species","n_individuals"
"E","Ethanol",2024-05-01,12,487
"E","Ethanol",2024-05-15,17,932
"E","Ethanol",2024-05-29,23,873
"E","Ethanol",2024-06-12,13,88
"E","Ethanol",2024-06-26,15,98
"E","Ethanol",2024-07-10,8,49
"EA","Alpha-pinene + Ethanol",2024-05-01,17,149
"EA","Alpha-pinene + Ethanol",2024-05-15,24,1081
"EA","Alpha-pinene + Ethanol",2024-05-29,25,1020
"EA","Alpha-pinene + Ethanol",2024-06-12,13,150
"EA","Alpha-pinene + Ethanol",2024-06-26,19,114
"EA","Alpha-pinene + Ethanol",2024-07-10,15,58
"I","Ips lure",2024-05-01,6,15
"I","Ips lure",2024-05-15,17,71
"I","Ips lure",2024-05-29,12,61
"I","Ips lure",2024-06-12,5,5
"I","Ips lure",2024-06-26,6,18
"I","Ips lure",2024-07-10,6,11
