"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction"
"asv","Dendroctonus valens","ASV_6117","Leptographium","gracile",69,14,13,8,6,5,50,0.421052631578947,0.248948365491667,0.0725455718259446,2.37236073485233,0.0355,0.995,0.071,1,0.000288644276971136,0.0168856902028115,"co-occurring"
"asv","Dendroctonus valens","ASV_15258","Ophiostoma","pallidulum",69,14,7,6,8,1,54,0.4,0.182288060955146,0.0749808267972487,2.90356812993748,0.014,1,0.028,1,0.000156267893270222,0.0168856902028115,"co-occurring"
"asv","Dendroctonus valens","ASV_8274","Sporothrix","rossii",69,14,12,7,7,5,50,0.368421052631579,0.232818756071518,0.0662394935774611,2.04715177058965,0.07,0.9935,0.14,1,0.00147671031859497,0.0431937768189028,"co-occurring"
"asv","Dendroctonus valens","ASV_13249","Ophiostoma","denticulatum",69,14,6,5,9,1,54,0.333333333333333,0.169106347856714,0.0704843002273152,2.32997965429151,0.0485,0.999,0.097,1,0.000943571783028591,0.036799299538115,"co-occurring"
"asv","Dendroctonus valens","ASV_1646","Raffaelea","arxii",69,14,5,4,10,1,54,0.266666666666667,0.088015208584685,0.0564094877237452,3.16704627698257,0.0105,1,0.021,1,0.00507691720426003,0.0659999236553804,"co-occurring"
"asv","Dendroctonus valens","ASV_15268","Grosmannia","olivacea",69,14,5,4,10,1,54,0.266666666666667,0.119444199223796,0.0642125639486743,2.29273616235831,0.052,1,0.104,1,0.00507691720426003,0.0659999236553804,"co-occurring"
"asv","Dendroctonus valens","ASV_3603","Sporothrix","eucastaneae",69,14,10,5,9,5,50,0.263157894736842,0.117288047572182,0.053413359705052,2.73096184119763,0.019,1,0.038,1,0.0237720746622119,0.142247203878307,"co-occurring"
"asv","Dendroctonus valens","ASV_7618","Leptographium","lundbergii",69,14,7,4,10,3,52,0.235294117647059,0.160454091855012,0.0658842725292813,1.13593158001077,0.2555,0.952,0.511,1,0.0272526434324541,0.144934512799869,"co-occurring"
"asv","Dendroctonus valens","ASV_21569","Sporothrix",NA,69,14,7,4,10,3,52,0.235294117647059,0.137400388790889,0.0680997055874864,1.43750590419819,0.163,0.965,0.326,1,0.0272526434324541,0.144934512799869,"co-occurring"
"asv","Dendroctonus valens","ASV_660","Grosmannia","francke-grosmanniae",69,14,13,5,9,8,47,0.227272727272727,0.103360805734059,0.0491595725627378,2.52060616232029,0.0315,0.9975,0.063,1,0.119241968133597,0.398608864903739,"co-occurring"
"asv","Dendroctonus valens","ASV_1122","Raffaelea","arxii",69,14,8,4,10,4,51,0.222222222222222,0.076000907722031,0.0479531548642963,3.04925327465912,0.0095,1,0.019,1,0.0476675179502209,0.232379150007327,"co-occurring"
"asv","Dendroctonus valens","ASV_16537","Graphilbum",NA,69,14,3,3,11,0,55,0.214285714285714,0.101001989089783,0.0570557812866936,1.98549073627971,0.1005,1,0.201,1,0.00694736038477689,0.0738946513653542,"co-occurring"
"asv","Dendroctonus valens","ASV_17726",NA,NA,69,14,3,3,11,0,55,0.214285714285714,0.111101384025346,0.0612221032302055,1.68540975915803,0.158,1,0.316,1,0.00694736038477689,0.0738946513653542,"co-occurring"
"asv","Dendroctonus valens","ASV_3556","Sporothrix","rossii",69,14,9,4,10,5,50,0.210526315789474,0.115033638942965,0.0550100564708925,1.73591308521992,0.118,0.9865,0.236,1,0.0749765959936596,0.313295061830649,"co-occurring"
"asv","Dendroctonus valens","ASV_7886","Grosmannia",NA,69,14,4,3,11,1,54,0.2,0.117494461516473,0.0577698421946526,1.42817662900184,0.2125,0.985,0.425,1,0.0243157613467191,0.142247203878307,"co-occurring"
"asv","Dendroctonus valens","ASV_7106","Ophiostoma","denticiliatum",69,14,5,3,11,2,53,0.1875,0.0778710433648205,0.0529119432868873,2.071913254835,0.0875,1,0.175,1,0.0531740275604077,0.239283124021835,"co-occurring"
"asv","Dendroctonus valens","ASV_9363","Sporothrix",NA,69,14,5,3,11,2,53,0.1875,0.110576816185871,0.0545690939523647,1.40964744405098,0.2175,0.9835,0.435,1,0.0531740275604077,0.239283124021835,"co-occurring"
"asv","Dendroctonus valens","ASV_8131","Graphilbum",NA,69,14,6,3,11,3,52,0.176470588235294,0.137175829056601,0.0615196266847472,0.638735332060066,0.437,0.8955,0.874,1,0.0930044470740925,0.340047509614651,"co-occurring"
"asv","Dendroctonus valens","ASV_8895","Ceratocystiopsis","manitobensis",69,14,13,4,10,9,46,0.173913043478261,0.195505274857771,0.0666402689272091,-0.324011768366289,0.7445,0.5355,1,1,0.442831455664983,0.863521338546716,"avoiding"
"asv","Dendroctonus valens","ASV_5162","Sporothrix",NA,69,14,7,3,11,4,51,0.166666666666667,0.0780438464846469,0.0464663048772899,1.90724914356884,0.1095,1,0.219,1,0.142318299805321,0.416281026930564,"co-occurring"
"asv","Dendroctonus valens","ASV_6045","Sporothrix",NA,69,14,7,3,11,4,51,0.166666666666667,0.120469806626741,0.0557124124015572,0.829202291707526,0.3885,0.926,0.777,1,0.142318299805321,0.416281026930564,"co-occurring"
"asv","Dendroctonus valens","ASV_6959","Ophiostoma","adjuncti",69,14,7,3,11,4,51,0.166666666666667,0.148333403027625,0.0600458296078841,0.305321181483586,0.5715,0.814,1,1,0.142318299805321,0.416281026930564,"co-occurring"
"asv","Dendroctonus valens","ASV_15738","Graphilbum",NA,69,14,7,3,11,4,51,0.166666666666667,0.109517607100766,0.0533203951790576,1.07180487642648,0.2885,0.9505,0.577,1,0.142318299805321,0.416281026930564,"co-occurring"
"asv","Dendroctonus valens","ASV_11554","Raffaelea","crossotarsi",69,14,3,2,12,1,54,0.133333333333333,0.0403201600800401,0.0371064833492419,2.50665557223152,0.0515,1,0.103,1,0.102473565675459,0.352629623059668,"co-occurring"
"asv","Dendroctonus valens","ASV_28495","Raffaelea","subfusca",69,14,3,2,12,1,54,0.133333333333333,0.0430277638819411,0.0432835764373533,2.08637032529177,0.11,1,0.22,1,0.102473565675459,0.352629623059668,"co-occurring"
"asv","Dendroctonus valens","ASV_4337","Ophiostoma","undulatum",69,14,4,2,12,2,53,0.125,0.0404430156254607,0.0406255165916097,2.08137622530572,0.11,1,0.22,1,0.180631370004199,0.469641562010918,"co-occurring"
"asv","Dendroctonus valens","ASV_6746","Graphilbum",NA,69,14,4,2,12,2,53,0.125,0.102878645204956,0.0577282528540007,0.383198065096321,0.5705,0.8425,1,1,0.180631370004199,0.469641562010918,"co-occurring"
"asv","Dendroctonus valens","ASV_11600","Ophiostoma","undulatum",69,14,4,2,12,2,53,0.125,0.0714519024218003,0.0532838397787956,1.00495943611611,0.3245,0.947,0.649,1,0.180631370004199,0.469641562010918,"co-occurring"
"asv","Dendroctonus valens","ASV_23023","Sporothrix",NA,69,14,4,2,12,2,53,0.125,0.14197729116659,0.065309895690626,-0.259949751673347,0.7695,0.625,1,1,0.180631370004199,0.469641562010918,"avoiding"
"asv","Dendroctonus valens","ASV_7819","Hawksworthiomyces",NA,69,14,5,2,12,3,52,0.117647058823529,0.0891225841679016,0.0519352169868539,0.549231837480299,0.509,0.887,1,1,0.265602931633393,0.62151086002214,"co-occurring"
"asv","Dendroctonus valens","ASV_8974","Ophiostoma","karelicum",69,14,3,1,13,2,53,0.0625,0.0403951975987994,0.0298893755659131,0.739553837531811,0.6465,1,1,1,0.499274726113677,0.942179725085488,"co-occurring"
"asv","Dendroctonus valens","ASV_9224","Ophiostoma","sparsiannulatum",69,14,3,1,13,2,53,0.0625,0.0202288644322161,0.0292493597760432,1.44519866046457,0.324,1,0.648,1,0.499274726113677,0.942179725085488,"co-occurring"
"asv","Dendroctonus valens","ASV_5724","Graphilbum",NA,69,14,4,1,13,3,52,0.0588235294117647,0.0190389312303212,0.0275288092009827,1.44519866046452,0.324,1,0.648,1,1,1,"co-occurring"
"asv","Dendroctonus valens","ASV_22166","Grosmannia","cucullata",69,14,4,1,13,3,52,0.0588235294117647,0.0296913162463592,0.0294177951901097,0.99029220161271,0.505,1,1,1,1,1,"co-occurring"
"asv","Dendroctonus valens","ASV_25723","Ceratocystiopsis","manitobensis",69,14,4,1,13,3,52,0.0588235294117647,0.0835660477297482,0.0554548733282068,-0.446173921839947,0.8425,0.5815,1,1,1,1,"avoiding"
"asv","Dendroctonus valens","ASV_4044","Graphilbum",NA,69,14,6,1,13,5,50,0.0526315789473684,0.0829202010706093,0.0400201662564318,-0.756833990372868,0.945,0.4915,0.983,1,1,1,"avoiding"
"asv","Dendroctonus valens","ASV_22950","Sporothrix",NA,69,14,6,1,13,5,50,0.0526315789473684,0.026565914536216,0.0263211851700982,0.990292201612712,0.505,1,1,1,1,1,"co-occurring"
"asv","Dendroctonus valens","ASV_13560","Hawksworthiomyces",NA,69,14,7,1,13,6,49,0.05,0.0253376688344168,0.0250039743941618,0.986336443031297,0.507,1,1,1,1,1,"co-occurring"
