"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction"
"genus","Dendroctonus valens","Leptographium",69,14,20,11,3,9,46,0.478260869565217,0.31833146131419,0.0671301699266584,2.38237752750746,0.0345,0.9955,0.069,0.468,2.09987702950972e-05,0.000629963108852916,"co-occurring"
"genus","Dendroctonus valens","Grosmannia",69,14,18,8,6,10,45,0.333333333333333,0.171938521069234,0.0533883266574204,3.02303560288993,0.0105,0.9995,0.021,0.315,0.00591121248187156,0.0591121248187156,"co-occurring"
"genus","Dendroctonus valens","Ophiostoma",69,14,23,9,5,14,41,0.321428571428571,0.207510330269179,0.0514302859041343,2.21500306982028,0.0385,0.9925,0.077,0.468,0.0101467354992249,0.0745432326442766,"co-occurring"
"genus","Dendroctonus valens","Sporothrix",69,14,34,11,3,23,32,0.297297297297297,0.221423709312453,0.0389391849335365,1.94851505275082,0.073,0.994,0.146,0.5475,0.0178088051732819,0.0890440258664093,"co-occurring"
"genus","Dendroctonus valens","Any Ophiostomatales",69,14,44,13,1,31,24,0.288888888888889,0.221827250760689,0.029910069232139,2.24210909067842,0.039,0.9975,0.078,0.468,0.0124238721073794,0.0745432326442766,"co-occurring"
"genus","Dendroctonus valens","Raffaelea",69,14,10,5,9,5,50,0.263157894736842,0.0845158054078301,0.047416960073157,3.76747242027737,0.0015,1,0.003,0.09,0.0237720746622119,0.101880319980908,"co-occurring"
"genus","Dendroctonus valens","Graphilbum",69,14,20,7,7,13,42,0.259259259259259,0.188593068563348,0.0498973879715268,1.41623025911167,0.1575,0.968,0.315,1,0.095149580971838,0.259498857195922,"co-occurring"
"genus","Dendroctonus valens","Ophiostomatales (unclassified genus)",69,14,7,4,10,3,52,0.235294117647059,0.108364915171725,0.0568800440953481,2.23152433325406,0.0525,1,0.105,0.525,0.0272526434324541,0.102197412871703,"co-occurring"
"genus","Dendroctonus valens","Ceratocystiopsis",69,14,21,6,8,15,40,0.206896551724138,0.208759493038966,0.0509591446594463,-0.0365575467813961,0.6555,0.6645,1,1,0.331673767971503,0.552789613285839,"avoiding"
"genus","Dendroctonus valens","Hawksworthiomyces",69,14,10,3,11,7,48,0.142857142857143,0.093945504655207,0.0462270545354388,1.05807386374658,0.31,0.956,0.62,1,0.412361476250596,0.618542214375894,"co-occurring"
"genus","Ips grandicollis","Leptographium",69,19,20,11,8,9,41,0.392857142857143,0.446444822027874,0.0479148529508985,-1.11839389814357,0.969,0.28,0.56,1,0.00230429938235522,0.0345644907353284,"avoiding"
"genus","Ips grandicollis","Ophiostoma",69,19,23,10,9,13,37,0.3125,0.279549064898154,0.0327831612846665,1.00511768269457,0.3265,0.9445,0.653,1,0.0477634480471936,0.159211493490645,"co-occurring"
"genus","Ips grandicollis","Sporothrix",69,19,34,12,7,22,28,0.292682926829268,0.304113185258573,0.0269115070783801,-0.424734980319533,0.8565,0.602,1,1,0.185228684699618,0.370457369399236,"avoiding"
"genus","Ips grandicollis","Any Ophiostomatales",69,19,44,14,5,30,20,0.285714285714286,0.303515467427119,0.0208530363622922,-0.853649387243325,0.952,0.426,0.852,1,0.402684165236973,0.618542214375894,"avoiding"
"genus","Ips grandicollis","Graphilbum",69,19,20,8,11,12,38,0.258064516129032,0.246043989736803,0.0270631959890323,0.444165071896944,0.568,0.8815,1,1,0.1513989435784,0.344707969817715,"co-occurring"
"genus","Ips grandicollis","Ceratocystiopsis",69,19,21,8,11,13,37,0.25,0.277061918055804,0.0264213417448028,-1.02424465483958,1,0.43,0.86,1,0.24484437685024,0.43207831208866,"avoiding"
"genus","Ips grandicollis","Grosmannia",69,19,18,7,12,11,39,0.233333333333333,0.214139675510725,0.0333912995567243,0.574810147475772,0.498,0.885,0.996,1,0.231851967443854,0.43207831208866,"co-occurring"
"genus","Ips grandicollis","Ophiostomatales (unclassified genus)",69,19,7,4,15,3,47,0.181818181818182,0.140648314934806,0.0354917266122529,1.1599848982597,0.3555,1,0.711,1,0.084920865420541,0.254762596261623,"co-occurring"
"genus","Ips grandicollis","Hawksworthiomyces",69,19,10,3,16,7,43,0.115384615384615,0.102282622792877,0.0192294871334285,0.68134903967156,0.683,1,1,1,1,1,"co-occurring"
"genus","Ips grandicollis","Raffaelea",69,19,10,2,17,8,42,0.0740740740740741,0.0685973837549636,0.02760506015233,0.198394435255315,0.721,0.8475,1,1,0.715356626135887,0.825411491695254,"co-occurring"
"genus","Ips pini","Graphilbum",69,5,20,3,2,17,47,0.136363636363636,0.0857911545646703,0.0462395160246224,1.09370698802376,0.2735,0.9495,0.547,1,0.141793580698799,0.344707969817715,"co-occurring"
"genus","Ips pini","Ceratocystiopsis",69,5,21,3,2,18,46,0.130434782608696,0.100265139157195,0.0457475496890469,0.659481079458212,0.427,0.8875,0.854,1,0.160863719248267,0.344707969817715,"co-occurring"
"genus","Ips pini","Grosmannia",69,5,18,2,3,16,48,0.0952380952380952,0.0244765239762742,0.0291259610981828,2.42950167458117,0.071,1,0.142,0.5475,0.599751319413876,0.782284329670273,"co-occurring"
"genus","Ips pini","Any Ophiostomatales",69,5,44,4,1,40,24,0.0888888888888889,0.0623872748005575,0.0229157423866383,1.15648071274287,0.268,0.969,0.536,1,0.64646568456165,0.807946887635402,"co-occurring"
"genus","Ips pini","Sporothrix",69,5,34,3,2,31,33,0.0833333333333333,0.0570653639293987,0.0306611634159636,0.856717961010518,0.345,0.913,0.69,1,0.673289073029501,0.807946887635402,"co-occurring"
"genus","Ips pini","Ophiostoma",69,5,23,2,3,21,43,0.0769230769230769,0.0349268651419734,0.030380219356534,1.38235380358013,0.2265,0.9775,0.453,1,1,1,"co-occurring"
"genus","Ips pini","Hawksworthiomyces",69,5,10,1,4,9,55,0.0714285714285714,0.0732797717540097,0.0614558096297579,-0.0301224625725524,0.7085,0.7535,1,1,0.554533059667235,0.756181445000775,"avoiding"
"genus","Ips pini","Raffaelea",69,5,10,1,4,9,55,0.0714285714285714,0.0525482521480517,0.0508479158560975,0.371309599668787,0.591,0.8745,1,1,0.554533059667235,0.756181445000775,"co-occurring"
"genus","Ips pini","Leptographium",69,5,20,1,4,19,45,0.0416666666666667,0.0303031950757984,0.0289701008953029,0.392248257330394,0.591,0.8745,1,1,1,1,"co-occurring"
"genus","Ips pini","Ophiostomatales (unclassified genus)",69,5,7,0,5,7,57,0,0,0,NA,1,1,1,1,1,1,"co-occurring"
