"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction"
"species","Dendroctonus valens","Leptographium gracile",69,14,13,8,6,5,50,0.421052631578947,0.248948365491667,0.0725455718259446,2.37236073485233,0.0355,0.995,0.071,0.693333333333333,0.000288644276971136,0.00865932830913408,"co-occurring"
"species","Dendroctonus valens","Ophiostoma pallidulum",69,14,7,6,8,1,54,0.4,0.182288060955146,0.0749808267972487,2.90356812993748,0.014,1,0.028,0.693333333333333,0.000156267893270222,0.00865932830913408,"co-occurring"
"species","Dendroctonus valens","Ophiostoma denticulatum",69,14,6,5,9,1,54,0.333333333333333,0.169106347856714,0.0704843002273152,2.32997965429151,0.0485,0.999,0.097,0.693333333333333,0.000943571783028591,0.0188714356605718,"co-occurring"
"species","Dendroctonus valens","Sporothrix rossii",69,14,16,7,7,9,46,0.304347826086957,0.195240145059616,0.0538542852199758,2.0259795591321,0.07,0.9935,0.14,0.84,0.0135452645127125,0.0791277037516197,"co-occurring"
"species","Dendroctonus valens","Raffaelea arxii",69,14,9,5,9,4,51,0.277777777777778,0.0886188233480316,0.0498789442363385,3.79236083132524,0.0015,1,0.003,0.18,0.0135311703959223,0.0791277037516197,"co-occurring"
"species","Dendroctonus valens","Grosmannia olivacea",69,14,5,4,10,1,54,0.266666666666667,0.119444199223796,0.0642125639486743,2.29273616235831,0.052,1,0.104,0.693333333333333,0.00507691720426003,0.0507691720426003,"co-occurring"
"species","Dendroctonus valens","Sporothrix eucastaneae",69,14,10,5,9,5,50,0.263157894736842,0.117288047572182,0.053413359705052,2.73096184119763,0.019,1,0.038,0.693333333333333,0.0237720746622119,0.109717267671747,"co-occurring"
"species","Dendroctonus valens","Leptographium lundbergii",69,14,7,4,10,3,52,0.235294117647059,0.160454091855012,0.0658842725292813,1.13593158001077,0.2555,0.952,0.511,1,0.0272526434324541,0.116797043281946,"co-occurring"
"species","Dendroctonus valens","Grosmannia francke-grosmanniae",69,14,13,5,9,8,47,0.227272727272727,0.103360805734059,0.0491595725627378,2.52060616232029,0.0315,0.9975,0.063,0.693333333333333,0.119241968133597,0.354000315064559,"co-occurring"
"species","Dendroctonus valens","Ceratocystiopsis rollhanseniana",69,14,3,3,11,0,55,0.214285714285714,0.0980514066557088,0.0599223059757265,1.93975024387563,0.108,1,0.216,1,0.00694736038477689,0.0595488032980876,"co-occurring"
"species","Dendroctonus valens","Ophiostoma denticiliatum",69,14,5,3,11,2,53,0.1875,0.0778710433648205,0.0529119432868873,2.071913254835,0.0875,1,0.175,0.954545454545454,0.0531740275604077,0.212696110241631,"co-occurring"
"species","Dendroctonus valens","Ceratocystiopsis manitobensis",69,14,14,4,10,10,45,0.166666666666667,0.187066126894735,0.0633338905174016,-0.322093906775923,0.7445,0.5355,1,1,0.460047337652862,0.890414201908766,"avoiding"
"species","Dendroctonus valens","Ophiostoma adjuncti",69,14,7,3,11,4,51,0.166666666666667,0.148333403027625,0.0600458296078841,0.305321181483586,0.5715,0.814,1,1,0.142318299805321,0.388140817650876,"co-occurring"
"species","Dendroctonus valens","Raffaelea crossotarsi",69,14,3,2,12,1,54,0.133333333333333,0.0403201600800401,0.0371064833492419,2.50665557223152,0.0515,1,0.103,0.693333333333333,0.102473565675459,0.34157855225153,"co-occurring"
"species","Dendroctonus valens","Raffaelea subfusca",69,14,3,2,12,1,54,0.133333333333333,0.0430277638819411,0.0432835764373533,2.08637032529177,0.11,1,0.22,1,0.102473565675459,0.34157855225153,"co-occurring"
"species","Dendroctonus valens","Ophiostoma undulatum",69,14,6,2,12,4,51,0.111111111111111,0.0636011160034793,0.0471597364205861,1.00742707049764,0.3245,0.947,0.649,1,0.593729720960415,0.890594581440623,"co-occurring"
"species","Dendroctonus valens","Ophiostoma karelicum",69,14,3,1,13,2,53,0.0625,0.0403951975987994,0.0298893755659131,0.739553837531811,0.6465,1,1,1,0.499274726113677,0.890594581440623,"co-occurring"
"species","Dendroctonus valens","Ophiostoma sparsiannulatum",69,14,3,1,13,2,53,0.0625,0.0202288644322161,0.0292493597760432,1.44519866046457,0.324,1,0.648,1,0.499274726113677,0.890594581440623,"co-occurring"
"species","Dendroctonus valens","Grosmannia cucullata",69,14,4,1,13,3,52,0.0588235294117647,0.0296913162463592,0.0294177951901097,0.99029220161271,0.505,1,1,1,1,1,"co-occurring"
"species","Dendroctonus valens","Ceratocystiopsis synnemata",69,14,5,0,14,5,50,0,0,0,NA,1,1,1,1,0.575142191854029,0.890594581440623,"co-occurring"
"species","Ips grandicollis","Leptographium gracile",69,19,13,8,11,5,45,0.333333333333333,0.362157667172786,0.0545890169233447,-0.528024417071451,0.8585,0.5105,1,1,0.00474300003099477,0.0507691720426003,"avoiding"
"species","Ips grandicollis","Ophiostoma denticulatum",69,19,6,5,14,1,49,0.25,0.20204041414647,0.0393570247439349,1.21857752626284,0.3415,1,0.683,1,0.00507628322359018,0.0507691720426003,"co-occurring"
"species","Ips grandicollis","Sporothrix rossii",69,19,16,7,12,9,41,0.25,0.26595066370989,0.0354148766356347,-0.450394445080185,0.857,0.5715,1,1,0.117801345135136,0.354000315064559,"avoiding"
"species","Ips grandicollis","Ophiostoma adjuncti",69,19,7,5,14,2,48,0.238095238095238,0.201035394414696,0.034317534122135,1.0799098661532,0.4185,1,0.837,1,0.014506745687797,0.0791277037516197,"co-occurring"
"species","Ips grandicollis","Ophiostoma pallidulum",69,19,7,5,14,2,48,0.238095238095238,0.210870445574757,0.0328103466814647,0.829762415642532,0.5635,1,1,1,0.014506745687797,0.0791277037516197,"co-occurring"
"species","Ips grandicollis","Ceratocystiopsis manitobensis",69,19,14,6,13,8,42,0.222222222222222,0.223057041341188,0.0324142190856565,-0.0257547194569059,0.7445,0.745,1,1,0.185632607487925,0.464081518719813,"avoiding"
"species","Ips grandicollis","Leptographium lundbergii",69,19,7,4,15,3,47,0.181818181818182,0.194529694736322,0.0365355759027621,-0.347921514963156,0.859,0.6455,1,1,0.084920865420541,0.318453245327029,"avoiding"
"species","Ips grandicollis","Grosmannia olivacea",69,19,5,3,16,2,48,0.142857142857143,0.124825540946644,0.0274055666026856,0.657953990585697,0.68,1,1,1,0.123900110272596,0.354000315064559,"co-occurring"
"species","Ips grandicollis","Sporothrix eucastaneae",69,19,10,3,16,7,43,0.115384615384615,0.0953330755731952,0.0238803535698518,0.839666789386847,0.5585,1,1,1,1,1,"co-occurring"
"species","Ips grandicollis","Grosmannia francke-grosmanniae",69,19,13,3,16,10,40,0.103448275862069,0.104494913911744,0.0292624600143356,-0.0357672611654168,0.7525,0.7215,1,1,1,1,"avoiding"
"species","Ips grandicollis","Ceratocystiopsis rollhanseniana",69,19,3,2,17,1,49,0.1,0.0924009623859518,0.0184518230749732,0.411831263673618,0.855,1,1,1,0.181681108523877,0.464081518719813,"co-occurring"
"species","Ips grandicollis","Ophiostoma denticiliatum",69,19,5,2,17,3,47,0.0909090909090909,0.0762357463316648,0.0237900766211327,0.616784250471552,0.7105,1,1,1,0.610651337948357,0.893636104314668,"co-occurring"
"species","Ips grandicollis","Raffaelea arxii",69,19,9,2,17,7,43,0.0769230769230769,0.0712501549920271,0.0287278528087789,0.197471143033574,0.721,0.8475,1,1,1,1,"co-occurring"
"species","Ips grandicollis","Ophiostoma karelicum",69,19,3,1,18,2,48,0.0476190476190476,0.0476190476190498,0,NA,1,1,1,1,1,1,"avoiding"
"species","Ips grandicollis","Raffaelea subfusca",69,19,3,1,18,2,48,0.0476190476190476,0.023559398746993,0.0238141672249787,1.01030821883279,0.495,1,0.99,1,1,1,"co-occurring"
"species","Ips grandicollis","Grosmannia cucullata",69,19,4,1,18,3,47,0.0454545454545455,0.0379053162945117,0.0169203764813783,0.446162008767479,0.834,1,1,1,1,1,"co-occurring"
"species","Ips grandicollis","Ophiostoma undulatum",69,19,6,1,18,5,45,0.0416666666666667,0.0564004828501207,0.0278394028568371,-0.529243254936971,0.9105,0.5925,1,1,1,1,"avoiding"
"species","Ips grandicollis","Ceratocystiopsis synnemata",69,19,5,0,19,5,45,0,0,0,NA,1,1,1,1,0.31242683084497,0.665323201412488,"co-occurring"
"species","Ips grandicollis","Ophiostoma sparsiannulatum",69,19,3,0,19,3,47,0,0,0,NA,1,1,1,1,0.555769744627247,0.890594581440623,"co-occurring"
"species","Ips grandicollis","Raffaelea crossotarsi",69,19,3,0,19,3,47,0,0,0,NA,1,1,1,1,0.555769744627247,0.890594581440623,"co-occurring"
"species","Ips pini","Sporothrix eucastaneae",69,5,10,3,2,7,57,0.25,0.0821042389326549,0.0651855401323471,2.5756595822703,0.0425,1,0.085,0.693333333333333,0.0193942027739791,0.0969710138698955,"co-occurring"
"species","Ips pini","Raffaelea crossotarsi",69,5,3,1,4,2,62,0.142857142857143,0.0463088687200742,0.066882577033169,1.44354895429923,0.3245,1,0.649,1,0.204794442111692,0.491506661068061,"co-occurring"
"species","Ips pini","Ceratocystiopsis manitobensis",69,5,14,2,3,12,52,0.117647058823529,0.10412777000078,0.0630320525600985,0.214482763509232,0.587,0.795,1,1,0.265602931633393,0.612929842230907,"co-occurring"
"species","Ips pini","Ceratocystiopsis synnemata",69,5,5,1,4,4,60,0.111111111111111,0.116169195708967,0.0892318842852077,-0.0566847224887563,0.738,0.754,1,1,0.321572880682702,0.665323201412488,"avoiding"
"species","Ips pini","Grosmannia olivacea",69,5,5,1,4,4,60,0.111111111111111,0.0421043855260969,0.0652875345212738,1.05696632735501,0.3305,0.961,0.661,1,0.321572880682702,0.665323201412488,"co-occurring"
"species","Ips pini","Ophiostoma adjuncti",69,5,7,1,4,6,58,0.0909090909090909,0.0558279139569794,0.0611510502203591,0.573680694373944,0.5165,0.9185,1,1,0.424211904190528,0.848423808381055,"co-occurring"
"species","Ips pini","Raffaelea arxii",69,5,9,1,4,8,56,0.0769230769230769,0.024935544695425,0.0360136953255524,1.44354895429922,0.3245,1,0.649,1,0.51403606509153,0.890594581440623,"co-occurring"
"species","Ips pini","Grosmannia francke-grosmanniae",69,5,13,1,4,12,52,0.0588235294117647,0.019068357708266,0.0275398846607165,1.44354895429923,0.3245,1,0.649,1,1,1,"co-occurring"
"species","Ips pini","Ceratocystiopsis rollhanseniana",69,5,3,0,5,3,61,0,0.0230829700564569,0.0525939863470413,-0.43888991232085,1,0.8385,1,1,1,1,"avoiding"
"species","Ips pini","Grosmannia cucullata",69,5,4,0,5,4,60,0,0,0,NA,1,1,1,1,1,1,"co-occurring"
"species","Ips pini","Leptographium gracile",69,5,13,0,5,13,51,0,0,0,NA,1,1,1,1,0.575142191854029,0.890594581440623,"co-occurring"
"species","Ips pini","Leptographium lundbergii",69,5,7,0,5,7,57,0,0.051480285597345,0.0582736942557302,-0.883422378739663,1,0.509,1,1,1,1,"avoiding"
"species","Ips pini","Ophiostoma denticiliatum",69,5,5,0,5,5,59,0,0.017953421155022,0.0409064338254773,-0.438889912320839,1,0.8385,1,1,1,1,"avoiding"
