"sample_id","Ips grandicollis","Ips pini","Dendroctonus valens","Ceratocystiopsis","Graphilbum","Grosmannia","Hawksworthiomyces","Leptographium","Ophiostoma","Raffaelea","Sporothrix","Ophiostomatales (unclassified genus)","Any Ophiostomatales"
"NH.46",0,0,0,0,1,1,1,0,1,1,1,1,1
"NH.81",0,0,0,0,0,1,0,0,0,0,1,1,1
"NH.94",0,0,0,0,0,1,1,1,1,1,1,1,1
"NH.54",0,0,0,0,0,0,0,0,0,0,1,0,1
"NH.78",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.87",0,0,0,0,0,0,1,0,1,0,1,0,1
"NH.117",0,0,1,0,0,0,0,1,0,1,0,0,1
"NH.85",1,0,1,0,0,1,0,1,1,1,1,1,1
"NH.51",1,0,0,0,0,0,0,0,0,0,0,0,0
"NH.50",0,0,0,0,0,0,0,1,0,0,1,0,1
"NH.53",1,0,0,0,0,0,0,0,0,0,0,0,0
"NH.52",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.99",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.90",0,0,0,0,0,1,0,0,1,1,1,0,1
"NH.59",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.68",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.62",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.57",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.44",0,1,1,0,0,1,0,1,1,1,1,0,1
"NH.92",0,0,1,1,1,1,0,1,1,1,1,0,1
"NH.55",0,0,0,0,0,0,0,0,0,0,1,0,1
"NH.73",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.116",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.49",0,0,0,1,1,0,1,0,0,0,0,0,1
"NH.104",0,0,0,1,1,1,0,1,1,0,1,0,1
"NH.34",1,0,1,0,1,1,0,1,1,0,1,1,1
"NH.133",1,0,1,1,0,1,0,1,1,0,1,0,1
"NH.77",1,0,0,0,1,1,0,1,1,0,1,0,1
"NH.67",1,0,0,0,0,0,0,0,0,0,0,0,0
"NH.66",1,0,1,1,1,0,0,1,0,0,1,0,1
"NH.105",0,0,0,1,0,0,0,0,0,0,0,0,1
"NH.107",0,0,0,1,1,0,0,0,0,0,1,0,1
"NH.65",0,1,0,1,1,1,0,0,0,0,1,0,1
"NH.56",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.114",0,0,0,1,1,0,0,0,0,0,0,0,1
"NH.41",0,0,0,0,1,0,0,0,0,0,0,0,1
"NH.33",0,0,0,0,1,0,0,0,1,0,1,0,1
"NH.69",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.139",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.60",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.138",0,0,0,0,0,0,0,0,1,0,1,0,1
"NH.89",1,0,1,0,0,1,1,0,0,0,1,0,1
"NH.84",1,0,1,1,1,0,0,1,1,0,0,1,1
"NH.134",1,0,1,0,0,0,0,0,0,0,0,0,0
"NH.38",1,0,1,0,0,0,0,1,1,0,1,0,1
"NH.74",1,0,0,0,0,0,0,0,0,0,0,0,0
"NH.75",1,0,0,1,0,0,0,1,0,0,1,0,1
"NH.97",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.76",0,0,0,0,0,0,0,0,0,0,1,0,1
"NH.109",0,0,0,1,0,0,1,0,0,0,1,0,1
"NH.61",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.110",0,1,0,1,1,0,1,0,1,0,0,0,1
"NH.106",0,0,0,0,0,1,0,0,0,0,0,0,1
"NH.100",0,0,0,0,0,1,0,0,1,1,1,0,1
"NH.72",0,0,0,1,0,1,0,1,0,0,1,0,1
"NH.35",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.36",0,0,0,0,0,0,0,0,1,0,0,0,1
"NH.137",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.39",0,0,0,1,0,0,0,1,0,0,1,0,1
"NH.91",1,0,1,1,1,1,1,1,1,1,1,1,1
"NH.122",1,0,1,0,1,0,0,1,1,0,1,0,1
"NH.70",1,0,1,1,1,1,1,0,0,0,1,0,1
"NH.131",1,0,0,1,1,0,0,1,1,0,1,0,1
"NH.124",1,0,0,1,0,0,0,0,1,0,0,0,1
"NH.113",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.129",0,1,0,1,1,0,0,0,0,0,1,0,1
"NH.132",0,0,0,0,0,0,0,0,0,0,0,0,0
"NH.95",0,0,0,1,1,0,1,1,1,1,1,0,1
"NH.115",0,1,0,0,0,0,0,0,0,0,0,0,0
