"Family","n"
"Curculionidae",37
"Elateridae",15
"Staphylinidae",12
"Cerambycidae",6
"Tenebrionidae",6
"Nitidulidae",5
NA,5
"Eucnemidae",4
"Scarabaeidae",4
"Carabidae",3
"Cerylonidae",3
"Ciidae",3
"Cleridae",3
"Ptinidae",3
"Corylophidae",2
"Latridiidae",2
"Melandryidae",2
"Throscidae",2
"Zopheridae",2
"Aderidae",1
"Apidae",1
"Bostrichidae",1
"Cantharidae",1
"Cucujidae",1
"Dryophthoridae",1
"Dytiscidae",1
"Endomychidae",1
"Formicidae",1
"Histeridae",1
"Hydraenidae",1
"Hydrophilidae",1
"Ichneumonidae",1
"Laemophloeidae",1
"Lampyridae",1
"Leiodidae",1
"Lophocateridae",1
"Microphysidae",1
"Miridae",1
"Monotomidae",1
"Mordellidae",1
"Passandridae",1
"Pentatomidae",1
"Phalacridae",1
"Pompilidae",1
"Ptiliidae",1
"Salpingidae",1
"Scirtidae",1
"Scraptiidae",1
"Silvanidae",1
"Synchroidae",1
"Thanerocleridae",1
"Trogossitidae",1
"Xyelidae",1
