SequenceID,sampleID,col_names,trapID,State,Site,Lat,Lon,Risk,baselineDate,Lure,forestType,num_reads,CollectionDate
NH.46,C1-E 5-1,C1.E..5.1,C1-E,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",182190,5/1/24
NH.81,C1-E 5-15,C1.E..5.15,C1-E,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",249288,5/15/24
NH.94,C1-E 5-29,C1.E..5.29,C1-E,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",1055037,5/29/24
NH.54,C1-E 6-12,C1.E..6.12,C1-E,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",5950,6/12/24
NH.78,C1-E 6-26,C1.E..6.26,C1-E,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",158688,6/26/24
NH.87,C1-E 7-10,C1.E..7.10,C1-E,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",564643,7/10/24
NH.117,C2-EA 5-1,C2.EA..5.1,C2-EA,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",176830,5/1/24
NH.85,C2-EA 5-15,C2.EA..5.15,C2-EA,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",251710,5/15/24
NH.51,C2-EA 5-29,C2.EA..5.29,C2-EA,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",62875,5/29/24
NH.50,C2-EA 6-12,C2.EA..6.12,C2-EA,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",142887,6/12/24
NH.53,C2-EA 6-26,C2.EA..6.26,C2-EA,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",18346,6/26/24
NH.52,C2-EA 7-10,C2.EA..7.10,C2-EA,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",95320,7/10/24
NH.99,C3-I 5-1,C3.I..5.1,C3-I,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",45472,5/1/24
NH.90,C3-I 5-15,C3.I..5.15,C3-I,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",576604,5/15/24
NH.59,C3-I 5-29,C3.I..5.29,C3-I,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",53988,5/29/24
NH.68,C3-I 6-12,C3.I..6.12,C3-I,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",56345,6/12/24
NH.62,C3-I 6-26,C3.I..6.26,C3-I,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",173316,6/26/24
NH.57,C3-I 7-10,C3.I..7.10,C3-I,NH,Manchester Cedar Swamp,43.04462,-71.4965,Low,4/16/24,Ips,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB) present in lesser amounts",48155,7/10/24
NH.44,D1-E 5-1,D1.E..5.1,D1-E,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",100180,5/1/24
NH.92,D1-E 5-15,D1.E..5.15,D1-E,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",367395,5/15/24
NH.55,D1-E 5-29,D1.E..5.29,D1-E,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",62129,5/29/24
NH.73,D1-E 6-12,D1.E..6.12,D1-E,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",466855,6/12/24
NH.116,D1-E 6-26,D1.E..6.26,D1-E,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",171827,6/26/24
NH.49,D1-E 7-10,D1.E..7.10,D1-E,NH,Durham,43.11516,-70.90025,Low,4/16/24,Ethanol,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",177865,7/10/24
NH.104,D2-EA 5-1,D2.EA..5.1,D2-EA,NH,Durham,43.11516,-70.90025,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",686523,5/1/24
NH.34,D2-EA 5-15,D2.EA..5.15,D2-EA,NH,Durham,43.11516,-70.90025,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",14397,5/15/24
NH.133,D2-EA 5-29,D2.EA..5.29,D2-EA,NH,Durham,43.11516,-70.90025,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",73581,5/29/24
NH.77,D2-EA 6-12,D2.EA..6.12,D2-EA,NH,Durham,43.11516,-70.90025,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",52913,6/12/24
NH.67,D2-EA 6-26,D2.EA..6.26,D2-EA,NH,Durham,43.11516,-70.90025,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",63145,6/26/24
NH.66,D2-EA 7-10,D2.EA..7.10,D2-EA,NH,Durham,43.11516,-70.90025,Low,4/16/24,Alpha-pinene_EtOH,"Mostly white pine red oak, with hemlock secondary, and beech, white oak, birch(WB, BB, YB), red maple present in lesser amounts",181175,7/10/24
