"Class","group","direction","n"
"Other","Other","Later season (t>0)",329
"Other","Other","Earlier season (t<0)",246
"Dothideomycetes","Mycosphaerellales","Later season (t>0)",169
"Unclassified","Unclassified","Earlier season (t<0)",160
"Unclassified","Unclassified","Later season (t>0)",137
"Tremellomycetes","Tremellales","Later season (t>0)",113
"Agaricomycetes","Polyporales","Later season (t>0)",101
"Dothideomycetes","Dothideales","Later season (t>0)",97
"Sordariomycetes","Diaporthales","Earlier season (t<0)",87
"Leotiomycetes","Helotiales","Earlier season (t<0)",76
"Dothideomycetes","Pleosporales","Earlier season (t<0)",71
"Dothideomycetes","Pleosporales","Later season (t>0)",64
"Agaricomycetes","Russulales","Later season (t>0)",54
"Dothideomycetes","Capnodiales","Later season (t>0)",47
"Sordariomycetes","Xylariales","Earlier season (t<0)",44
"Agaricomycetes","Polyporales","Earlier season (t<0)",43
"Lecanoromycetes","Lecanorales","Earlier season (t<0)",37
"Eurotiomycetes","Chaetothyriales","Earlier season (t<0)",30
"Sordariomycetes","Hypocreales","Earlier season (t<0)",30
"Leotiomycetes","Helotiales","Later season (t>0)",27
"Agaricomycetes","Hymenochaetales","Later season (t>0)",27
"Agaricomycetes","Hymenochaetales","Earlier season (t<0)",22
"Sordariomycetes","Xylariales","Later season (t>0)",21
"Eurotiomycetes","Chaetothyriales","Later season (t>0)",15
"Sordariomycetes","Hypocreales","Later season (t>0)",14
"Sordariomycetes","Diaporthales","Later season (t>0)",13
"Dothideomycetes","Mycosphaerellales","Earlier season (t<0)",12
"Dothideomycetes","Dothideales","Earlier season (t<0)",8
"Lecanoromycetes","Lecanorales","Later season (t>0)",8
"Dothideomycetes","Capnodiales","Earlier season (t<0)",5
"Agaricomycetes","Russulales","Earlier season (t<0)",5
"Tremellomycetes","Tremellales","Earlier season (t<0)",4
