"Class","group","direction","n"
"Saccharomycetes","Saccharomycetales","PCoA1- / bark-beetle-dominated insect community",10
"Unclassified","Unclassified","PCoA1- / bark-beetle-dominated insect community",8
"Sordariomycetes","Diaporthales","PCoA1- / bark-beetle-dominated insect community",7
"Atractiellomycetes","Atractiellales","PCoA1- / bark-beetle-dominated insect community",6
"Leotiomycetes","Helotiales","PCoA1- / bark-beetle-dominated insect community",5
"Sordariomycetes","Ophiostomatales","PCoA1- / bark-beetle-dominated insect community",3
"Lecanoromycetes","Ostropales","PCoA1- / bark-beetle-dominated insect community",3
"Leotiomycetes","Rhytismatales","PCoA1- / bark-beetle-dominated insect community",3
"Agaricomycetes","Polyporales","PCoA1+ / later-season insect community",2
"Agaricomycetes","Polyporales","PCoA1- / bark-beetle-dominated insect community",2
"Tremellomycetes","Tremellales","PCoA1+ / later-season insect community",2
"Unclassified","Unclassified","PCoA1+ / later-season insect community",2
"Sordariomycetes","Xylariales","PCoA1- / bark-beetle-dominated insect community",2
"Agaricomycetes","Agaricales","PCoA1- / bark-beetle-dominated insect community",1
"Agaricomycetes","Atheliales","PCoA1- / bark-beetle-dominated insect community",1
"Sordariomycetes","Calosphaeriales","PCoA1- / bark-beetle-dominated insect community",1
"Dothideomycetes","Capnodiales","PCoA1+ / later-season insect community",1
"Dothideomycetes","Capnodiales","PCoA1- / bark-beetle-dominated insect community",1
"Eurotiomycetes","Chaetothyriales","PCoA1- / bark-beetle-dominated insect community",1
"Agaricomycetes","Corticiales","PCoA1- / bark-beetle-dominated insect community",1
"Cystobasidiomycetes","Cystobasidiales","PCoA1+ / later-season insect community",1
"Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","PCoA1+ / later-season insect community",1
"Dacrymycetes","Dacrymycetales","PCoA1+ / later-season insect community",1
"Dothideomycetes","Dothideales","PCoA1- / bark-beetle-dominated insect community",1
"Cystobasidiomycetes","Erythrobasidiales","PCoA1+ / later-season insect community",1
"Exobasidiomycetes","Exobasidiales","PCoA1+ / later-season insect community",1
"Arthoniomycetes","Lichenostigmatales","PCoA1- / bark-beetle-dominated insect community",1
"Eurotiomycetes","Phaeomoniellales","PCoA1- / bark-beetle-dominated insect community",1
"Dothideomycetes","Pleosporales","PCoA1+ / later-season insect community",1
"Dothideomycetes","Pleosporales","PCoA1- / bark-beetle-dominated insect community",1
"Pucciniomycetes","Pucciniales","PCoA1- / bark-beetle-dominated insect community",1
"Agaricomycetes","Russulales","PCoA1- / bark-beetle-dominated insect community",1
"Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","PCoA1- / bark-beetle-dominated insect community",1
"Microbotryomycetes","Sporidiobolales","PCoA1+ / later-season insect community",1
"Leotiomycetes","Thelebolales","PCoA1+ / later-season insect community",1
