"Order","Family","direction","n"
"Capnodiales","Cladosporiaceae","Later season (t>0)",44
"Capnodiales","Capnodiales_fam_Incertae_sedis","Earlier season (t<0)",2
"Capnodiales","Capnodiales_fam_Incertae_sedis","Later season (t>0)",2
"Capnodiales","Unclassified","Earlier season (t<0)",2
"Capnodiales","Cladosporiaceae","Earlier season (t<0)",1
"Capnodiales","Neoantennariellaceae","Later season (t>0)",1
"Chaetothyriales","Herpotrichiellaceae","Earlier season (t<0)",15
"Chaetothyriales","Epibryaceae","Earlier season (t<0)",9
"Chaetothyriales","Herpotrichiellaceae","Later season (t>0)",6
"Chaetothyriales","Trichomeriaceae","Later season (t>0)",4
"Chaetothyriales","Chaetothyriaceae","Later season (t>0)",2
"Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Earlier season (t<0)",2
"Chaetothyriales","Other","Earlier season (t<0)",2
"Chaetothyriales","Unclassified","Earlier season (t<0)",2
"Chaetothyriales","Unclassified","Later season (t>0)",2
"Chaetothyriales","Other","Later season (t>0)",1
"Diaporthales","Valsaceae","Earlier season (t<0)",72
"Diaporthales","Other","Later season (t>0)",6
"Diaporthales","Gnomoniaceae","Earlier season (t<0)",5
"Diaporthales","Gnomoniaceae","Later season (t>0)",3
"Diaporthales","Melanconiellaceae","Earlier season (t<0)",3
"Diaporthales","Other","Earlier season (t<0)",3
"Diaporthales","Unclassified","Earlier season (t<0)",2
"Diaporthales","Coryneaceae","Earlier season (t<0)",1
"Diaporthales","Coryneaceae","Later season (t>0)",1
"Diaporthales","Diaporthaceae","Earlier season (t<0)",1
"Diaporthales","Diaporthaceae","Later season (t>0)",1
"Diaporthales","Unclassified","Later season (t>0)",1
"Diaporthales","Valsaceae","Later season (t>0)",1
"Dothideales","Saccotheciaceae","Later season (t>0)",46
"Dothideales","Dothideaceae","Later season (t>0)",30
"Dothideales","Dothioraceae","Later season (t>0)",14
"Dothideales","Unclassified","Later season (t>0)",7
"Dothideales","Dothideaceae","Earlier season (t<0)",3
"Dothideales","Dothideales_fam_Incertae_sedis","Earlier season (t<0)",2
"Dothideales","Aureobasidiaceae","Earlier season (t<0)",1
"Dothideales","Dothioraceae","Earlier season (t<0)",1
"Dothideales","Saccotheciaceae","Earlier season (t<0)",1
"Helotiales","Other","Earlier season (t<0)",16
"Helotiales","Sclerotiniaceae","Earlier season (t<0)",14
"Helotiales","Tympanidaceae","Earlier season (t<0)",14
"Helotiales","Hyaloscyphaceae","Earlier season (t<0)",11
"Helotiales","Unclassified","Earlier season (t<0)",9
"Helotiales","Unclassified","Later season (t>0)",9
"Helotiales","Dermateaceae","Earlier season (t<0)",8
"Helotiales","Other","Later season (t>0)",8
"Helotiales","Helotiales_fam_Incertae_sedis","Earlier season (t<0)",4
"Helotiales","Sclerotiniaceae","Later season (t>0)",4
"Helotiales","Hyaloscyphaceae","Later season (t>0)",3
"Helotiales","Helotiales_fam_Incertae_sedis","Later season (t>0)",2
"Helotiales","Dermateaceae","Later season (t>0)",1
"Hymenochaetales","Schizoporaceae","Later season (t>0)",24
"Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Earlier season (t<0)",6
"Hymenochaetales","Schizoporaceae","Earlier season (t<0)",6
"Hymenochaetales","Hymenochaetaceae","Earlier season (t<0)",4
"Hymenochaetales","Rickenellaceae","Earlier season (t<0)",4
"Hymenochaetales","Rickenellaceae","Later season (t>0)",2
"Hymenochaetales","Tubulicrinaceae","Earlier season (t<0)",2
"Hymenochaetales","Tubulicrinaceae","Later season (t>0)",1
"Hypocreales","Nectriaceae","Earlier season (t<0)",16
"Hypocreales","Hypocreales_fam_Incertae_sedis","Earlier season (t<0)",8
"Hypocreales","Nectriaceae","Later season (t>0)",6
"Hypocreales","Ophiocordycipitaceae","Earlier season (t<0)",4
"Hypocreales","Other","Later season (t>0)",3
"Hypocreales","Cylindriaceae","Later season (t>0)",2
"Hypocreales","Sarocladiaceae","Later season (t>0)",2
"Hypocreales","Clavicipitaceae","Earlier season (t<0)",1
"Hypocreales","Clavicipitaceae","Later season (t>0)",1
"Hypocreales","Other","Earlier season (t<0)",1
"Lecanorales","Unclassified","Earlier season (t<0)",15
"Lecanorales","Parmeliaceae","Earlier season (t<0)",8
"Lecanorales","Lecanoraceae","Earlier season (t<0)",6
"Lecanorales","Parmeliaceae","Later season (t>0)",3
"Lecanorales","Unclassified","Later season (t>0)",3
"Lecanorales","Catillariaceae","Earlier season (t<0)",2
"Lecanorales","Lecanoraceae","Later season (t>0)",2
"Lecanorales","Other","Earlier season (t<0)",2
"Lecanorales","Ramalinaceae","Earlier season (t<0)",2
"Lecanorales","Scoliciosporaceae","Earlier season (t<0)",2
"Mycosphaerellales","Mycosphaerellaceae","Later season (t>0)",165
"Mycosphaerellales","Mycosphaerellaceae","Earlier season (t<0)",5
"Mycosphaerellales","Teratosphaeriaceae","Earlier season (t<0)",4
"Mycosphaerellales","Teratosphaeriaceae","Later season (t>0)",4
"Mycosphaerellales","Unclassified","Earlier season (t<0)",2
"Mycosphaerellales","Extremaceae","Earlier season (t<0)",1
"Pleosporales","Other","Earlier season (t<0)",34
"Pleosporales","Didymellaceae","Later season (t>0)",23
"Pleosporales","Unclassified","Earlier season (t<0)",14
"Pleosporales","Other","Later season (t>0)",11
"Pleosporales","Cucurbitariaceae","Earlier season (t<0)",10
"Pleosporales","Cucurbitariaceae","Later season (t>0)",10
"Pleosporales","Pleosporaceae","Later season (t>0)",7
"Pleosporales","Melanommataceae","Earlier season (t<0)",6
"Pleosporales","Phaeosphaeriaceae","Earlier season (t<0)",6
"Pleosporales","Phaeosphaeriaceae","Later season (t>0)",6
"Pleosporales","Unclassified","Later season (t>0)",5
"Pleosporales","Melanommataceae","Later season (t>0)",2
"Pleosporales","Pleosporaceae","Earlier season (t<0)",1
"Polyporales","Other","Later season (t>0)",32
"Polyporales","Meruliaceae","Later season (t>0)",17
"Polyporales","Hyphodermataceae","Later season (t>0)",16
"Polyporales","Phanerochaetaceae","Earlier season (t<0)",13
"Polyporales","Polyporaceae","Earlier season (t<0)",13
"Polyporales","Irpicaceae","Later season (t>0)",12
"Polyporales","Fomitopsidaceae","Earlier season (t<0)",11
"Polyporales","Fomitopsidaceae","Later season (t>0)",9
