"Order","Family","direction","n"
"Agaricales","Radulomycetaceae","PCoA1- / bark-beetle-dominated insect community",1
"Atheliales","Atheliaceae","PCoA1- / bark-beetle-dominated insect community",1
"Atractiellales","Phleogenaceae","PCoA1- / bark-beetle-dominated insect community",5
"Atractiellales","Unclassified","PCoA1- / bark-beetle-dominated insect community",1
"Calosphaeriales","Calosphaeriaceae","PCoA1- / bark-beetle-dominated insect community",1
"Capnodiales","Cladosporiaceae","PCoA1+ / later-season insect community",1
"Capnodiales","Cladosporiaceae","PCoA1- / bark-beetle-dominated insect community",1
"Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","PCoA1- / bark-beetle-dominated insect community",1
"Corticiales","Corticiaceae","PCoA1- / bark-beetle-dominated insect community",1
"Cystobasidiales","Cystobasidiaceae","PCoA1+ / later-season insect community",1
"Cystobasidiomycetes_ord_Incertae_sedis","Buckleyzymaceae","PCoA1+ / later-season insect community",1
"Dacrymycetales","Dacrymycetaceae","PCoA1+ / later-season insect community",1
"Diaporthales","Valsaceae","PCoA1- / bark-beetle-dominated insect community",7
"Dothideales","Dothideaceae","PCoA1- / bark-beetle-dominated insect community",1
"Erythrobasidiales","Erythrobasidiaceae","PCoA1+ / later-season insect community",1
"Exobasidiales","Exobasidiaceae","PCoA1+ / later-season insect community",1
"Helotiales","Dermateaceae","PCoA1- / bark-beetle-dominated insect community",2
"Helotiales","Tympanidaceae","PCoA1- / bark-beetle-dominated insect community",2
"Helotiales","Sclerotiniaceae","PCoA1- / bark-beetle-dominated insect community",1
"Lichenostigmatales","Lichenostigmatales_fam_Incertae_sedis","PCoA1- / bark-beetle-dominated insect community",1
"Ophiostomatales","Ophiostomataceae","PCoA1- / bark-beetle-dominated insect community",3
"Ostropales","Spirographaceae","PCoA1- / bark-beetle-dominated insect community",2
"Ostropales","Unclassified","PCoA1- / bark-beetle-dominated insect community",1
"Phaeomoniellales","Phaeomoniellaceae","PCoA1- / bark-beetle-dominated insect community",1
"Pleosporales","Didymellaceae","PCoA1+ / later-season insect community",1
"Pleosporales","Unclassified","PCoA1- / bark-beetle-dominated insect community",1
"Polyporales","Irpicaceae","PCoA1+ / later-season insect community",1
"Polyporales","Phanerochaetaceae","PCoA1- / bark-beetle-dominated insect community",1
"Polyporales","Polyporaceae","PCoA1+ / later-season insect community",1
"Polyporales","Polyporaceae","PCoA1- / bark-beetle-dominated insect community",1
"Pucciniales","Pucciniaceae","PCoA1- / bark-beetle-dominated insect community",1
"Rhytismatales","Rhytismataceae","PCoA1- / bark-beetle-dominated insect community",3
"Russulales","Stereaceae","PCoA1- / bark-beetle-dominated insect community",1
"Saccharomycetales","Phaffomycetaceae","PCoA1- / bark-beetle-dominated insect community",8
"Saccharomycetales","Pichiaceae","PCoA1- / bark-beetle-dominated insect community",1
"Saccharomycetales","Saccharomycetaceae","PCoA1- / bark-beetle-dominated insect community",1
"Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","PCoA1- / bark-beetle-dominated insect community",1
"Sporidiobolales","Sporidiobolaceae","PCoA1+ / later-season insect community",1
"Thelebolales","Pseudeurotiaceae","PCoA1+ / later-season insect community",1
"Tremellales","Cuniculitremaceae","PCoA1+ / later-season insect community",1
"Tremellales","Sirobasidiaceae","PCoA1+ / later-season insect community",1
"Xylariales","Diatrypaceae","PCoA1- / bark-beetle-dominated insect community",2
