"facet","group","direction","n"
"Unclassified genus","Unclassified genus","Earlier season (t<0)",275
"Unclassified genus","Unclassified genus","Later season (t>0)",264
"filamentous mycelium","plant pathogen : filamentous mycelium","Later season (t>0)",247
"filamentous mycelium","plant pathogen : filamentous mycelium","Earlier season (t<0)",205
"filamentous mycelium","wood saprotroph : filamentous mycelium","Later season (t>0)",176
"filamentous mycelium","wood saprotroph : filamentous mycelium","Earlier season (t<0)",152
"dimorphic yeast","plant pathogen : dimorphic yeast","Later season (t>0)",51
"No FungalTraits match","No FungalTraits match","Earlier season (t<0)",48
"filamentous mycelium","litter saprotroph (+plant pathogen) : filamentous mycelium","Later season (t>0)",47
"filamentous mycelium","wood saprotroph (+plant pathogen) : filamentous mycelium","Later season (t>0)",47
"dimorphic yeast","sooty mold : dimorphic yeast","Later season (t>0)",46
"yeast","soil saprotroph : yeast","Later season (t>0)",45
"dimorphic yeast","mycoparasite : dimorphic yeast","Later season (t>0)",40
"No FungalTraits match","No FungalTraits match","Later season (t>0)",38
"filamentous mycelium","unspecified saprotroph : filamentous mycelium","Earlier season (t<0)",35
"thallus photosynthetic","lichenized : thallus photosynthetic","Earlier season (t<0)",26
"thallus photosynthetic","litter saprotroph (+plant pathogen) : thallus photosynthetic","Later season (t>0)",26
"Other","Other","Later season (t>0)",25
"yeast","epiphyte : yeast","Later season (t>0)",23
"yeast","unspecified saprotroph : yeast","Later season (t>0)",23
"Other","Other","Earlier season (t<0)",22
"yeast","mycoparasite : yeast","Later season (t>0)",22
"filamentous mycelium","litter saprotroph : filamentous mycelium","Later season (t>0)",21
"yeast","nectar/tap saprotroph : yeast","Earlier season (t<0)",20
"filamentous mycelium","litter saprotroph : filamentous mycelium","Earlier season (t<0)",19
"filamentous mycelium","lichen parasite : filamentous mycelium","Earlier season (t<0)",16
"filamentous mycelium","foliar endophyte : filamentous mycelium","Later season (t>0)",14
"filamentous mycelium","unspecified saprotroph : filamentous mycelium","Later season (t>0)",14
"dimorphic yeast","unspecified saprotroph : dimorphic yeast","Later season (t>0)",13
"yeast","litter saprotroph : yeast","Later season (t>0)",12
"filamentous mycelium","animal parasite : filamentous mycelium","Later season (t>0)",11
"filamentous mycelium","animal parasite : filamentous mycelium","Earlier season (t<0)",10
"yeast","animal parasite : yeast","Later season (t>0)",9
"filamentous mycelium","soil saprotroph : filamentous mycelium","Earlier season (t<0)",9
"thallus photosynthetic","lichenized : thallus photosynthetic","Later season (t>0)",8
"filamentous mycelium","litter saprotroph (+plant pathogen) : filamentous mycelium","Earlier season (t<0)",8
"dimorphic yeast","plant pathogen : dimorphic yeast","Earlier season (t<0)",8
"filamentous mycelium","soil saprotroph : filamentous mycelium","Later season (t>0)",7
"yeast","litter saprotroph : yeast","Earlier season (t<0)",6
"yeast","nectar/tap saprotroph : yeast","Later season (t>0)",6
"dimorphic yeast","mycoparasite : dimorphic yeast","Earlier season (t<0)",5
"dimorphic yeast","unspecified saprotroph : dimorphic yeast","Earlier season (t<0)",5
"filamentous mycelium","wood saprotroph (+plant pathogen) : filamentous mycelium","Earlier season (t<0)",4
"filamentous mycelium","foliar endophyte : filamentous mycelium","Earlier season (t<0)",3
"yeast","soil saprotroph : yeast","Earlier season (t<0)",2
"yeast","epiphyte : yeast","Earlier season (t<0)",1
"filamentous mycelium","lichen parasite : filamentous mycelium","Later season (t>0)",1
"dimorphic yeast","sooty mold : dimorphic yeast","Earlier season (t<0)",1
