"facet","group","direction","n"
"filamentous mycelium","plant pathogen : filamentous mycelium","PCoA1- / bark-beetle-dominated insect community",19
"Unclassified genus","Unclassified genus","PCoA1- / bark-beetle-dominated insect community",15
"filamentous mycelium","wood saprotroph : filamentous mycelium","PCoA1- / bark-beetle-dominated insect community",10
"yeast","litter saprotroph : yeast","PCoA1- / bark-beetle-dominated insect community",5
"yeast","nectar/tap saprotroph : yeast","PCoA1- / bark-beetle-dominated insect community",5
"Unclassified genus","Unclassified genus","PCoA1+ / later-season insect community",4
"filamentous mycelium","lichen parasite : filamentous mycelium","PCoA1- / bark-beetle-dominated insect community",3
"No FungalTraits match","No FungalTraits match","PCoA1- / bark-beetle-dominated insect community",2
"dimorphic yeast","mycoparasite : dimorphic yeast","PCoA1+ / later-season insect community",2
"yeast","mycoparasite : yeast","PCoA1+ / later-season insect community",2
"filamentous mycelium","wood saprotroph : filamentous mycelium","PCoA1+ / later-season insect community",2
"yeast","epiphyte : yeast","PCoA1+ / later-season insect community",1
"filamentous mycelium","foliar endophyte : filamentous mycelium","PCoA1+ / later-season insect community",1
"filamentous mycelium","litter saprotroph (+plant pathogen) : filamentous mycelium","PCoA1+ / later-season insect community",1
"filamentous mycelium","litter saprotroph (+plant pathogen) : filamentous mycelium","PCoA1- / bark-beetle-dominated insect community",1
"filamentous mycelium","plant pathogen : filamentous mycelium","PCoA1+ / later-season insect community",1
"dimorphic yeast","unspecified saprotroph : dimorphic yeast","PCoA1- / bark-beetle-dominated insect community",1
"filamentous mycelium","unspecified saprotroph : filamentous mycelium","PCoA1- / bark-beetle-dominated insect community",1
"filamentous mycelium","wood saprotroph (+plant pathogen) : filamentous mycelium","PCoA1+ / later-season insect community",1
