"Class","lifestyle","direction","n"
"Sordariomycetes","plant pathogen","PCoA1- / bark-beetle-dominated insect community",11
"Leotiomycetes","plant pathogen","PCoA1- / bark-beetle-dominated insect community",6
"Saccharomycetes","litter saprotroph","PCoA1- / bark-beetle-dominated insect community",5
"Saccharomycetes","nectar/tap saprotroph","PCoA1- / bark-beetle-dominated insect community",5
"Atractiellomycetes","wood saprotroph","PCoA1- / bark-beetle-dominated insect community",5
"Agaricomycetes","wood saprotroph","PCoA1- / bark-beetle-dominated insect community",4
"Lecanoromycetes","lichen parasite","PCoA1- / bark-beetle-dominated insect community",2
"Cystobasidiomycetes","mycoparasite","PCoA1+ / later-season insect community",2
"Cystobasidiomycetes","epiphyte","PCoA1+ / later-season insect community",1
"Leotiomycetes","foliar endophyte","PCoA1+ / later-season insect community",1
"Agaricomycetes","lichen parasite","PCoA1- / bark-beetle-dominated insect community",1
"Dothideomycetes","litter saprotroph (+plant pathogen)","PCoA1+ / later-season insect community",1
"Dothideomycetes","litter saprotroph (+plant pathogen)","PCoA1- / bark-beetle-dominated insect community",1
"Microbotryomycetes","mycoparasite","PCoA1+ / later-season insect community",1
"Tremellomycetes","mycoparasite","PCoA1+ / later-season insect community",1
"Dothideomycetes","plant pathogen","PCoA1- / bark-beetle-dominated insect community",1
"Exobasidiomycetes","plant pathogen","PCoA1+ / later-season insect community",1
"Pucciniomycetes","plant pathogen","PCoA1- / bark-beetle-dominated insect community",1
"Eurotiomycetes","unspecified saprotroph","PCoA1- / bark-beetle-dominated insect community",1
"Sordariomycetes","unspecified saprotroph","PCoA1- / bark-beetle-dominated insect community",1
"Agaricomycetes","wood saprotroph","PCoA1+ / later-season insect community",1
"Dacrymycetes","wood saprotroph","PCoA1+ / later-season insect community",1
"Sordariomycetes","wood saprotroph","PCoA1- / bark-beetle-dominated insect community",1
"Agaricomycetes","wood saprotroph (+plant pathogen)","PCoA1+ / later-season insect community",1
