"Class","group","direction","n"
"Unclassified","Unclassified","PCoA1+ / later-season, fungivorous insect community",3
"Eurotiomycetes","Chaetothyriales","PCoA1- / earlier-season, bark-beetle-dominated insect community",2
"Leotiomycetes","Helotiales","PCoA1+ / later-season, fungivorous insect community",2
"Eurotiomycetes","Chaetothyriales","PCoA1+ / later-season, fungivorous insect community",1
"Agaricomycetes","Corticiales","PCoA1+ / later-season, fungivorous insect community",1
"Sordariomycetes","Hypocreales","PCoA1+ / later-season, fungivorous insect community",1
"Dothideomycetes","Mycosphaerellales","PCoA1+ / later-season, fungivorous insect community",1
"Dothideomycetes","Pleosporales","PCoA1+ / later-season, fungivorous insect community",1
"Dothideomycetes","Pleosporales","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"Agaricomycetes","Polyporales","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"Unclassified","Unclassified","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"Eurotiomycetes","Verrucariales","PCoA1+ / later-season, fungivorous insect community",1
"Sordariomycetes","Xylariales","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
