"group","cat","n"
"Other","Peaks late season",23
"Scolytinae","Peaks early season",10
"Other","Peaks early season",8
"Other","Peaks mid-season",8
"Alleculinae","Peaks late season",4
"Elaterinae","Peaks late season",3
"Elaterinae","Peaks mid-season",3
"Melasinae","Peaks late season",3
"Scolytinae","Peaks mid-season",3
"Ciinae","Peaks mid-season",2
"Cossoninae","Peaks late season",2
"Cryptarchinae","Peaks early season",2
"Dendrometrinae","Peaks late season",2
"Scolytinae","Peaks late season",2
"Staphylininae","Peaks late season",2
"Agrypninae","Peaks mid-season",1
"Ceryloninae","Peaks late season",1
"Ceryloninae","Peaks mid-season",1
"Ciinae","Peaks early season",1
"Dendrometrinae","Peaks mid-season",1
"Elaterinae","Peaks early season",1
"Melandryinae","Peaks late season",1
"Melandryinae","Peaks mid-season",1
"Molytinae","Peaks early season",1
"Molytinae","Peaks mid-season",1
"Other","Bimodal (early + late)",1
"Spondylidinae","Peaks late season",1
"Spondylidinae","Peaks mid-season",1
"Unclassified","Peaks early season",1
"Unclassified","Peaks late season",1
