"Order","Family","direction","n"
"Capnodiales","Cladosporiaceae","Later season (linear, t>0)",44
"Capnodiales","Cladosporiaceae","Dip (quadratic, t>0)",12
"Capnodiales","Neoantennariellaceae","Hump (quadratic, t<0)",6
"Capnodiales","Capnodiales_fam_Incertae_sedis","Dip (quadratic, t>0)",2
"Capnodiales","Capnodiales_fam_Incertae_sedis","Earlier season (linear, t<0)",2
"Capnodiales","Neodevriesiaceae","Dip (quadratic, t>0)",2
"Capnodiales","Unclassified","Dip (quadratic, t>0)",2
"Capnodiales","Unclassified","Earlier season (linear, t<0)",2
"Capnodiales","Unclassified","Hump (quadratic, t<0)",2
"Capnodiales","Capnodiales_fam_Incertae_sedis","Later season (linear, t>0)",1
"Capnodiales","Cladosporiaceae","Earlier season (linear, t<0)",1
"Chaetothyriales","Herpotrichiellaceae","Earlier season (linear, t<0)",16
"Chaetothyriales","Epibryaceae","Earlier season (linear, t<0)",10
"Chaetothyriales","Epibryaceae","Dip (quadratic, t>0)",8
"Chaetothyriales","Herpotrichiellaceae","Dip (quadratic, t>0)",6
"Chaetothyriales","Herpotrichiellaceae","Later season (linear, t>0)",5
"Chaetothyriales","Trichomeriaceae","Later season (linear, t>0)",3
"Chaetothyriales","Unclassified","Dip (quadratic, t>0)",3
"Chaetothyriales","Unclassified","Earlier season (linear, t<0)",3
"Chaetothyriales","Chaetothyriaceae","Later season (linear, t>0)",2
"Chaetothyriales","Other","Earlier season (linear, t<0)",2
"Chaetothyriales","Paracladophialophoraceae","Earlier season (linear, t<0)",2
"Chaetothyriales","Trichomeriaceae","Dip (quadratic, t>0)",2
"Chaetothyriales","Unclassified","Later season (linear, t>0)",2
"Chaetothyriales","Other","Later season (linear, t>0)",1
"Chaetothyriales","Paracladophialophoraceae","Dip (quadratic, t>0)",1
"Diaporthales","Valsaceae","Earlier season (linear, t<0)",74
"Diaporthales","Valsaceae","Dip (quadratic, t>0)",26
"Diaporthales","Gnomoniaceae","Earlier season (linear, t<0)",5
"Diaporthales","Other","Later season (linear, t>0)",5
"Diaporthales","Other","Earlier season (linear, t<0)",4
"Diaporthales","Gnomoniaceae","Hump (quadratic, t<0)",3
"Diaporthales","Gnomoniaceae","Later season (linear, t>0)",3
"Diaporthales","Melanconiellaceae","Earlier season (linear, t<0)",3
"Diaporthales","Erythrogloeaceae","Hump (quadratic, t<0)",2
"Diaporthales","Erythrogloeaceae","Later season (linear, t>0)",2
"Diaporthales","Unclassified","Earlier season (linear, t<0)",2
"Diaporthales","Valsaceae","Later season (linear, t>0)",2
"Diaporthales","Coryneaceae","Earlier season (linear, t<0)",1
"Diaporthales","Coryneaceae","Later season (linear, t>0)",1
"Diaporthales","Other","Dip (quadratic, t>0)",1
"Diaporthales","Other","Hump (quadratic, t<0)",1
"Diaporthales","Unclassified","Later season (linear, t>0)",1
"Dothideales","Saccotheciaceae","Later season (linear, t>0)",48
"Dothideales","Saccotheciaceae","Hump (quadratic, t<0)",39
"Dothideales","Dothioraceae","Hump (quadratic, t<0)",38
"Dothideales","Dothideaceae","Later season (linear, t>0)",32
"Dothideales","Dothioraceae","Later season (linear, t>0)",28
"Dothideales","Dothideaceae","Hump (quadratic, t<0)",24
"Dothideales","Unclassified","Hump (quadratic, t<0)",10
"Dothideales","Unclassified","Later season (linear, t>0)",9
"Dothideales","Aureobasidiaceae","Hump (quadratic, t<0)",7
"Dothideales","Dothideaceae","Earlier season (linear, t<0)",3
