"Order","Family","direction","n"
"Chaetothyriales","Herpotrichiellaceae","PCoA1- / earlier-season, bark-beetle-dominated insect community",2
"Chaetothyriales","Herpotrichiellaceae","PCoA1+ / later-season, fungivorous insect community",1
"Corticiales","Corticiaceae","PCoA1+ / later-season, fungivorous insect community",1
"Helotiales","Hemiphacidiaceae","PCoA1+ / later-season, fungivorous insect community",1
"Helotiales","Tympanidaceae","PCoA1+ / later-season, fungivorous insect community",1
"Hypocreales","Hypocreales_fam_Incertae_sedis","PCoA1+ / later-season, fungivorous insect community",1
"Mycosphaerellales","Teratosphaeriaceae","PCoA1+ / later-season, fungivorous insect community",1
"Pleosporales","Cucurbitariaceae","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"Pleosporales","Unclassified","PCoA1+ / later-season, fungivorous insect community",1
"Polyporales","Steccherinaceae","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"Verrucariales","Verrucariaceae","PCoA1+ / later-season, fungivorous insect community",1
"Xylariales","Diatrypaceae","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
