"facet","group","direction","n"
"Unclassified genus","Unclassified genus","PCoA1+ / later-season, fungivorous insect community",5
"No FungalTraits match","No FungalTraits match","PCoA1+ / later-season, fungivorous insect community",2
"dimorphic yeast","animal parasite : dimorphic yeast","PCoA1- / earlier-season, bark-beetle-dominated insect community",2
"filamentous mycelium","plant pathogen : filamentous mycelium","PCoA1+ / later-season, fungivorous insect community",2
"Unclassified genus","Unclassified genus","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"dimorphic yeast","animal parasite : dimorphic yeast","PCoA1+ / later-season, fungivorous insect community",1
"filamentous mycelium","animal parasite : filamentous mycelium","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"filamentous mycelium","foliar endophyte : filamentous mycelium","PCoA1+ / later-season, fungivorous insect community",1
"filamentous mycelium","plant pathogen : filamentous mycelium","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"filamentous mycelium","wood saprotroph : filamentous mycelium","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
