"Class","lifestyle","cat","n"
"Dothideomycetes","plant pathogen","Peaks late season",175
"Agaricomycetes","wood saprotroph","Peaks late season",129
"Sordariomycetes","plant pathogen","Peaks early season",124
"Agaricomycetes","wood saprotroph","Peaks early season",79
"Dothideomycetes","litter saprotroph (+plant pathogen)","Peaks late season",72
"Agaricomycetes","wood saprotroph (+plant pathogen)","Peaks late season",49
"Dothideomycetes","sooty mold","Peaks late season",48
"Tremellomycetes","soil saprotroph","Peaks late season",39
"Taphrinomycetes","plant pathogen","Peaks late season",37
"Sordariomycetes","plant pathogen","Peaks late season",36
"Leotiomycetes","plant pathogen","Peaks early season",34
"Dothideomycetes","wood saprotroph","Peaks late season",34
"Dothideomycetes","plant pathogen","Peaks early season",29
"Tremellomycetes","unspecified saprotroph","Peaks mid-season",29
"Eurotiomycetes","plant pathogen","Peaks early season",27
"Dothideomycetes","wood saprotroph","Peaks early season",27
"Sordariomycetes","wood saprotroph","Peaks early season",27
"Exobasidiomycetes","plant pathogen","Peaks late season",26
"Cystobasidiomycetes","mycoparasite","Peaks late season",25
"Tremellomycetes","unspecified saprotroph","Peaks late season",25
"Lecanoromycetes","lichenized","Peaks early season",24
"Tremellomycetes","mycoparasite","Peaks late season",24
"Saccharomycetes","nectar/tap saprotroph","Peaks early season",24
"Dothideomycetes","wood saprotroph","Peaks mid-season",22
"Cystobasidiomycetes","epiphyte","Peaks late season",21
"Tremellomycetes","soil saprotroph","Peaks mid-season",16
"Leotiomycetes","wood saprotroph","Peaks early season",16
"Microbotryomycetes","mycoparasite","Peaks late season",15
"Tremellomycetes","litter saprotroph","Peaks late season",14
"Taphrinomycetes","plant pathogen","Peaks mid-season",14
"Microbotryomycetes","unspecified saprotroph","Peaks late season",14
"Lecanoromycetes","lichen parasite","Peaks early season",13
"Agaricomycetes","plant pathogen","Peaks late season",13
"Dothideomycetes","plant pathogen","Peaks mid-season",12
"Dothideomycetes","unspecified saprotroph","Peaks early season",10
"Eurotiomycetes","unspecified saprotroph","Peaks early season",10
"Sordariomycetes","unspecified saprotroph","Peaks early season",10
"Dacrymycetes","wood saprotroph","Peaks late season",10
"Sordariomycetes","wood saprotroph","Peaks late season",10
"Tremellomycetes","animal parasite","Peaks late season",9
"Leotiomycetes","foliar endophyte","Peaks late season",9
"Leotiomycetes","plant pathogen","Peaks mid-season",9
"Dothideomycetes","unspecified saprotroph","Peaks late season",9
"Sordariomycetes","Other","Peaks late season",8
"Dothideomycetes","animal parasite","Peaks late season",8
"Leotiomycetes","litter saprotroph","Peaks early season",8
"Microbotryomycetes","soil saprotroph","Peaks late season",8
"Agaricostilbomycetes","Other","Peaks late season",7
"Sordariomycetes","animal parasite","Peaks early season",7
"Lecanoromycetes","lichenized","Peaks late season",7
"Agaricomycetes","litter saprotroph","Peaks early season",7
"Agaricomycetes","litter saprotroph","Peaks late season",7
"Leotiomycetes","litter saprotroph (+plant pathogen)","Peaks early season",7
"Tremellomycetes","mycoparasite","Peaks mid-season",7
"Eurotiomycetes","Other","Peaks late season",6
"Leotiomycetes","Other","Peaks early season",6
"Dothideomycetes","litter saprotroph","Peaks late season",6
"Saccharomycetes","litter saprotroph","Peaks early season",6
"Saccharomycetes","nectar/tap saprotroph","Peaks late season",6
"Agaricomycetes","plant pathogen","Peaks early season",6
"Leotiomycetes","plant pathogen","Peaks late season",6
"Leotiomycetes","unspecified","Peaks early season",6
"Orbiliomycetes","wood saprotroph","Peaks early season",6
"Eurotiomycetes","Other","Peaks early season",5
"Dothideomycetes","litter saprotroph","Peaks early season",5
"Leotiomycetes","litter saprotroph","Peaks late season",5
"Tremellomycetes","litter saprotroph","Peaks mid-season",5
"Dothideomycetes","plant pathogen","Bimodal (early + late)",5
"Eurotiomycetes","plant pathogen","Bimodal (early + late)",5
"Exobasidiomycetes","plant pathogen","Peaks mid-season",5
"Sordariomycetes","plant pathogen","Peaks mid-season",5
"Eurotiomycetes","soil saprotroph","Peaks early season",5
"Dothideomycetes","sooty mold","Peaks mid-season",5
"Microbotryomycetes","wood saprotroph","Peaks mid-season",5
"Dothideomycetes","Other","Bimodal (early + late)",4
"Dothideomycetes","Other","Peaks late season",4
"Tremellomycetes","mycoparasite","Peaks early season",4
"Eurotiomycetes","plant pathogen","Peaks late season",4
"Agaricomycetes","soil saprotroph","Peaks early season",4
"Agaricomycetes","soil saprotroph","Peaks late season",4
"Agaricomycetes","wood saprotroph","Peaks mid-season",4
"Agaricomycetes","wood saprotroph (+plant pathogen)","Peaks early season",4
"Eurotiomycetes","Other","Bimodal (early + late)",3
"Sordariomycetes","Other","Peaks early season",3
"Sordariomycetes","animal parasite","Peaks late season",3
"Lecanoromycetes","lichenized","Bimodal (early + late)",3
